KVcache prepared in 19.446240663528442 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.7901277542114258
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.7901277542114258
[1]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.38897275924682617
[1]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 3.5762786865234375e-07,	 generate time: 0.589550256729126
[2]: Semantic Similarity: 0.95489,	 cache time: 4.76837158203125e-07,	 generate time: 0.5719304084777832
[2]: [Cumulative]: Semantic Similarity: 0.98496,	 cache time: 3.973642985026042e-07,	 generate time: 0.5836769739786783
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.3837130069732666
[3]: [Cumulative]: Semantic Similarity: 0.98872,	 cache time: 3.5762786865234375e-07,	 generate time: 0.5336859822273254
[4]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.3846607208251953
[4]: [Cumulative]: Semantic Similarity: 0.99098,	 cache time: 3.337860107421875e-07,	 generate time: 0.5038809299468994
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5595369338989258
[5]: [Cumulative]: Semantic Similarity: 0.99248,	 cache time: 3.178914388020833e-07,	 generate time: 0.5131569306055704
[6]: Semantic Similarity: 0.24582,	 cache time: 2.384185791015625e-07,	 generate time: 0.9138643741607666
[6]: [Cumulative]: Semantic Similarity: 0.88582,	 cache time: 3.065381731305804e-07,	 generate time: 0.5704008511134556
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7470247745513916
[7]: [Cumulative]: Semantic Similarity: 0.90009,	 cache time: 2.980232238769531e-07,	 generate time: 0.5924788415431976
[8]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7429065704345703
[8]: [Cumulative]: Semantic Similarity: 0.91119,	 cache time: 2.914004855685764e-07,	 generate time: 0.6091930336422391
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 1.0960359573364258
[9]: [Cumulative]: Semantic Similarity: 0.9073,	 cache time: 2.86102294921875e-07,	 generate time: 0.6578773260116577
[10]: Semantic Similarity: 0.21999,	 cache time: 2.384185791015625e-07,	 generate time: 0.5612847805023193
[10]: [Cumulative]: Semantic Similarity: 0.84481,	 cache time: 2.8176741166548297e-07,	 generate time: 0.6490961855108087
[11]: Semantic Similarity: 0.72375,	 cache time: 2.384185791015625e-07,	 generate time: 0.5590252876281738
[11]: [Cumulative]: Semantic Similarity: 0.83472,	 cache time: 2.7815500895182293e-07,	 generate time: 0.6415902773539225
[12]: Semantic Similarity: 0.57143,	 cache time: 2.384185791015625e-07,	 generate time: 0.38403868675231934
[12]: [Cumulative]: Semantic Similarity: 0.81447,	 cache time: 2.7509836050180286e-07,	 generate time: 0.6217786165384146
[13]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0905787944793701
[13]: [Cumulative]: Semantic Similarity: 0.82772,	 cache time: 2.724783761160714e-07,	 generate time: 0.6552643435341972
[14]: Semantic Similarity: 0.56832,	 cache time: 4.76837158203125e-07,	 generate time: 1.447268009185791
[14]: [Cumulative]: Semantic Similarity: 0.81043,	 cache time: 2.86102294921875e-07,	 generate time: 0.70806458791097
[15]: Semantic Similarity: 0.68805,	 cache time: 2.384185791015625e-07,	 generate time: 0.7458946704864502
[15]: [Cumulative]: Semantic Similarity: 0.80278,	 cache time: 2.8312206268310547e-07,	 generate time: 0.7104289680719376
[16]: Semantic Similarity: 0.49998,	 cache time: 2.384185791015625e-07,	 generate time: 1.6277556419372559
[16]: [Cumulative]: Semantic Similarity: 0.78497,	 cache time: 2.8049244600183824e-07,	 generate time: 0.7643893606522504
[17]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.38486194610595703
[17]: [Cumulative]: Semantic Similarity: 0.79692,	 cache time: 2.914004855685764e-07,	 generate time: 0.7433045042885674
[18]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7498042583465576
[18]: [Cumulative]: Semantic Similarity: 0.8076,	 cache time: 2.8861196417557566e-07,	 generate time: 0.7436465966074091
[19]: Semantic Similarity: 0.94969,	 cache time: 2.384185791015625e-07,	 generate time: 0.5667963027954102
[19]: [Cumulative]: Semantic Similarity: 0.81471,	 cache time: 2.86102294921875e-07,	 generate time: 0.7348040819168091
