idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Good To Me,"""Good To Me""",0.13616347312927246,26.562201976776123,0.5319291353225708
1, Ian Bremmer (born 1969) is older than Steve Dildarian (born 1969).,Steve Dildarian,0.13400602340698242,31.509299516677856,0.6339249610900879
2, Nebuchadnezzar II,Nebuchadnezzar II,0.1488339900970459,27.411718368530273,1.0
3, Yes.,yes,0.15627145767211914,26.25491428375244,0.836855947971344
4, Red Nose Day Actually,Red Nose Day Actually,0.1390361785888672,26.527174949645996,1.0
5, Gainsborough Lea Road railway station.,Gainsborough Lea Road railway station,0.33405232429504395,27.93341326713562,0.9857671856880188
6, The Kope Formation.,Kope Formation,0.14441919326782227,27.219895362854004,0.9657784700393677
7, Brookhaven National Laboratory,"Upton, New York",0.14688324928283691,26.72620153427124,0.23206090927124023
8," ""Look What You Made Me""",Look What You Made Me,0.14343619346618652,27.527470111846924,0.8081585764884949
9, 1 January 2009,1 January 2009,0.142228364944458,27.11772584915161,1.0000001192092896
10, Adolf Hitler and Eva Braun.,Adolf Hitler,0.14438199996948242,27.274357080459595,0.6959435939788818
11, 1967,1967,0.33846354484558105,26.43897819519043,1.0
12," Yes, both Depeche Mode and Creed are from the United States.",no,0.12975502014160156,29.420019149780273,0.1794845014810562
13, Jonathan Kellerman,Jonathan Kellerman,0.12787389755249023,26.85566473007202,1.0
14, 1934,4 July 1934,0.1420578956604004,26.498082399368286,0.8780591487884521
15, Ezra Pound,Ezra Pound,0.33418989181518555,26.42269015312195,1.0
16, The Goo Goo Dolls have sold more albums.,Papa Roach,0.16187143325805664,28.656779289245605,0.13391859829425812
17, La Trobe University,La Trobe University,0.13766837120056152,26.960911512374878,1.0000001192092896
18," ""Don't Let Daddy Kiss Me""","""Don't Let Daddy Kiss Me""",0.16303539276123047,27.65932559967041,1.0
19, 1966,"night of July 13-14, 1966",0.33185291290283203,26.52261781692505,0.7718966007232666
20, Roland Joffé,David Puttnam,0.14118194580078125,26.553894996643066,0.31414055824279785
21, Līhuʻe.,Līhuʻ e,0.12659692764282227,27.65596652030945,0.9031078815460205
22, The Nova Law Review covers over 175 programs of study with more than 250 majors.,"The university offers professional degrees in law, business, osteopathic medicine, allopathic medicine, allied health, pharmacy, dentistry, optometry, physical therapy, education, occupational therapy, and nursing.",0.17115545272827148,30.061359167099,0.3082106113433838
23, 1984,1994,0.33109545707702637,26.376915216445923,0.5681155323982239
24," Mike Judge, John Altschuler, and Dave Krinsky.",Mike Judge,0.15158295631408691,29.256013870239258,0.6267856955528259
25, 1900,1900,0.15282654762268066,26.50198268890381,1.0000001192092896
26, the mid-20th century.,mid-20th century,0.12128877639770508,27.389723300933838,0.9671353101730347
27, Diana Gabaldon,Diana Gabaldon,0.1486682891845703,26.881195783615112,1.0000001192092896
28," Mark Romanek directed the music video for ""Closer"" by Nine Inch Nails.",rock band Nine Inch Nails,0.1460268497467041,30.077985048294067,0.4798053205013275
29, Dennis Hood.,Dennis Hood,0.3663606643676758,26.33000874519348,0.9812905788421631
30, 1782,1782,0.14065003395080566,26.62356925010681,1.0000001192092896
31, Mozambique,Indian Ocean,0.15384221076965332,26.38247561454773,0.3786905109882355
