idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,I Am the Walrus.,"Hello, Goodbye",0.0009942054748535156,1.986020803451538,0.16474945843219757
1,Yes.,yes,0.0008671283721923828,0.21789026260375977,0.836855947971344
2,Robin Thicke.,Robin Thicke,0.0006906986236572266,0.33248162269592285,0.9856720566749573
3,Miracle on 34th Street.,Miracle on 34th Street,0.0006971359252929688,0.4058868885040283,0.9920468330383301
4,Purshia.,Purshia,0.00066375732421875,0.2741529941558838,0.9845479726791382
5,The United States Supreme Court.,United States Supreme Court,0.0006244182586669922,0.3689084053039551,0.9123281240463257
6,Rachel Bilson.,Summer Roberts,0.0006473064422607422,0.2937757968902588,0.4410139322280884
7,The Crucible.,The Crucible,0.0006341934204101562,0.2926454544067383,0.9646449089050293
8,The Spice Girls.,Spice Girls,0.0006060600280761719,0.27549052238464355,0.9464043974876404
9,Valerie Gogan.,David Hobson,0.0005943775177001953,0.2925541400909424,0.16223734617233276
10,The Rothschild family.,Rothschild family,0.0006239414215087891,0.3294484615325928,0.9653007984161377
11,"Barbecuing, specifically the ""Asado"" method.",asado,0.0006959438323974609,0.5780110359191895,0.37848779559135437
12,Antoine Vollon.,Antoine Vollon,0.0008611679077148438,0.29827332496643066,0.9830014705657959
13,"No, they are not. Euptelea is found in Asia (Assam, China, and Japan), while Richea is found in Australia (Tasmania and the south-east mainland).",no,0.0006732940673828125,1.6991045475006104,0.08771383762359619
14,Curtis Ward.,Jona Weinhofen,0.0007178783416748047,0.2379443645477295,0.15130983293056488
15,"The 2010 Asian Games in Guangzhou, China.",The 2010 Asian Games,0.0007624626159667969,0.5975997447967529,0.8730961680412292
16,"January 29, 1963.","January 29, 1963",0.0007359981536865234,0.4457666873931885,0.9890339970588684
17,Research Fortnight.,Research Fortnight,0.0008144378662109375,0.29455018043518066,0.9782081246376038
18,Teen magazine.,magazine,0.0006101131439208984,0.2320079803466797,0.8251916170120239
19,Hans Urs von Balthasar.,Hans Urs von Balthasar,0.0006763935089111328,0.40784335136413574,0.9842080473899841
20,"The Darling Buds formed in 1986, while Tame Impala was formed in 2007.",The Darling Buds,0.0006558895111083984,0.9764847755432129,0.5731939077377319
21,The Times of India.,The Times of India,0.0007803440093994141,0.33100271224975586,0.9807609915733337
22,"None, they are from different music genres and eras.","singer, songwriter",0.0006842613220214844,0.5802748203277588,0.30799126625061035
23,winning streak.,winning streak,0.0007128715515136719,0.2557411193847656,0.9423877000808716
24,"None, the text does not mention the flag of Mozambique.",193,0.0006196498870849609,0.6323766708374023,0.10339034348726273
25,Writer and movie director.,director,0.0006067752838134766,0.3300907611846924,0.6899121999740601
26,There is no information about a client of Roman Grill being born in a Canadian city.,"Calgary, Alberta",0.0006182193756103516,0.7668416500091553,0.3056769073009491
27,4 generations.,fourth generation,0.0007734298706054688,0.2932717800140381,0.8005594611167908
28,Oregon.,Oregon,0.0007991790771484375,0.2190380096435547,0.9635229706764221
29,Joseph Campbell.,The Hero with a Thousand Faces,0.0006248950958251953,0.2544083595275879,0.33241474628448486
30,Naples.,Naples,0.0006203651428222656,0.21761369705200195,0.9643184542655945
31,1957,1973,0.0006041526794433594,0.25362086296081543,0.5636625289916992
