idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0," The film ""Possession"" (1981) directed by Andrzej Żuławski.",Andrzej Żuławski,0.0005068778991699219,4.715502738952637,0.46820420026779175
1, Film director.,director,0.0005218982696533203,0.9255504608154297,0.8329695463180542
2, Lily Allen,Mark Ronson,0.0004837512969970703,0.7222790718078613,0.09231685101985931
3, Ralph Abernathy,Myles Falls Horton,0.00048732757568359375,1.181736707687378,0.22255495190620422
4, Kate Ryan,Kate Ryan,0.0004899501800537109,0.7306070327758789,1.0
5, United States.,American alternative rock band,0.0004699230194091797,0.9530320167541504,0.1845877468585968
6, The United States Declaration of Independence.,Declaration of Independence,0.0004897117614746094,1.8787643909454346,0.8670264482498169
7, The Frank L. Messa Rink at Achilles Center.,multi-purpose arena,0.0004742145538330078,3.0332751274108887,0.2742956876754761
8, Pulitzer Prize,Pulitzer Prize,0.00047588348388671875,0.7301385402679443,1.0
9, 3,three-door,0.00047516822814941406,0.7256879806518555,0.4697737693786621
10, Yes,yes,0.00048828125,0.4941999912261963,1.0000001192092896
11, November,November 1984,0.0004761219024658203,0.49598050117492676,0.6629852652549744
12, Henry Surtees,John Surtees,0.0004744529724121094,0.9546041488647461,0.7862194776535034
13, No,no,0.0004780292510986328,0.495697021484375,1.0
14, Christoph Willibald Gluck,Giacomo Meyerbeer,0.0004780292510986328,1.6398859024047852,0.464161217212677
15, Claude Debussy.,Claude Debussy,0.0004937648773193359,1.2452828884124756,0.9830076694488525
16, CBS Corporation,Leslie Moonves,0.0004763603210449219,0.7300510406494141,0.20558343827724457
17, Wayne Kramer,Wayne Kramer,0.00047969818115234375,0.7247929573059082,1.0
18, The Baxter Building.,Baxter Building,0.0004799365997314453,1.1932227611541748,0.9730024933815002
19," No, they do not.",no,0.0004837512969970703,1.6399579048156738,0.20591872930526733
20, Leipzig,Leipzig,0.00048732757568359375,0.49607086181640625,0.9999999403953552
21, Harry Greb,The Pittsburgh Windmill,0.0004811286926269531,0.9531912803649902,0.18061305582523346
22, Claire,Couger,0.0004780292510986328,0.503981351852417,0.30917632579803467
23, John Henry,John Henry,0.0004851818084716797,0.7265219688415527,1.0
24, Yes.,yes,0.00048470497131347656,0.7236976623535156,0.836855947971344
25, Sonakshi Sinha,"Hindi as ""Tevar""",0.000476837158203125,1.4093353748321533,0.343647301197052
26, Signet Jewelers.,Sterling Jewelers,0.0004925727844238281,1.4100515842437744,0.7412834763526917
27, 2006,"October 28, 2006",0.00048732757568359375,0.9628212451934814,0.6656808257102966
28, Yes.,yes,0.0004851818084716797,0.7253658771514893,0.836855947971344
29, Ivan Bella,"Ivan Bella (born 25 May 1964 in Brezno, Czechoslovakia (now Slovakia)) is a Slovak Air Force officer",0.0004887580871582031,0.7237482070922852,0.605864405632019
30, Answers in Genesis (AiG),Answers in Genesis,0.0004818439483642578,1.8695893287658691,0.8564772605895996
31, The Fatima Mansions.,The Fatima Mansions,0.0004820823669433594,1.6406066417694092,0.9901039600372314
