idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, Juan Mata,Juan Mata,0.0009033679962158203,0.7700483798980713,1.0
1, AT&T Park,AT&T Park,0.0009112358093261719,0.9190917015075684,1.000000238418579
2, The electric light bulb.,"the phonograph, the motion picture camera, and the long-lasting, practical electric light bulb",0.0008556842803955078,1.3464200496673584,0.6560180187225342
3," Keisuke Kinoshita was born on December 5, 1912, and Brent Hodge was born on July 9, 1985.",Keisuke Kinoshita,0.0008664131164550781,7.349697828292847,0.5461004972457886
4, Cape Verde,Cape Verde,0.0008800029754638672,0.7089211940765381,1.0000001192092896
5, China,China,0.0008707046508789062,0.47841882705688477,1.0000001192092896
6, Black separatism.,Black separatism,0.0008623600006103516,1.1516857147216797,0.9809653759002686
7," No, they do not.",no,0.0008625984191894531,1.5870859622955322,0.20591872930526733
8, Yes,yes,0.0008866786956787109,0.4812920093536377,1.0000001192092896
9, They are both among the six countries that have competed in every Commonwealth Games since 1930.,competed in every Commonwealth Games since 1930,0.0008697509765625,4.468246221542358,0.8093116879463196
10, Welterweight,welterweight division,0.0008795261383056641,0.9329116344451904,0.847368061542511
11, Billy Elliot the Musical,Billy Elliot the Musical,0.0008637905120849609,1.1621525287628174,1.0000001192092896
12, Ken Marino,Ken Marino,0.0008540153503417969,0.7041373252868652,1.0
13, Yes,yes,0.0008685588836669922,0.4807579517364502,1.0000001192092896
14, Kiyoshi Kurosawa,"Thomas A. ""Tom"" DiCillo (born August 14, 1953) is an American film director, screenwriter and cinematographer.",0.0008637905120849609,1.597856044769287,-0.052277859300374985
15, American Idol,American Idol,0.0009746551513671875,0.717888593673706,1.0
16," Ellis County, Kansas.","Ellis County, Kansas",0.0008594989776611328,1.374953031539917,0.9870179891586304
17, Gilley's,Gilley's Club,0.0008630752563476562,0.9308054447174072,0.8570377826690674
18, 41st.,tenth,0.0008580684661865234,1.2111096382141113,0.5009522438049316
19, Françoise Dürr is older.,Françoise Dürr,0.0008578300476074219,2.291219711303711,0.823037326335907
20," Henri Leconte won 2 Grand Slam titles, while Jonathan Stark won 2 Grand Slam titles.",Jonathan Stark,0.0008616447448730469,4.809333086013794,0.3949066996574402
21," The Piano Concerto No. 1 in B-flat minor, Op. 23.",Piano Concerto No. 1,0.0008637905120849609,4.420891761779785,0.7900246381759644
22, Simply drawn.,stereotyped.,0.000873565673828125,0.9581563472747803,0.20380912721157074
23, 1972 Prague Skate,1972 Prague Skate,0.000858306884765625,1.4163172245025635,1.0000001192092896
24," Frou Frou released one album, while Galaxie 500 released three.",Galaxie 500,0.0008594989776611328,4.182831525802612,0.4975246787071228
25, No,no,0.0008618831634521484,0.5018186569213867,1.0
26, Claire Danes,Claire Danes,0.0008718967437744141,0.9793961048126221,1.0000001192092896
27, Kurt Cobain was part of more bands.,Keith Buckley,0.0008645057678222656,2.355093479156494,0.21373623609542847
28, San Diego.,San Diego,0.0008680820465087891,0.9662928581237793,0.9678460955619812
29, Guitar,drummer,0.0008625984191894531,0.5014841556549072,0.47946402430534363
30, Lucas McCain.,Lucas McCain,0.0008678436279296875,1.0297722816467285,0.9765850901603699
31, Mike Bryan,Michael Carl Bryan,0.0008656978607177734,0.7346055507659912,0.8346496820449829
