idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, 23.,23,0.12978911399841309,26.256799697875977,0.9395431280136108
1, No.,yes,0.15421271324157715,26.11039900779724,0.6049201488494873
2, Howard Jacobson.,Howard Eric Jacobson,0.13997197151184082,26.578216552734375,0.9353611469268799
3, Patrick Schwarzenegger.,Patrick Schwarzenegger,0.12507867813110352,27.11247706413269,0.9823211431503296
4, England.,England,0.1332387924194336,26.112913608551025,0.9507434368133545
5, April 2001.,April 2001,0.15207147598266602,26.867294549942017,0.9755422472953796
6," No, they are not from the same area. Takida is from Ånge, Sweden, and Wheatus is from Northport, New York, USA.",no,0.13216781616210938,33.220508098602295,0.12082073837518692
7, V Magazine,Butt,0.14641046524047852,26.124057054519653,0.20410466194152832
8, Duke University,Duke University,0.14389491081237793,26.29132604598999,1.000000238418579
9, Trey Parker.,Trey Parker,0.3312864303588867,26.381388425827026,0.9819700121879578
10, Unsane has more members.,The Border Surrender,0.13695597648620605,27.071269750595093,0.06432412564754486
11, 1761,1761,0.13819408416748047,26.319016218185425,1.0000001192092896
12, comedian.,comedian,0.16082215309143066,26.05233669281006,0.939243495464325
13," ""Red State""",Red State,0.14226698875427246,26.573453426361084,0.9441080689430237
14, 1150-1500.,1150 to 1500,0.1527729034423828,27.34956455230713,0.9187204837799072
15, Musician,musician,0.1817920207977295,26.116324186325073,1.0
16," They both have a song with the same title, ""How Does a Moment Last Forever"".",soundtrack,0.16064977645874023,29.93839406967163,0.2533336877822876
17, Manchester,"Great Barrington, Massachusetts",0.14504504203796387,25.73669934272766,0.2959344983100891
18, Scarborough Fair,Scarborough Fair,0.15985321998596191,26.04201579093933,1.0
19, 1940,"February 18, 1940",0.14205694198608398,26.41848921775818,0.7928216457366943
20, Braque du Bourbonnais,Braque du Bourbonnais,0.1434335708618164,27.093627452850342,1.000000238418579
21, Yes.,no,0.1331186294555664,25.973001956939697,0.5598188042640686
22," Leonid Kantorovich was born on January 19, 1912, and Nikolay Bogolyubov was born on August 21, 1909.",Nikolay Nikolayevich Bogolyubov,0.16290593147277832,33.75572609901428,0.4987684488296509
23," The Used has 4 members, while Flight of the Conchords has 2 members.",The Used,0.153594970703125,30.1522216796875,0.24894189834594727
24, £300 million.,£300 million,0.1361069679260254,26.700031518936157,0.9729049205780029
25, 1981,"July 15, 1981",0.17498469352722168,26.41986346244812,0.8368212580680847
26, Wes Anderson.,their distinctive visual and narrative style,0.15883922576904297,26.33175826072693,0.12361687421798706
27, Philadelphia 76ers,Philadelphia 76ers,0.32790541648864746,26.785582542419434,1.0
28, The Sydney Opera House.,Sydney Opera House,0.15046977996826172,26.69969940185547,0.9653339385986328
29, Safflower.,Safflower,0.14220380783081055,26.466777563095093,0.9865137934684753
30, BAFTA Award for Best Actress in a Leading Role.,BAFTA Award,0.14290428161621094,28.346215963363647,0.8030270338058472
31, Bill Pullman,"William James ""Bill"" Pullman",0.1506335735321045,26.346046924591064,0.8420197367668152
