KVcache prepared in 166.90724992752075 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 9.5367431640625e-07,	 generate time: 154.19613599777222
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 9.5367431640625e-07,	 generate time: 154.19613599777222
[1]: Semantic Similarity: 0.9708,	 cache time: 7.152557373046875e-07,	 generate time: 154.65492177009583
[1]: [Cumulative]: Semantic Similarity: 0.5665,	 cache time: 8.344650268554688e-07,	 generate time: 154.42552888393402
[2]: Semantic Similarity: 0.95489,	 cache time: 2.384185791015625e-07,	 generate time: 154.78643107414246
[2]: [Cumulative]: Semantic Similarity: 0.69596,	 cache time: 6.357828776041666e-07,	 generate time: 154.5458296140035
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 153.74758291244507
[3]: [Cumulative]: Semantic Similarity: 0.77197,	 cache time: 5.364418029785156e-07,	 generate time: 154.3462679386139
[4]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 153.58991241455078
[4]: [Cumulative]: Semantic Similarity: 0.81758,	 cache time: 4.76837158203125e-07,	 generate time: 154.19499683380127
[5]: Semantic Similarity: 0.56471,	 cache time: 2.384185791015625e-07,	 generate time: 157.82178926467896
[5]: [Cumulative]: Semantic Similarity: 0.77543,	 cache time: 4.3710072835286457e-07,	 generate time: 154.79946223894754
[6]: Semantic Similarity: 0.33982,	 cache time: 4.76837158203125e-07,	 generate time: 155.7757294178009
[6]: [Cumulative]: Semantic Similarity: 0.7132,	 cache time: 4.427773611886161e-07,	 generate time: 154.93892897878374
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 155.36714696884155
[7]: [Cumulative]: Semantic Similarity: 0.74905,	 cache time: 4.172325134277344e-07,	 generate time: 154.99245622754097
[8]: Semantic Similarity: 0.76835,	 cache time: 2.384185791015625e-07,	 generate time: 154.55929398536682
[8]: [Cumulative]: Semantic Similarity: 0.7512,	 cache time: 3.973642985026042e-07,	 generate time: 154.9443270895216
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 155.92223501205444
