KVcache prepared in 64.92949724197388 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 3.146035671234131
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 3.146035671234131
[1]: Semantic Similarity: 0.84656,	 cache time: 2.384185791015625e-07,	 generate time: 7.2821431159973145
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 2.384185791015625e-07,	 generate time: 5.214089393615723
[2]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.419156789779663
[2]: [Cumulative]: Semantic Similarity: 0.94885,	 cache time: 2.384185791015625e-07,	 generate time: 3.9491118590037027
[3]: Semantic Similarity: 0.41454,	 cache time: 2.384185791015625e-07,	 generate time: 10.651569843292236
[3]: [Cumulative]: Semantic Similarity: 0.81527,	 cache time: 2.384185791015625e-07,	 generate time: 5.624726355075836
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 3.161259651184082
[4]: [Cumulative]: Semantic Similarity: 0.84992,	 cache time: 2.384185791015625e-07,	 generate time: 5.132033014297486
[5]: Semantic Similarity: 0.85342,	 cache time: 2.384185791015625e-07,	 generate time: 1.4361116886138916
[5]: [Cumulative]: Semantic Similarity: 0.8505,	 cache time: 2.384185791015625e-07,	 generate time: 4.516046126683553
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 1.7803778648376465
[6]: [Cumulative]: Semantic Similarity: 0.82537,	 cache time: 2.384185791015625e-07,	 generate time: 4.125236374991281
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0837829113006592
[7]: [Cumulative]: Semantic Similarity: 0.8472,	 cache time: 2.384185791015625e-07,	 generate time: 3.745054692029953
[8]: Semantic Similarity: 0.5787,	 cache time: 4.76837158203125e-07,	 generate time: 1.0815622806549072
[8]: [Cumulative]: Semantic Similarity: 0.81737,	 cache time: 2.6490953233506946e-07,	 generate time: 3.449111090766059
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4295308589935303
[9]: [Cumulative]: Semantic Similarity: 0.83563,	 cache time: 2.6226043701171877e-07,	 generate time: 3.247153067588806
[10]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.7413330078125
[10]: [Cumulative]: Semantic Similarity: 0.85057,	 cache time: 2.8176741166548297e-07,	 generate time: 3.0193512439727783
[11]: Semantic Similarity: 0.71694,	 cache time: 2.384185791015625e-07,	 generate time: 6.700012922286987
[11]: [Cumulative]: Semantic Similarity: 0.83944,	 cache time: 2.7815500895182293e-07,	 generate time: 3.3260730504989624
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 7.4658544063568115
[12]: [Cumulative]: Semantic Similarity: 0.81408,	 cache time: 2.7509836050180286e-07,	 generate time: 3.6445177701803355
[13]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 2.189176321029663
[13]: [Cumulative]: Semantic Similarity: 0.82736,	 cache time: 2.5544847760881696e-07,	 generate time: 3.540564809526716
[14]: Semantic Similarity: 0.95483,	 cache time: 2.384185791015625e-07,	 generate time: 3.644702434539795
[14]: [Cumulative]: Semantic Similarity: 0.83586,	 cache time: 2.5431315104166666e-07,	 generate time: 3.547507317860921
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 1.1379485130310059
[15]: [Cumulative]: Semantic Similarity: 0.84185,	 cache time: 2.5331974029541016e-07,	 generate time: 3.3969098925590515
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4882190227508545
[16]: [Cumulative]: Semantic Similarity: 0.85115,	 cache time: 2.524432014016544e-07,	 generate time: 3.284633959040922
[17]: Semantic Similarity: 0.97959,	 cache time: 2.384185791015625e-07,	 generate time: 2.2072198390960693
[17]: [Cumulative]: Semantic Similarity: 0.85828,	 cache time: 2.51664055718316e-07,	 generate time: 3.224777619043986
[18]: Semantic Similarity: 0.92298,	 cache time: 2.384185791015625e-07,	 generate time: 1.12235426902771
[18]: [Cumulative]: Semantic Similarity: 0.86169,	 cache time: 2.509669253700658e-07,	 generate time: 3.1141237585168136
[19]: Semantic Similarity: 0.36254,	 cache time: 4.76837158203125e-07,	 generate time: 6.406762599945068
[19]: [Cumulative]: Semantic Similarity: 0.83673,	 cache time: 2.6226043701171877e-07,	 generate time: 3.2787557005882264
[20]: Semantic Similarity: 0.25154,	 cache time: 2.384185791015625e-07,	 generate time: 7.430299997329712
[20]: [Cumulative]: Semantic Similarity: 0.80887,	 cache time: 2.611251104445685e-07,	 generate time: 3.4764482861473445
[21]: Semantic Similarity: 0.05006,	 cache time: 2.384185791015625e-07,	 generate time: 14.521904945373535
[21]: [Cumulative]: Semantic Similarity: 0.77437,	 cache time: 2.600929953835227e-07,	 generate time: 3.9785144979303535
[22]: Semantic Similarity: 0.98149,	 cache time: 2.384185791015625e-07,	 generate time: 2.890956163406372
[22]: [Cumulative]: Semantic Similarity: 0.78338,	 cache time: 2.591506294582201e-07,	 generate time: 3.93122935295105
[23]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.891237497329712
[23]: [Cumulative]: Semantic Similarity: 0.79241,	 cache time: 2.582867940266927e-07,	 generate time: 3.8878963589668274
[24]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4727256298065186
