idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, Spam,Hormel Foods Corporation,0.0004878044128417969,0.9612698554992676,0.2058035135269165
1, Nick Drake,Tír na nÓg,0.0005271434783935547,0.7332119941711426,0.263375848531723
2, Sarah MacLean,Sarah MacLean,0.0004951953887939453,0.9623618125915527,0.9999999403953552
3, Ted Shackelford,"Theodore Tillman ""Ted"" Shackelford III",0.0004918575286865234,1.2133004665374756,0.7938234806060791
4, Tenko,Son of the Pink Panther,0.0004904270172119141,0.7405164241790771,0.21634554862976074
5, Cleveland,Akron,0.00048804283142089844,0.5031793117523193,0.733784019947052
6, No,no,0.0004832744598388672,0.5053699016571045,1.0
7, No. Lorraine Hansberry was American and Tristan Tzara was Romanian and French.,no,0.0005109310150146484,4.494929313659668,0.1446981132030487
8, Tim Murphy,Tim Murphy,0.0004942417144775391,0.7422902584075928,1.0000001192092896
9, Melody Time (1948) is older than Old Yeller (1957).,Melody Time,0.0004930496215820312,4.259956359863281,0.5789077877998352
10, 1953,1952,0.00048470497131347656,0.9788029193878174,0.7782381772994995
11, Ashley Roberts,Ruthie Henshall,0.0005185604095458984,0.7390995025634766,0.4241477847099304
12, The UEFA Cup.,UEFA cup,0.0004909038543701172,1.219132900238037,0.916165828704834
13, The Cincinnati Bengals.,Cincinnati Bengals,0.0004909038543701172,1.2236714363098145,0.937159538269043
14, 1963,1963,0.0005040168762207031,0.9770305156707764,1.0
15, Kelly Macdonald,Kelly Preston,0.00048470497131347656,1.2117745876312256,0.7343830466270447
16, James LaBrie,James LaBrie,0.00048422813415527344,1.211895227432251,1.0
17, Anwar Sadat,Anwar Sadat,0.0004870891571044922,1.2098579406738281,1.0
18, Alastair Cook,Alastair Cook,0.0004930496215820312,1.2553071975708008,1.0
19, Truman Capote,Truman Capote,0.0004878044128417969,0.9740550518035889,1.0
20, 1923,1931,0.0004878044128417969,0.9792251586914062,0.7477218508720398
21, Grace Moore,Grace Moore,0.0004897117614746094,0.745546817779541,1.0000001192092896
22, Jinchang,Jinchang,0.0004968643188476562,0.9818201065063477,1.0000001192092896
23, Ken Loach,Mark L. Lester,0.0004961490631103516,0.9731554985046387,0.30213645100593567
24," June 21, 1985","June 21, 1985",0.0004858970642089844,1.9304163455963135,1.0
25, Hawkesbury River,Sydney,0.0004904270172119141,1.2102246284484863,0.4920031428337097
26, Robert Ray,Robert William Ray,0.0005207061767578125,0.7389230728149414,0.9478175640106201
27, British Airways High Life Magazine.,British Airways High Life Magazine,0.0004909038543701172,1.6820080280303955,0.9696310758590698
28, 1998,"February 11, 1998",0.0005083084106445312,0.9726419448852539,0.771252453327179
29, John Bilezikjian,John Bilezikjian,0.0005016326904296875,1.4486823081970215,1.000000238418579
30, Jacques Tourneur,Jacques Tourneur,0.00047969818115234375,1.2085669040679932,1.0000001192092896
31, No.,"an American lawyer, politician and statesman",0.0004994869232177734,0.738142728805542,0.08086246252059937
