idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Meet the Robinsons was released first in 2007.,Peter Pan,88.23906683921814,96.53963494300842,0.13582313060760498,0.0,0.0
1, Olivia de Havilland,Jodie Prenger,87.64898896217346,92.93633437156677,0.4324765205383301,0.0,0.0
2, The Adventures of Huck Finn,Herbie Rides Again,88.04922008514404,93.38861298561096,0.10865293443202972,0.0,0.0
3, R2B: Return to Base,R2B: Return to Base,88.46261954307556,94.58872437477112,1.0,1.0,1.0
4, Laura Bailey,Laura Bailey,88.41542959213257,92.40010714530945,1.0,1.0,1.0
5, Elson Moyo was one of the main figures in the 2007 Zimbabwean coup d'état attempt.,deputy commander of the Air Force,88.07825589179993,101.09068942070007,0.20499828457832336,0.18181818181818182,0.18181818181818182
6, Europe,Europe,88.11028957366943,91.66714596748352,1.0,1.0,1.0
7," ""Wiseguy""",Wiseguy,88.21889233589172,93.48970556259155,0.8721039891242981,1.0,1.0
8, Clyde Kennard,Air Force,88.45580339431763,92.87470436096191,0.19601336121559143,0.0,0.0
9, Samarkand,Samarkand,88.33161306381226,92.76426243782043,1.0,1.0,1.0
10, Paul Williams,"Nicknamed ""The Punisher"", and standing at a height of 6 foot 1 inches, Williams was unusually tall for the three divisions in which he competed.",88.83467102050781,92.81287384033203,0.34109237790107727,0.07407407407407407,0.07407407407407407
11, Little Richard,Little Richard,88.42510223388672,92.3954975605011,1.0,1.0,1.0
12, Fabio Fognini,Simone Bolelli,88.18307757377625,93.47012853622437,0.3655890226364136,0.0,0.0
13, Yes.,yes,88.14287114143372,92.133718252182,0.836855947971344,1.0,1.0
14, The Smiths,Morrissey,88.76132845878601,93.19006633758545,0.5524157881736755,0.0,0.0
15, Vickers Defence Systems (now BAE Systems Land & Armaments),Vickers Defence Systems,88.35431933403015,97.47410869598389,0.8599532842636108,0.5454545454545454,0.5454545454545454
16, Helen Magnus,Helen Magnus,88.35125803947449,92.33312058448792,1.0,1.0,1.0
17, 1939-1945,1765 and 1783,88.47972536087036,94.18018913269043,0.26604798436164856,0.0,0.0
18, X-Men,"""X-Men""",88.42514610290527,92.40351915359497,0.935822606086731,1.0,1.0
19, The award was not specified in the text.,Emmy Award,88.33379197120667,95.31189012527466,0.5149036049842834,0.2,0.2
20, The Nobel Peace Prize.,Nobel Peace Prize,88.11336755752563,93.37182235717773,0.9290430545806885,0.8571428571428571,0.8571428571428571
21, Fred Savage,Ben Karlin,88.38480639457703,92.35740542411804,0.2851804196834564,0.0,0.0
22, Bryde's Whales.,Orca,88.15940618515015,93.86815237998962,0.29263442754745483,0.0,0.0
23, Magazines.,magazine,87.92581844329834,92.31567978858948,0.8438069224357605,1.0,1.0
24, Irwin Winkler,Irwin Winkler,87.91839528083801,93.18301200866699,0.9999999403953552,1.0,1.0
25, BioWare,BioWare,88.86649656295776,92.86198568344116,1.0,1.0,1.0
26, The line abandoned by the routes operated by Northern on behalf of Merseytravel is the northern route of the Liverpool to Manchester Line.,east of Warrington,88.80659103393555,103.07547044754028,0.25205719470977783,0.07692307692307691,0.07692307692307691
27, 1965,"August 23, 1988",88.08657264709473,92.49618601799011,0.4256093204021454,0.0,0.0
28, Cat Deeley,Cat Deeley,88.50914573669434,92.91848254203796,1.0,1.0,1.0
29, Gianluigi Donnarumma,Gianluigi Donnarumma,88.4187433719635,94.56140279769897,1.0000001192092896,1.0,1.0
30," ""A Fortunate Life""","""A Fortunate Life""",88.04488921165466,93.75427889823914,0.9999999403953552,1.0,1.0
31, The Aboriginal community.,an Aboriginal community,88.47144365310669,93.29913854598999,0.9766930937767029,0.6666666666666666,0.6666666666666666
32, Essence,Essence,88.10478782653809,91.6563012599945,1.0,1.0,1.0
33, John Hughes,John Hughes,88.79890990257263,92.77596163749695,1.0,1.0,1.0
34, Alessandro Resch,King Victor Emmanuel III,88.43384122848511,93.33295798301697,0.3250441551208496,0.0,0.0
35," December 21, 1993","May 13, 1989",88.5826416015625,94.72274017333984,0.6306332945823669,0.0,0.0
36, Mission San Juan Capistrano,Mission San Juan Capistrano,88.48180866241455,94.20527815818787,1.0000001192092896,1.0,1.0
37, Malaysia,Malaysia,88.70283246040344,92.25319814682007,1.0000001192092896,1.0,1.0
38, Washington.,Washington,88.29170441627502,92.27471256256104,0.9554225206375122,1.0,1.0
39," 1,636,058","1,636,058",88.472252368927,94.17294454574585,1.0,1.0,1.0
40, 1960,1928,88.09484481811523,92.5009241104126,0.5219122767448425,0.0,0.0
41, Jasper Cillessen,Diederik Boer,88.08641004562378,93.35803365707397,0.29726442694664,0.0,0.0
42, Yes.,no,88.38561296463013,92.37873840332031,0.5598188042640686,0.0,0.0
43, Film directors.,filmmaker,88.06768655776978,92.47582721710205,0.7490188479423523,0.0,0.0
44, Marge,Julie Kavner,88.92695164680481,92.90756130218506,0.27813467383384705,0.0,0.0
45, Princess Alexandra,Queen Elizabeth II,88.43184113502502,92.40897488594055,0.4660208225250244,0.0,0.0
46, Bill Walton,Bill Walton,87.97536277770996,91.968918800354,1.0,1.0,1.0
47, Corvallis.,Benton County,87.95958018302917,92.81198024749756,0.22498753666877747,0.0,0.0
48, Yes.,yes,88.30603647232056,92.31413912773132,0.836855947971344,1.0,1.0
49, Germany,1908,88.87904357910156,92.42124962806702,0.26737305521965027,0.0,0.0
50, 1990,1964,88.36498737335205,92.78740119934082,0.5903548002243042,0.0,0.0
51, Wolfgang Joseph Pauli,Wolfgang Pauli,88.50544023513794,93.37170600891113,0.9283730387687683,0.8,0.8
52, Stevie Wright,Stevie Wright,88.45838260650635,92.86627101898193,1.0000001192092896,1.0,1.0
53, No.,yes,88.0760612487793,92.05177068710327,0.6049201488494873,0.0,0.0
54, The Cure.,The Cure,88.80807065963745,93.21980905532837,0.9532161951065063,1.0,1.0
55, Nigeria,Nigeria,88.71837568283081,92.26361966133118,1.0,1.0,1.0
56, 2005,1986,88.09787559509277,92.51014137268066,0.6356391310691833,0.0,0.0
57, 23,23,88.43995761871338,92.4403429031372,1.0,1.0,1.0
58, Fribourg,Fribourg,88.3044798374176,92.72024440765381,1.0000001192092896,1.0,1.0
59, Joseph Lovell,Joseph Lovell,88.67680525779724,93.09504652023315,1.000000238418579,1.0,1.0
60," Alexis Sánchez plays as a forward for Arsenal and the Chile national team, and speed is a significant factor in his game.","Alexis, is a Chilean professional footballer who plays as a forward",88.5792326927185,102.44145655632019,0.7738527655601501,0.411764705882353,0.29411764705882354
