idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Spam,Hormel Foods Corporation,0.3339660167694092,26.91115713119507,0.2058035135269165,0.0,0.0
1, Nick Drake,Tír na nÓg,0.3696925640106201,27.095417976379395,0.263375848531723,0.0,0.0
2, Sarah MacLean,Sarah MacLean,0.3478395938873291,27.333041429519653,0.9999999403953552,1.0,1.0
3, Ted Shackelford,"Theodore Tillman ""Ted"" Shackelford III",0.3729727268218994,27.566371202468872,0.7938234806060791,0.5714285714285715,0.5714285714285715
4, Tenko,Son of the Pink Panther,0.3670186996459961,27.11913013458252,0.21634554862976074,0.0,0.0
5, Cleveland,Akron,0.3883488178253174,26.75794792175293,0.733784019947052,0.0,0.0
6, No.,no,0.3556094169616699,27.05993366241455,0.8128341436386108,1.0,1.0
7, No. Lorraine Hansberry was American and Tristan Tzara was Romanian and French.,no,0.3799142837524414,30.8561909198761,0.1446981132030487,0.15384615384615385,0.15384615384615385
8, Tim Murphy,Tim Murphy,0.38232851028442383,27.092183113098145,1.0000001192092896,1.0,1.0
9, Melody Time (1948) is older than Old Yeller (1957).,Melody Time,0.3745002746582031,30.64435338973999,0.5789077877998352,0.3636363636363636,0.3636363636363636
10, 1953,1952,0.3576810359954834,27.320479154586792,0.7782381772994995,0.0,0.0
11, Ashley Roberts,Ruthie Henshall,0.39187026023864746,27.114572048187256,0.4241477847099304,0.0,0.0
12, The UEFA Cup.,UEFA cup,0.36354708671569824,27.510668992996216,0.916165828704834,0.8,0.8
13, The Cincinnati Bengals.,Cincinnati Bengals,0.3970949649810791,27.48885941505432,0.937159538269043,0.8,0.8
14, 1963,1963,0.38315820693969727,27.214995622634888,1.0,1.0,1.0
15, Kelly Macdonald,Kelly Preston,0.37715625762939453,27.57036519050598,0.7343830466270447,0.5,0.5
16, James LaBrie,James LaBrie,0.36597180366516113,27.575737953186035,1.0,1.0,1.0
17, Anwar Sadat,Anwar Sadat,0.3687715530395508,27.572081565856934,1.0,1.0,1.0
18, Alastair Cook,Alastair Cook,0.37609314918518066,27.481581926345825,1.0,1.0,1.0
19, Truman Capote,Truman Capote,0.381990909576416,27.34729790687561,1.0,1.0,1.0
20, 1923,1931,0.3695509433746338,27.383928537368774,0.7477218508720398,0.0,0.0
21, Grace Moore,Grace Moore,0.3872799873352051,27.104132652282715,1.0000001192092896,1.0,1.0
22, Jinchang,Jinchang,0.37577319145202637,27.29153299331665,1.0000001192092896,1.0,1.0
23, Ken Loach.,Mark L. Lester,0.3819892406463623,27.480652809143066,0.30199137330055237,0.0,0.0
24," June 21, 1985","June 21, 1985",0.3610517978668213,28.181824684143066,1.0,1.0,1.0
25, Hawkesbury River,Sydney,0.3800191879272461,27.57450771331787,0.4920031428337097,0.0,0.0
26, Robert Ray,Robert William Ray,0.3886139392852783,27.15813159942627,0.9478175640106201,0.8,0.8
27, British Airways High Life Magazine.,British Airways High Life Magazine,0.3670516014099121,27.918226957321167,0.9696310758590698,1.0,1.0
28, 1998,"February 11, 1998",0.3823528289794922,27.191479682922363,0.771252453327179,0.5,0.5
29, John Bilezikjian.,John Bilezikjian,0.38785719871520996,28.028985738754272,0.9802225232124329,1.0,1.0
30," ""Cat People"" (1942)",Jacques Tourneur,0.36213135719299316,28.4755380153656,0.06512057781219482,0.0,0.0
31, No.,"an American lawyer, politician and statesman",0.3873918056488037,27.188249588012695,0.08086246252059937,0.0,0.0
