idx,generated_response,ground_truth,reset_cache_time,generate_time
0, District of Columbia v. Heller (2008),District of Columbia v. Heller,0.0004825592041015625,1.5391435623168945
1, 2003,1996,0.0005078315734863281,0.551619291305542
2, Ballet Concerto in Miami.,Ballet Nacional de Cuba,0.0004925727844238281,0.9331517219543457
3, China,People's Republic of China,0.0004825592041015625,0.28057241439819336
4, Hertsmere,Hertfordshire,0.0009217262268066406,0.6734366416931152
5, The United States Air Force.,United States Air Force,0.0004904270172119141,0.9389216899871826
6, Attack the Block (2011),Attack the Block,0.00047087669372558594,1.0713026523590088
7, Actress.,actress,0.0005562305450439453,0.4115750789642334
8, The A4112 road.,the Welsh Marches region,0.0004954338073730469,0.9386885166168213
9, 1998,1969,0.0014553070068359375,0.5515155792236328
10, Opera seria.,Opera seria,0.0004792213439941406,0.5518426895141602
11," No, Frou Frou is an electronic duo, while Starsailor is a post-Britpop band.",no,0.0004892349243164062,3.1504225730895996
12, Robert Penn Warren,Robert Penn Warren,0.00049591064453125,0.5465319156646729
13," Xi'an District, Liaoyuan is located in Jilin, China, and Shouguang is located in Weifang Prefecture-level city, Shandong Province, China.",China,0.0004918575286865234,5.135699033737183
14, Stephen Herek,George King,0.0004940032958984375,0.5428433418273926
15," June 21, 1985","June 21, 1985",0.0004775524139404297,1.0762321949005127
