idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0," May 20, 2014.","May 20, 2014",0.05109834671020508,8.840259313583374,0.9731619358062744,1.0,1.0
1, John Berends,John Berends,0.04706597328186035,8.143510818481445,1.0,1.0,1.0
2, Slushii,Out of Light is the debut studio album of American electronic music producer and DJ Slushii.,0.04860734939575195,8.161608457565308,0.34668460488319397,0.11764705882352941,0.11764705882352941
3, Cleveland Indians,Indians,0.04744148254394531,8.053051233291626,0.7303720116615295,0.6666666666666666,0.6666666666666666
4, 2009,2009,0.04711151123046875,8.173782348632812,0.9999998211860657,1.0,1.0
5, Marv Albert,Marv Albert,0.05545377731323242,8.195595741271973,1.0,1.0,1.0
6, Tony Leung Ka-fai won the Hong Kong Film Award four times.,four-time winner,0.055316925048828125,9.685729026794434,0.3884126543998718,0.26666666666666666,0.26666666666666666
7," 1,898","1,898",0.04621148109436035,8.327973127365112,1.0000001192092896,1.0,1.0
8, Nature Publishing Group,Nature Publishing Group,0.04665231704711914,8.200022459030151,1.0,1.0,1.0
9, 1838,1838,0.053542375564575195,8.200976371765137,1.0000001192092896,1.0,1.0
10, 1715,1643,0.04688715934753418,8.20016622543335,0.6331779956817627,0.0,0.0
11," ""Thank You"" (1925) came before ""The Grapes of Wrath"" (1940).",The Grapes of Wrath,0.04659152030944824,10.415783882141113,0.620669960975647,0.5714285714285715,0.5714285714285715
12, John Bonython,John Bonython,0.04996204376220703,8.32798171043396,1.0,1.0,1.0
13, My Husband Got a Family.,My Husband Got a Family,0.049652814865112305,8.56351089477539,0.9718672633171082,1.0,1.0
14," Eugene O'Neill was born first, on October 16, 1888.",Eugene Gladstone O'Neill,0.046256303787231445,9.797914266586304,0.5025200843811035,0.4285714285714285,0.4285714285714285
15," Fifth Harmony has a song called ""Angel"".",album,0.046776533126831055,8.955312490463257,0.2998933494091034,0.0,0.0
