idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Roberto Benigni is older.,Roberto Remigio Benigni,82.71698522567749,88.75293898582458,0.7513920664787292
1," ""Tie a Yellow Ribbon""","""Tie a Yellow Ribbon Round the Ole Oak Tree""",82.67216396331787,88.68009161949158,0.7477940320968628
2, Sidney Morgan,Sidney Morgan,82.08880043029785,85.99071645736694,1.0
3, Eru Ilúvatar,Húrin,82.15899276733398,87.75588870048523,0.2685910761356354
4, Pierre Bouvier,Pierre Charles Bouvier,82.04761004447937,86.36463570594788,0.9619107246398926
5, Composer,composer,82.02358031272888,85.48675584793091,1.0
6, The National Amateur Body-Builders' Association (NABBA).,National Amateur Body-Builders' Association (NABBA),82.50390481948853,91.47366881370544,0.9875801205635071
7, Honolulu International Center (now known as the Neal S. Blaisdell Center),Ward Estate,82.00509262084961,92.1975486278534,0.14458905160427094
8, 2000,2000,82.42397499084473,86.74040937423706,1.0
9, Kellie Bright,Natalie Gumede,82.489098072052,87.23030877113342,0.4620313048362732
10, Tampa at the Amalie Arena.,Tampa Bay Lightning,82.65198588371277,88.59356355667114,0.5491539835929871
11, Yes.,yes,82.66292405128479,86.55979132652283,0.836855947971344
12, Florence Griffith Joyner.,Florence Griffith Joyner,82.59816527366638,87.77230262756348,0.9806027412414551
13, 1964,1964,82.20589065551758,86.5024926662445,1.0000001192092896
14, The Nevada Test Site.,Nevada Test Site,82.7623610496521,87.93826079368591,0.9706560373306274
15, Jermaine Dupri.,Kris Kross,82.43534135818481,88.01598739624023,0.3021754026412964
16, The University of Louisville.,University of Louisville,82.1813097000122,87.34492015838623,0.9754641056060791
17, Xingyi,Xingyi,82.39292454719543,86.70331144332886,1.0000001192092896
18, Adelaide,Adelaide,82.16873121261597,85.63833355903625,1.0000001192092896
19, Jamestown,Colony of Virginia,81.96686887741089,85.8626298904419,0.6912559866905212
20, Bayern,North Rhine-Westphalia,82.02600145339966,85.48995876312256,0.49075889587402344
21," Alycia Debnam-Carey is best known for her role as Commander Lexa in The CW series ""The 100"".",Commander Lexa,82.25431966781616,96.65472173690796,0.6279689073562622
22, S.M. Academy Casting,the 2006 S.M. Academy Casting,82.3369345664978,87.51708793640137,0.9129880666732788
23, Ghostbusters,Saturday Night Live,82.48825740814209,86.3936939239502,0.3698241710662842
24, 1983,1976,82.18484830856323,86.50091791152954,0.6293554902076721
25, 1965,1965,82.23214340209961,86.55348563194275,1.0000001192092896
26, Cybill Shepherd,Cybill Shepherd,82.3024914264679,86.62619519233704,1.0
27," The population of the city is 110,925.","110,925",82.28708219528198,89.99832320213318,0.6780093908309937
28, Ken Jenkins,Dr. Bob Kelso,82.41926336288452,86.32546496391296,0.409682959318161
29," ""Please Take Care of My Refrigerator""",Please Take Care of My Refrigerator,82.1578848361969,88.97779297828674,0.8497322797775269
30, True,"It is managed by Northern, who operate most of the passenger services that call there",82.22145867347717,85.70539975166321,0.01898019202053547
31, Eric Corton,Eric Corton,82.62254285812378,86.93774199485779,1.0
32, Ladies' Magazine,The Ladies' Magazine,82.45429420471191,86.77313470840454,0.9728667736053467
33, A Double cantilever hangar,Double cantilever hangar,82.212899684906,88.20562601089478,0.9745704531669617
34, The Librarians.,The Librarians,82.46368980407715,87.5749340057373,0.980456531047821
35, Jackson,Jackson,82.34169697761536,85.81107497215271,1.0000001192092896
36, 1943,1943,82.50319766998291,86.80820488929749,1.0
37, Ahmed Johnson,Anthony Norris,82.55557680130005,86.45238375663757,0.4576285183429718
38," The ""Harry and Louise"" commercials.",the Harry and Louise commercials,82.62847566604614,89.07917189598083,0.9687756299972534
39, Mario Bava had more artistic skills such as directing.,Mario Bava,82.02737402915955,89.70293116569519,0.6704717874526978
40, Giovanni Battista Pergolesi has more notable job titles mentioned.,Jean-Philippe Rameau,82.08570790290833,91.00072574615479,0.27827635407447815
41, Ernest Hemingway,Washington Irving,82.63223719596863,87.3467845916748,0.38127803802490234
42, 2013,2013,82.87193250656128,87.20633172988892,1.0
43, The Spintex Road.,Tema Motorway,82.03933811187744,87.60669350624084,0.304479718208313
44, Montana.,"Los Angeles, California",82.80687499046326,86.68800592422485,0.5301806926727295
45, American,American,82.26850652694702,85.7338719367981,1.0
46, American,American,82.17758202552795,85.64307570457458,1.0
47, Caballo Dorado,Caballo Dorado,82.83252024650574,87.58026337623596,1.0
48, Lietkabelis Panevėžys,Lietkabelis Panevėžys,82.80303454399109,90.44485855102539,1.000000238418579
49, Delft,South Holland,82.22608947753906,86.55683517456055,0.19594594836235046
50, Yes.,no,82.35555171966553,86.24876976013184,0.5598188042640686
51," 2,956","2,956",82.01991724967957,86.76838827133179,0.9999999403953552
52, 13 seasons.,13,82.41474223136902,87.13536429405212,0.5838356018066406
53, The Trail of Tears.,forced removals of Native American nations,82.53054475784302,87.70786023139954,0.2395499348640442
54, Stonebwoy,Stonebwoy,82.165194272995,86.89633750915527,1.0000001192092896
55, 2015,2015,82.85636973381042,87.16829538345337,1.0
56, 13 Going on 30,13 Going on 30,81.99325299263,87.55375289916992,1.0
57, The Mark of the Lion series.,Mark of the Lion,82.49756455421448,88.53575611114502,0.8143481016159058
58, Betty White,Betty White,82.18592381477356,86.08055925369263,1.0
59, George Weah,George Weah,82.62166714668274,86.93416786193848,1.0000001192092896
60, The Brooklyn Museum.,Brooklyn Museum,82.1844310760498,86.89537119865417,0.965421199798584
61, 1943,1943,82.40079188346863,86.71818137168884,1.0
62, Bride of Chucky.,Bride of Chucky,82.4586763381958,87.62360882759094,0.9888875484466553
63, Jennifer Lopez,Jennifer Lynn Lopez,82.97424173355103,86.85838747024536,0.9194077849388123
