idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,"May 24, 1923.",24 May 1923,0.3166234493255615,4.090259075164795,0.9720159769058228,1.0,0.6666666666666666
1,Eugene Onegin.,The Queen of Spades,0.27374815940856934,2.55057430267334,0.21219472587108612,0.0,0.0
2,2017.,2017,0.3073906898498535,2.380632162094116,0.9525437951087952,1.0,1.0
3,"""Lovecraft""",Lovecraft,0.31209659576416016,2.261444568634033,0.9467871785163879,1.0,1.0
4,Tofu.,bean curd,0.4544558525085449,2.545531749725342,0.2858392298221588,0.0,0.0
5,1984,1984,0.23456692695617676,2.293268918991089,1.0,1.0,1.0
6,Film.,film,0.49394989013671875,2.6021368503570557,0.8702664375305176,1.0,1.0
7,John Eleuthère du Pont.,John Eleuthère du Pont,0.2646949291229248,2.5173373222351074,0.9876766800880432,1.0,1.0
8,Seoul,Seoul,1.4110751152038574,2.159860610961914,0.9999999403953552,1.0,1.0
9,8958 sqmi.,8958 sqmi,0.527843713760376,2.3676183223724365,0.9738192558288574,1.0,1.0
10,The 15:17 to Paris.,The 15:17 to Paris,3.5527820587158203,2.4731390476226807,0.9903227090835571,1.0,1.0
11,Robin Hood (1973) was produced first.,Robin Hood,0.6837172508239746,2.7872426509857178,0.7375000715255737,0.5,0.5
12,Billions.,Billions,0.36437344551086426,2.002765417098999,0.9573147296905518,1.0,1.0
13,Mark Knopfler.,Mark Freuder Knopfler,0.283402681350708,2.6727747917175293,0.7932934761047363,0.8,0.8
14,Alberto Del Rio,Alberto Del Rio,0.6088142395019531,2.3963983058929443,1.0,1.0,1.0
15,ACS Nano.,ACS Nano,0.38406991958618164,2.5102460384368896,0.9732364416122437,1.0,1.0
