idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, The Great Boston Fire of 1872.,The Great Boston Fire of 1872,0.07132792472839355,14.95623517036438,0.9896929264068604
1, 3%,3%,0.25461316108703613,13.956685781478882,1.0000001192092896
2, Subjective Idealism,Subjective Idealism,0.15251636505126953,14.165062665939331,1.0000001192092896
3, The Back Bay.,the Back Bay,0.0691065788269043,14.117192268371582,0.9847224354743958
4, 33%,33%,0.10499143600463867,13.973750591278076,1.000000238418579
5, Kierkegaard,Kierkegaard,0.07505416870117188,14.105555534362793,1.0
6, The EPA.,the EPA,0.0900876522064209,13.943768739700317,0.9789309501647949
7, Yiddish,Yiddish,0.08512687683105469,13.938385725021362,1.0
8," The people of Boston reacted vociferously to the demolition of the West End, with extensive public opposition.",with vociferous public opposition.,0.07642292976379395,16.947120428085327,0.4305022954940796
9, 11th century,11th century,0.2808034420013428,14.109094142913818,1.0000001192092896
10," 655,884","655,884",0.0656585693359375,14.117722749710083,1.0
11, 45,45,0.21587681770324707,13.753487586975098,1.0000001192092896
12, Approximately one-third of the population of Brookline and Newton are Jewish.,one-third,0.07241272926330566,15.932302951812744,0.1356753557920456
13, 160,160,0.07515287399291992,13.715834856033325,1.0000001192092896
14, the cradle of Germanic tribes,cradle of Germanic tribes,0.06742429733276367,14.653153657913208,0.9884954690933228
15, Boston,Boston,0.0663304328918457,13.5690598487854,1.0
16," Sephardic communities, particularly from the Syrian Jewish community.",Syrian Jewish community,0.08762502670288086,15.465708017349243,0.7890723943710327
17, The abolitionist movement.,the abolitionist movement,0.2648789882659912,14.265742540359497,0.9832311868667603
18, Bank of America,Bank of America,0.08708834648132324,13.928541660308838,1.0000001192092896
19, The idea that the Ashkenazi may have come from Khazar stock surfaced in the later 19th century.,in the later 19th century,0.26467275619506836,17.44658064842224,0.3703518211841583
20," 175,000+","175,000+",0.10746622085571289,14.285972595214844,1.0
21, Back Bay at the Mother Church (1894),Back Bay,0.0749049186706543,15.152584075927734,0.551262378692627
22, The City of Boston.,a city,0.07813525199890137,14.253159761428833,0.6033048033714294
23, Massachusetts.,Massachusetts,0.07326173782348633,13.77011227607727,0.9563392400741577
24, Boston has been a noted religious center from its earliest days.,from its earliest days,0.07127690315246582,15.515928983688354,0.23421739041805267
25, 1750,1750,0.254317045211792,13.980580806732178,1.0
26, Over 20 million visitors per year.,20 million,0.0684359073638916,14.826898336410522,0.630460262298584
27, 36th worldwide in quality of living in 2011 in a survey of 221 major cities.,high,0.07869410514831543,17.099525213241577,0.16102825105190277
28, The city's ethnic composition.,the city's ethnic composition,0.06933355331420898,14.419218063354492,0.9908846616744995
29, state politics.,state politics,0.06973481178283691,13.969432830810547,0.9563447833061218
30, The theater District is located south of Boston Common.,south of Boston Common,0.08197164535522461,15.070081233978271,0.7115889191627502
31, 89.6 square miles (232.1 km2),89.6 square miles,0.07760143280029297,15.684389114379883,0.8889633417129517
32, Every 4 years.,every fourth year,0.07330560684204102,14.299016952514648,0.8580735921859741
33," The Boston School Committee, which is appointed by the mayor.",The School Committee,0.06917309761047363,15.435652256011963,0.6678533554077148
34, Venture capital.,venture capital investment,0.0748894214630127,13.952311515808105,0.8629215955734253
35, Sakanoue no Tamuramaro,Sakanoue no Tamuramaro,0.2595503330230713,14.991453647613525,1.0
36," 57,000","57,000",0.07306170463562012,14.136707067489624,1.0
37, 10.1%,10.1%,0.07990813255310059,14.277726888656616,1.0
38, The Levant.,the Levant,0.10239124298095703,14.146002531051636,0.9739600419998169
39, Hanscom Field,Beverly Municipal Airport,0.07857751846313477,13.943775415420532,0.028012312948703766
40, the language of Ashkenaz and the country of Ashkenaz.,both the language of Ashkenaz and the country of Ashkenaz,0.08624267578125,15.826361417770386,0.9799714088439941
41, McTaggart believes space and time to be unreal.,unreal,0.26436591148376465,15.381328582763672,0.26107025146484375
42, The Christian Science Monitor publishes their magazine weekly.,weekly,0.07073163986206055,14.921024799346924,0.429979532957077
43, Hermann Lotze,Hermann Lotze,0.07635235786437988,14.117351770401001,1.0000001192092896
44, Yiddish,Yiddish,0.10469245910644531,13.98333740234375,1.0
45, The Fujiwara clan.,Fujiwara,0.06894731521606445,14.430625677108765,0.779144287109375
46, 39,39,0.06649065017700195,13.754505395889282,1.0
47, 8.3%,8.3%,0.07647967338562012,14.29206109046936,1.0
48, the practice of the beth din that converted him or her.,the practice of the beth din that converted him or her,0.07139158248901367,15.633768081665039,0.9781124591827393
49, 4 women.,from just four women,0.2612495422363281,14.073517084121704,0.7754208445549011
50, Spirit,Spirit,0.07202029228210449,13.633739233016968,0.9999999403953552
51, Sei Shōnagon,Sei Shōnagon,0.08731818199157715,14.453582763671875,1.0
52, 57%,57%,0.0718076229095459,13.929397106170654,1.0
53, A week.,week-long,0.0820925235748291,13.963159084320068,0.6558043956756592
54, WGBH-TV,WGBH-TV,0.06863284111022949,14.141183137893677,1.0
55," The ""Big Five""",Big Five,0.08415031433105469,14.296813726425171,0.788675844669342
56," Minhagim refers to customs in addition to Halakha, or religious law, and different interpretations of law.",customs,0.0773768424987793,17.418388605117798,0.42141127586364746
