idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,The Cape Colony.,Cape Colony,0.3166770935058594,2.3415842056274414,0.9471240043640137
1,"Shin Ha-kyun in the 2013 South Korean action film ""Running Man"".",Shin Ha-kyun,0.3620178699493408,1.8718066215515137,0.6947351694107056
2,Bayern Munich.,Porto,0.5028259754180908,1.1240818500518799,0.4955749809741974
3,1937,1937,0.332932710647583,1.0821330547332764,1.0
4,"1,200","1,200",0.3129441738128662,1.1426348686218262,1.0
5,The United States.,United States,0.32297182083129883,0.9671368598937988,0.8440276384353638
6,Hobart.,Hobart,0.28246378898620605,1.0833423137664795,0.9743171334266663
7,2002.,2002,0.2857508659362793,1.1412220001220703,0.9519264101982117
8,David Diamond.,David Diamond,0.3700556755065918,1.2641642093658447,0.9820916056632996
9,Yiddish.,Italian,0.3071134090423584,1.0358269214630127,0.43485966324806213
10,Wilfrid Brambell.,Henry Wilfrid Brambell,0.4046783447265625,1.3815152645111084,0.8842920064926147
11,"No, Harry Crosby was a poet, but Gerhart Hauptmann was a dramatist and novelist.",no,0.33179450035095215,1.9330511093139648,0.048101332038640976
12,The east bank.,east bank,0.333331823348999,1.0742034912109375,0.9471474289894104
13,UK.,UK-based,0.2630503177642822,1.1352639198303223,0.5818777680397034
14,"""God and my right""",God and my right,0.4236915111541748,1.1709039211273193,0.7431830763816833
15,Malaysia.,Malaysia,0.38983702659606934,1.1074087619781494,0.9520540237426758
16,Marcus Rashford.,Marcus Rashford,0.4506988525390625,1.0242152214050293,0.9776395559310913
17,204 BC.,204 BC,0.39966797828674316,1.2565078735351562,0.985283613204956
18,Tony Hoare.,Tony Hoare,0.44683194160461426,1.1383209228515625,0.9869613647460938
19,Frank Beyer (born 1932) is older than Jocelyn Moorhouse (born 1960).,Frank Paul Beyer,0.2394576072692871,2.2550320625305176,0.6005258560180664
20,The Montreal Expos.,Montreal Expos,0.3931870460510254,1.3714704513549805,0.9681159257888794
21,Han Seung-yeon has had success in multiple forms of entertainment as a singer and actress.,Ross Shor Lynch,0.31057119369506836,1.790827989578247,0.14949502050876617
22,"Q1: Prudential Financial
A1: Prudential Financial has operations in over 30 countries, while Jackson National Life is not specified.

Q2: Prudential Financial
A2: Prudential Financial provides a wide range of services including life insurance, annuities, mutual funds, pension- and retirement-related investments, administration and asset management, securities brokerage services, and commercial and residential real estate, while Jackson National Life primarily offers annuities and fixed income products.",Prudential Financial.,0.3542358875274658,5.716470003128052,0.49231046438217163
23,"""The Orange Box""",The Orange Box,0.5268168449401855,1.1925795078277588,0.9323657155036926
24,The Biggest Loser UK.,Lost,0.3495371341705322,1.262120008468628,0.4701009690761566
25,British.,Northern Irish,0.732741117477417,1.009603500366211,0.450462281703949
26,Yes.,yes,0.3610575199127197,0.8668043613433838,0.836855947971344
27,2010 and 2011.,2011,0.47315073013305664,1.3727314472198486,0.8522845506668091
28,"No, Shaoshan is under the administration of Xiangtan prefecture-level City, not Xiangyang City.",no,0.3984255790710449,2.1584811210632324,0.14864546060562134
29,The Birds (1963),The Birds,0.43973875045776367,1.238802433013916,0.7120919227600098
30,Film director.,film director and screenwriter,0.3117697238922119,1.2119102478027344,0.8304933309555054
31,Hilo International Airport serves most of East Hawai.,Hilo International Airport,0.307079553604126,1.626514196395874,0.7358610033988953
