idx,generated_response,ground_truth,reset_cache_time,generate_time
0, Puthiya Thalaimurai,SRM Group,0.0005066394805908203,2.056265354156494
1," ""Boogie"" was based on the Argentine character Boogie, the oily by Roberto Fontanarrosa, and directed by Gustavo Cova.",Boogie,0.0005335807800292969,7.473098993301392
2, American,American,0.0005016326904296875,0.5177674293518066
3, Leaves.,leaves,0.0005071163177490234,0.7281832695007324
4, World War I,World War II,0.0006866455078125,0.9594321250915527
5, 2005,1976,0.0005249977111816406,0.9647278785705566
6, Cindy Stein,Cindy Stein,0.0008912086486816406,0.7316231727600098
7, Atlantic,CBS Records,0.0005388259887695312,0.4987025260925293
8, Canadian,Canadian,0.0005104541778564453,0.5086700916290283
9, Andrea Arnold,Cary Fukunaga,0.0005075931549072266,0.7810196876525879
10," El Paso, Texas.","El Paso, Texas",0.0006344318389892578,1.428802251815796
11, Warren Beatty,Warren Beatty,0.0005741119384765625,0.9629530906677246
12, Vanilla Air,All Nippon Airways,0.0005173683166503906,0.7285406589508057
13, Oil field services.,oil field service,0.0005002021789550781,1.2055284976959229
14, Avant-garde metal.,metal band,0.0005414485931396484,1.6535379886627197
15, Jazz,jazz,0.0005173683166503906,0.5136470794677734
16, Bobby Hauck,Bobby Hauck,0.0005366802215576172,0.9687495231628418
17, Roberto Vittori,Roberto Vittori,0.0005271434783935547,1.1927225589752197
18, Song of the Year,Song of the Year,0.0005283355712890625,1.1942954063415527
19, Crossing Borders,Crossing Borders,0.0005164146423339844,0.7466044425964355
20, Narrow-body medium-range twin-engine jet airliners.,narrow-body medium-range twin-engine jet airliners,0.0005414485931396484,2.5878074169158936
21, Paul Allen,Paul Allen,0.0005295276641845703,0.7306849956512451
22, identitarian,identitarian,0.0005238056182861328,0.7332220077514648
23, Guiyang,Guiyang,0.0005092620849609375,0.7271919250488281
24, Rose Hill,Rose Hill,0.0005035400390625,0.7286221981048584
25, 3 June 2016,3 June 2016,0.0005161762237548828,1.6577069759368896
26, Australia,Australia,0.0006895065307617188,0.5540149211883545
27, Chino Moreno and Sergio Vega,Chino Moreno,0.0005147457122802734,1.6572902202606201
28, Charles Kimbrough,Jim Dial,0.000522613525390625,1.1948397159576416
29, London,London,0.0004980564117431641,0.5008871555328369
30, Istanbul,Tokyo,0.0005192756652832031,0.4967010021209717
31, Yes.,yes,0.0005156993865966797,0.7294249534606934
