idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Yes.,yes,0.001004934310913086,1.4913034439086914,0.836855947971344
1,Alternative rock.,alternative rock,0.0009772777557373047,0.4370262622833252,0.9691143035888672
2,Gerald Ford.,Gerald Ford,0.0008573532104492188,0.4536290168762207,0.9736015796661377
3,1954,1954,0.0008466243743896484,0.3637208938598633,1.000000238418579
4,L'Abbesse de Jouarre.,L'Abbesse de Jouarre,0.0009095668792724609,0.6935327053070068,0.9851242303848267
5,slalom and giant slalom.,slalom and giant slalom,0.0009999275207519531,0.5772910118103027,0.9801380634307861
6,Yes.,yes,0.0008225440979003906,0.3620014190673828,0.836855947971344
7,"5,615","5,615",0.0008275508880615234,0.474564790725708,1.0
8,Scott Fellows.,Scott Fellows,0.0008745193481445312,0.46978211402893066,0.9807367920875549
9,"Lawrence Kasdan (in the film ""Darling Companion"") and Christopher Cain (in the film ""Pure Country"")",Ben Affleck,0.000881195068359375,1.1914763450622559,0.22083482146263123
10,1977,1986,0.0008401870727539062,0.4068279266357422,0.6340702772140503
11,West Germany.,"Germany, Switzerland and Austria",0.0008444786071777344,0.42839860916137695,0.6112209558486938
12,Johns Hopkins School of Medicine.,Johns Hopkins School of Medicine,0.0009157657623291016,0.5165860652923584,0.9717385172843933
13,1908.,Denver,0.0009305477142333984,0.4416468143463135,0.1540844738483429
14,Hillsborough County.,Hillsborough County,0.0009086132049560547,0.4736340045928955,0.9770835041999817
15,10,nineteen,0.0008697509765625,0.3937699794769287,0.48847562074661255
