idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,U2 360° Tour.,"""No Line on the Horizon""",0.5948238372802734,1.8110933303833008,0.22776982188224792
1,One Little Indian and Elektra Records.,One Little Indian and Elektra Records,0.39061474800109863,0.5754005908966064,0.9843621253967285
2,Huayi Brothers.,Huayi Brothers,0.35730791091918945,0.35779666900634766,0.9878625273704529
3,The United States Army War College.,Parameters,0.8302516937255859,0.49865055084228516,0.029516108334064484
4,Samuel Gbaydee Doe.,Samuel Gbaydee Doe,0.329315185546875,0.46515750885009766,0.9895214438438416
5,Eddie Vedder.,Eddie Vedder,0.502587080001831,0.38892674446105957,0.9830845594406128
6,The Texas Education Agency.,Texas Education Agency,0.8880977630615234,0.40241074562072754,0.9589462876319885
7,Penn State Nittany Lions (NCAA) and Oklahoma Sooners (NCAA),Big Ten,0.6237401962280273,0.900864839553833,0.4120364785194397
8,Carrie Underwood.,Carrie Underwood,0.4689488410949707,0.36526012420654297,0.9742934107780457
9,"Frantz Yvelin is a French businessman and pilot, and CEO of Aigle Azur, France's 2nd largest airline.",airline,0.2807776927947998,1.3044192790985107,0.4019002914428711
10,"The Winklevoss twins started Gemini, a digital currency exchange, in 2015.",The Winklevoss twins,0.386446475982666,0.9388110637664795,0.6191667318344116
11,"""You Are Old, Father William""",The Mock Turtle,0.33139872550964355,0.538231611251831,0.08064347505569458
12,The King of Fighters.,The King of Fighters,0.28957200050354004,0.35802459716796875,0.9851702451705933
13,Cartel Tijuana Nueva Generación (New Generation Tijuana Cartel),Cartel Tijuana Nueva Generación,0.3573012351989746,0.8973994255065918,0.9542198181152344
14,Alsace region of France.,Alsace region,0.884570837020874,0.46271610260009766,0.9396852850914001
15,Funny Games.,Funny Games,0.4141364097595215,0.3609640598297119,0.9468101263046265
16,David Gordon Green.,David Gordon Green,0.3753492832183838,0.3856019973754883,0.9873598217964172
17,19 June 1961,25 June 1961,0.3114640712738037,0.46854281425476074,0.9842609167098999
18,Our Town.,Our Town,0.6169054508209229,0.2456502914428711,0.9505839347839355
19,Marc Cherry.,Marc Cherry,0.2985196113586426,0.35186123847961426,0.9856280088424683
20,Elizabeth: The Golden Age.,Elizabeth: The Golden Age,0.8985345363616943,0.46628737449645996,0.9883533120155334
21,Bing Crosby.,Tony Martin,0.39951324462890625,0.35240817070007324,0.3602098524570465
22,The Conservative Party.,Conservative Party,0.41533374786376953,0.3918952941894531,0.9196946620941162
23,North Shore School District.,North Shore School District,0.47499966621398926,0.42487382888793945,0.9811053276062012
24,Pennsylvania.,Pennsylvania,0.33081674575805664,0.31439852714538574,0.9627590775489807
25,Steve Owens.,"Loren Everett ""Steve"" Owens",0.2902398109436035,0.35248279571533203,0.7264568209648132
26,Pantip Plaza on New Phetchaburi Road.,New Phetchaburi Road in Ratchathewi district,0.30969738960266113,0.6260807514190674,0.6174945831298828
27,"Zheng Jie, born in 1983, has played longer than Luke Jensen, born in 1968.",Jensen,0.3332865238189697,1.020378589630127,0.41737768054008484
28,"The Diamond in Richmond, Virginia.",Wrigley Field,0.30934953689575195,0.5009899139404297,0.3174317181110382
29,Das Racist.,Swet Shop Boys,0.2766458988189697,0.3232567310333252,0.19393111765384674
30,"There is no information about an album called ""Women in Technology"".",23,0.46315836906433105,0.7171320915222168,0.037157416343688965
31,959,959,0.26018190383911133,0.2933351993560791,1.0
