idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Kate Spade,Kate Spade,0.04977703094482422,7.905843734741211,0.9999998807907104,1.0,1.0
1," Columbus, Ohio.","Columbus, Ohio",0.050009727478027344,8.01348328590393,0.9755048155784607,1.0,1.0
2, Saddam Hussein,Saddam Hussein,0.06421017646789551,7.771227598190308,1.0,1.0,1.0
3," Pete Sampras won Wimbledon five times, not Menno Oosting or Goran Ivanišević.",Goran Ivanišević,0.05734062194824219,10.326242446899414,0.5155445337295532,0.375,0.375
4, The Multifunction Polis.,Multifunction Polis,0.05034995079040527,8.378432750701904,0.928430438041687,0.8,0.8
5, Microsoft Windows and Linux.,Microsoft Windows and Linux,0.05000901222229004,8.122230768203735,0.865555465221405,1.0,1.0
6, Tameside Stadium.,Tameside Stadium,0.04786992073059082,8.140213966369629,0.9869006872177124,1.0,1.0
7, The Danes.,Danes,0.05263161659240723,8.0072181224823,0.898352324962616,0.6666666666666666,0.6666666666666666
8, Teucrium has more species.,Teucrium,0.05077195167541504,8.492815732955933,0.7450357675552368,0.4,0.4
9, Floyd Mayweather Jr. vs. Conor McGregor,The Money Fight,0.05364108085632324,8.497721195220947,0.4176100492477417,0.0,0.0
10," April 9, 1967","September 5, 1967",0.0627279281616211,8.378944158554077,0.9513823986053467,0.3333333333333333,0.3333333333333333
11, Lincoln City,Lincoln City,0.04745292663574219,7.772035837173462,1.0,1.0,1.0
12, Daniel Negreanu,Daniel Negreanu,0.04928421974182129,8.152148246765137,1.0,1.0,1.0
13, Yes.,yes,0.05154848098754883,7.764693975448608,0.836855947971344,1.0,1.0
14, No.,no,0.04748129844665527,7.763660430908203,0.8128341436386108,1.0,1.0
15, The Sweet Escape,The Sweet Escape,0.04882001876831055,7.890474796295166,1.0000001192092896,1.0,1.0
