idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, United Utilities,United Utilities,0.2957627773284912,22.715322971343994,1.0
1, Crazy Town,rap rock band,0.35150742530822754,22.75061559677124,0.3093838393688202
2, Yes.,yes,0.32581400871276855,22.772727489471436,0.836855947971344
3, Adelaide,Adelaide,0.3456428050994873,22.442920207977295,1.0000001192092896
4, Volkswagen emissions scandal.,Volkswagen emissions scandal,0.3399357795715332,23.22713565826416,0.9538860321044922
5, Milt Wagner,"Milton ""Milt"" Wagner",0.3444390296936035,22.94319224357605,0.8554137945175171
6, Yes.,yes,0.3367030620574951,22.76484966278076,0.836855947971344
7, Burma VJ,Burma VJ,0.3402669429779053,22.96382427215576,0.9999999403953552
8, Filmmaker,filmmaker,0.34354496002197266,23.031723260879517,1.0
9, LaMarcus Aldridge,LaMarcus Aldridge,0.4165940284729004,23.250895023345947,1.0
10, The Great Falls Voyagers.,Great Falls Voyagers,0.29326677322387695,23.6535804271698,0.9486392736434937
11, Bleeding Through,Of Mice & Men,0.4019052982330322,22.918494939804077,0.12491404265165329
12, American,German-American,0.33174777030944824,22.537095069885254,0.7118151187896729
13, Hava Nagila,Hava Nagila,0.34328794479370117,22.912744522094727,1.0
14, India,India,0.34061408042907715,22.566548109054565,1.0
15, No.,no,0.3349635601043701,22.7340190410614,0.8128341436386108
16, Columbia Games,Columbia Games,0.35915350914001465,22.7907235622406,1.0
17, Terry Crews,Terry Crews,0.3290083408355713,23.01029348373413,1.0
18, Josh Hopkins,Josh Hopkins,0.34917449951171875,22.663521766662598,1.0000001192092896
19, DJ BoBo,René Baumann,0.33969712257385254,22.992621660232544,0.3008401393890381
20," Sydney, Australia",Sydney,0.3400602340698242,23.006795406341553,0.9122502207756042
21, Penny Dreadful,"""Penny Dreadful""",0.34702444076538086,22.98513650894165,0.9548311233520508
22, Tom Sawyer Island,Tom Sawyer Island,0.34459590911865234,23.050112009048462,1.0
23, Out of Sight,Out of Sight,0.26107120513916016,23.03876042366028,1.0
24, 1998,1998,0.34702157974243164,23.030564546585083,1.0
25, Professional tennis player.,tennis player,0.32837581634521484,23.21611714363098,0.9351492524147034
26, Kyushu,Kyushu,0.3471367359161377,22.979128122329712,1.0
27, The Office,The Office,0.34174084663391113,22.740007400512695,1.0
28, 9 November 2012,9 November 2012,0.3439757823944092,23.72869348526001,1.0000001192092896
29," They both appeared on ""The Colbert Report"".",character,0.34679317474365234,24.28495454788208,0.07692911475896835
30, English,English,0.3528409004211426,22.43522620201111,1.0
31, Dharug,Darug,0.3430042266845703,23.1067898273468,0.3402103781700134
