idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Polarity.,Polarity,0.0009157657623291016,1.6726088523864746,0.9502789974212646
1,Tool has won 3 Grammy Awards.,three Grammy Awards,0.0009031295776367188,0.4181058406829834,0.7520749568939209
2,13 years (1922-1935),one,0.0007829666137695312,0.5334701538085938,0.11974350363016129
3,Kitten Natividad.,Kitten Natividad,0.0007619857788085938,0.37450432777404785,0.9836938381195068
4,"Jackson Wang, son of Wang Ruiji, is a Chinese fencer's son who is an entertainer and fluent in 6 languages.",Jackson Wang,0.0007421970367431641,1.2769527435302734,0.7289431095123291
5,"The character's name is not mentioned in the given context. However, the drama series created by Sarah Treem and Hagai Levi is called ""The Affair"".",Whitney Solloway,0.0006644725799560547,1.4379572868347168,0.24310719966888428
6,Nikola Tesla.,the public and society,0.0008008480072021484,0.25354909896850586,0.14400288462638855
7,"No, Paul Baloff was a thrash metal singer, not a pop rock singer.",no,0.0006685256958007812,0.8272302150726318,0.2086794078350067
8,Nicktoons Network.,Nicktoons,0.0007922649383544922,0.3374600410461426,0.838874340057373
9,London Weekend Television.,London Weekend Television,0.0007717609405517578,0.2813284397125244,0.9842921495437622
10,1986,1986,0.0006937980651855469,0.25612306594848633,1.0000001192092896
11,1217,1123,0.0006287097930908203,0.2585320472717285,0.75947105884552
12,39650,39650 acre,0.0006058216094970703,0.25566840171813965,0.5309562683105469
13,Full Tilt Poker.,Full Tilt Poker,0.0006532669067382812,0.33699941635131836,0.982835054397583
14,Monfragüe.,Monfragüe,0.0006949901580810547,0.33801817893981934,0.9697402715682983
15,The European debt crisis.,The European debt crisis,0.0007083415985107422,0.3344898223876953,0.9770410060882568
16,There is no information about a British Former professional Cyclist who was part of Team Halfords Bikehut in the given context.,Sharon Laws,0.0006103515625,1.1606898307800293,0.07983025908470154
17,Yes.,yes,0.0006413459777832031,0.2174239158630371,0.836855947971344
18,19 metres,2310 ft,0.0006270408630371094,0.25771379470825195,0.51463383436203
19,"No, Michel Butor was French and Joanne Harris is English.",no,0.0006487369537353516,0.6873672008514404,0.12038309127092361
20,Adventures in Babysitting.,Adventures in Babysitting,0.0006108283996582031,0.3744332790374756,0.9657388925552368
21,Ridley Scott.,Ridley Scott,0.0005853176116943359,0.2565634250640869,0.9605762958526611
22,Neither.,United States Supreme Court,0.0006573200225830078,0.21918749809265137,0.09513775259256363
23,1991-1993.,1991,0.0006322860717773438,0.41411733627319336,0.878634512424469
24,Sportwagons.,Sportwagons,0.0006184577941894531,0.3349189758300781,0.9742434024810791
25,"Honeysuckle has more species, approximately 180, compared to Abelia's unknown number.",Honeysuckles,0.0005998611450195312,0.9243812561035156,0.5793733596801758
26,Oriental City at 399 Edgware Road in London.,"Colindale, London",0.0006072521209716797,0.6103155612945557,0.427291601896286
27,Khaled Hosseini.,Khaled Hosseini,0.0007166862487792969,0.35392332077026367,0.9895092248916626
28,"Redwood City, California.",London,0.0006453990936279297,0.37401366233825684,0.3966583013534546
29,A.L.I.E.,A.L.I.E.,0.0006084442138671875,0.336076021194458,1.0
30,Left Eye.,Lisa Nicole Lopes,0.00067901611328125,0.2624013423919678,0.16902269423007965
31,Romance.,animated,0.0007951259613037109,0.21805667877197266,0.3136969804763794
32,"April 10, 1911.",1911,0.0006301403045654297,0.4541482925415039,0.7352750897407532
33,Yann Tiersen.,Yann Tiersen,0.0007390975952148438,0.3761618137359619,0.986304759979248
34,"Richmond, Kentucky.",Richmond,0.0007710456848144531,0.29784178733825684,0.8154270648956299
35,"Albert Speer was a high-ranking official in Nazi Germany, serving as the Minister of Armaments and Munitions.",Reich Minister of Armaments and War Production,0.0006361007690429688,1.0419411659240723,0.5909357070922852
36,The Claremont Colleges.,Claremont Colleges,0.0006289482116699219,0.2770707607269287,0.9700747132301331
37,Kiva's repayment success rate is over 98%.,between 95 and 98 percent,0.0007529258728027344,0.572091817855835,0.3933351933956146
38,Working Girl.,Working Girl,0.0006868839263916016,0.256655216217041,0.9625190496444702
39,Delaware.,Delaware,0.0006625652313232422,0.1992173194885254,0.966995358467102
40,I couldn't find any information about John Crabbe defending a castle.,"Berwick-upon-Tweed, Northumberland, England",0.0005536079406738281,0.6875994205474854,0.22787845134735107
41,ZZ Top.,ZZ Top,0.0006020069122314453,0.2563505172729492,0.9717715978622437
42,Konami.,Konami,0.0006334781646728516,0.2575693130493164,0.9741964340209961
43,Paul Lambert.,Paul Lambert,0.0007648468017578125,0.23789119720458984,0.9796403646469116
