idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Yes,yes,0.0005354881286621094,0.9474697113037109,1.0000001192092896,1.0,1.0
1, Concordia College,Immanuel College,0.0005421638488769531,1.673372507095337,0.5309920310974121,0.5,0.5
2, Liu Yifei,Liu Yifei,0.0005056858062744141,2.07399320602417,1.0,1.0,1.0
3, 1934,1934,0.0005240440368652344,1.6694350242614746,0.9999999403953552,1.0,1.0
4, Prouts Neck,Scarborough,0.0005044937133789062,1.6708776950836182,0.14241595566272736,0.0,0.0
5, Katy Perry,Katheryn Elizabeth Hudson,0.000522613525390625,1.2766501903533936,0.5477889180183411,0.0,0.0
6, south,south,0.0005013942718505859,0.8634018898010254,1.0,1.0,1.0
7, Shigofumi: Letters from the Departed,Shenea Booth,0.0004942417144775391,4.490385055541992,0.13974541425704956,0.0,0.0
8, Comptonia,Comptonia,0.0005259513854980469,1.6680543422698975,1.0,1.0,1.0
9, Original Sin,Original Sin,0.0004987716674804688,1.2694556713104248,1.0,1.0,1.0
10, Joseph A. Walker,John Glenn,0.0005102157592773438,2.0744776725769043,0.40976691246032715,0.0,0.0
11, Dane County,Governor Wentworth Regional School District,0.0005052089691162109,1.2697868347167969,0.21946771442890167,0.0,0.0
12, T. S. Eliot,T. S. Eliot,0.0005061626434326172,2.8852782249450684,1.0000001192092896,1.0,1.0
13, Martin McDonagh,Martin McDonagh,0.0005097389221191406,1.6746041774749756,1.0,1.0,1.0
14, A. A. Fabbri,Ens. Charles W. Farmer,0.000507354736328125,3.2834718227386475,0.15031585097312927,0.0,0.0
15, Yes,yes,0.0005121231079101562,0.8578803539276123,1.0000001192092896,1.0,1.0
16, Tamiami Canal,Tamiami Canal,0.0004963874816894531,1.668241262435913,1.0,1.0,1.0
17," The cover art for the album ""White Shadows"" is a representation of a skull.",Baudot code,0.0004971027374267578,7.318849325180054,0.035116784274578094,0.0,0.0
18, Deftones,Deftones,0.0005040168762207031,1.6793336868286133,1.0,1.0,1.0
19, Marjorie Kinnan Rawlings,Marjorie Kinnan Rawlings,0.0005121231079101562,3.6966171264648438,1.0,1.0,1.0
20, AFI,Republica,0.0005118846893310547,1.2692360877990723,0.17683404684066772,0.0,0.0
21, They are both film directors.,screenwriter and film director,0.0005130767822265625,2.8983945846557617,0.791877269744873,0.4444444444444445,0.4444444444444445
