KVcache prepared in 19.513380765914917 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6864938735961914
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6864938735961914
[1]: Semantic Similarity: 0.84656,	 cache time: 2.384185791015625e-07,	 generate time: 3.7915773391723633
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 2.384185791015625e-07,	 generate time: 2.7390356063842773
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 0.9301793575286865
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 2.384185791015625e-07,	 generate time: 2.1360835234324136
[3]: Semantic Similarity: 0.47763,	 cache time: 4.76837158203125e-07,	 generate time: 5.792526721954346
[3]: [Cumulative]: Semantic Similarity: 0.82847,	 cache time: 2.980232238769531e-07,	 generate time: 3.0501943230628967
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 1.6485741138458252
[4]: [Cumulative]: Semantic Similarity: 0.86047,	 cache time: 2.86102294921875e-07,	 generate time: 2.7698702812194824
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.929722785949707
[5]: [Cumulative]: Semantic Similarity: 0.88373,	 cache time: 2.7815500895182293e-07,	 generate time: 2.463179032007853
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 0.9284036159515381
[6]: [Cumulative]: Semantic Similarity: 0.85385,	 cache time: 2.724783761160714e-07,	 generate time: 2.2439254011426653
[7]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 0.5688724517822266
[7]: [Cumulative]: Semantic Similarity: 0.87212,	 cache time: 2.384185791015625e-07,	 generate time: 2.0345437824726105
[8]: Semantic Similarity: 0.5787,	 cache time: 4.76837158203125e-07,	 generate time: 0.5685110092163086
[8]: [Cumulative]: Semantic Similarity: 0.83952,	 cache time: 2.6490953233506946e-07,	 generate time: 1.871651252110799
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7506823539733887
[9]: [Cumulative]: Semantic Similarity: 0.85557,	 cache time: 2.6226043701171877e-07,	 generate time: 1.7595543622970582
[10]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 0.3892214298248291
[10]: [Cumulative]: Semantic Similarity: 0.8687,	 cache time: 2.384185791015625e-07,	 generate time: 1.634978641163219
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9299986362457275
[11]: [Cumulative]: Semantic Similarity: 0.87964,	 cache time: 2.384185791015625e-07,	 generate time: 1.5762303074200947
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 3.8089823722839355
[12]: [Cumulative]: Semantic Similarity: 0.85119,	 cache time: 2.384185791015625e-07,	 generate time: 1.747980466255775
[13]: Semantic Similarity: 0.97949,	 cache time: 2.384185791015625e-07,	 generate time: 1.2886278629302979
[13]: [Cumulative]: Semantic Similarity: 0.86036,	 cache time: 2.384185791015625e-07,	 generate time: 1.7151695660182409
[14]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.4673924446105957
[14]: [Cumulative]: Semantic Similarity: 0.86967,	 cache time: 2.5431315104166666e-07,	 generate time: 1.698651091257731
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 0.5703797340393066
[15]: [Cumulative]: Semantic Similarity: 0.87354,	 cache time: 2.5331974029541016e-07,	 generate time: 1.6281341314315796
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7493915557861328
[16]: [Cumulative]: Semantic Similarity: 0.88098,	 cache time: 2.524432014016544e-07,	 generate time: 1.5764433916877298
[17]: Semantic Similarity: 0.97959,	 cache time: 2.384185791015625e-07,	 generate time: 1.1131701469421387
[17]: [Cumulative]: Semantic Similarity: 0.88646,	 cache time: 2.51664055718316e-07,	 generate time: 1.5507059892018635
[18]: Semantic Similarity: 0.11248,	 cache time: 2.384185791015625e-07,	 generate time: 2.1906683444976807
[18]: [Cumulative]: Semantic Similarity: 0.84572,	 cache time: 2.509669253700658e-07,	 generate time: 1.5843882184279592
