KVcache prepared in 105.25069832801819 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 1.8334884643554688
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 1.8334884643554688
[1]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.912109375
[1]: [Cumulative]: Semantic Similarity: 0.5811,	 cache time: 2.384185791015625e-07,	 generate time: 1.3727989196777344
[2]: Semantic Similarity: 0.95489,	 cache time: 2.384185791015625e-07,	 generate time: 1.3414735794067383
[2]: [Cumulative]: Semantic Similarity: 0.70569,	 cache time: 2.384185791015625e-07,	 generate time: 1.3623571395874023
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9017229080200195
[3]: [Cumulative]: Semantic Similarity: 0.77927,	 cache time: 2.384185791015625e-07,	 generate time: 1.2471985816955566
[4]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9057896137237549
[4]: [Cumulative]: Semantic Similarity: 0.82342,	 cache time: 2.384185791015625e-07,	 generate time: 1.1789167881011964
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.3286433219909668
[5]: [Cumulative]: Semantic Similarity: 0.85285,	 cache time: 2.384185791015625e-07,	 generate time: 1.203871210416158
[6]: Semantic Similarity: 0.33982,	 cache time: 2.384185791015625e-07,	 generate time: 2.1703624725341797
[6]: [Cumulative]: Semantic Similarity: 0.77956,	 cache time: 2.384185791015625e-07,	 generate time: 1.3419413907187325
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.7728016376495361
[7]: [Cumulative]: Semantic Similarity: 0.80711,	 cache time: 2.384185791015625e-07,	 generate time: 1.395798921585083
[8]: Semantic Similarity: 0.76835,	 cache time: 2.384185791015625e-07,	 generate time: 1.7545747756958008
[8]: [Cumulative]: Semantic Similarity: 0.80281,	 cache time: 2.384185791015625e-07,	 generate time: 1.4356629053751628
