idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, Maxim Viktorovich Marinin is older than Tatiana Ivanovna Totmianina.,Maxim Viktorovich Marinin,0.0005135536193847656,2.442523956298828,0.7027305960655212
1, No,no,0.0005314350128173828,0.28472447395324707,1.0
2, Cape Girardeau.,Southeast Missouri State University,0.00048542022705078125,0.8270251750946045,0.4146478772163391
3, South America,Brazil,0.0004911422729492188,0.4328296184539795,0.573782205581665
4, Will Beall.,James Wan,0.0005002021789550781,0.6886391639709473,0.1925918161869049
5, Yes.,yes,0.0004837512969970703,0.4197261333465576,0.836855947971344
6," ""Out of the Past""",Miracle on 34th Street,0.0004951953887939453,0.9786255359649658,0.22913755476474762
7, Justin Kurzel,Justin Kurzel,0.0004909038543701172,0.5712697505950928,1.000000238418579
8, Indian.,Indian,0.0005142688751220703,0.43385958671569824,0.9428892731666565
9," The United States, Germany, and the United Kingdom.","the United States, Germany and the United Kingdom",0.0004930496215820312,1.6853561401367188,0.904600977897644
10, Billboard Hot 100,"The ""Billboard"" Hot 100",0.00048804283142089844,0.7228226661682129,0.9681364297866821
11, Houston Rockets.,Houston Rockets,0.0004909038543701172,0.5959327220916748,0.9581079483032227
12, Magazine,magazine,0.0005054473876953125,0.30176353454589844,1.0000001192092896
13," Pixar's ""Cars 3""",Pixar,0.0005049705505371094,1.150648832321167,0.6524481773376465
14, 1981,1981,0.0004937648773193359,0.5925548076629639,1.0000001192092896
15,.357 Magnum revolver,.357 Magnum,0.0004858970642089844,0.7346196174621582,0.9273836016654968
