idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0," ""Measuring the World""","""Die Vermessung der Welt"" (translated into English by Carol Brown Janeway as ""Measuring the World"", 2006)",0.12686967849731445,8.948196411132812,0.6179003715515137
1," Rick Leach won 5 Grand Slam men's doubles titles, while Michaël Llodra won 3.",Rick Leach,0.10464358329772949,11.048006296157837,0.5680177807807922
2, University of Göttingen,University of Göttingen,0.1295161247253418,8.905842065811157,1.0
3, 1994,1 February 1994,0.12108445167541504,8.480351209640503,0.8089941740036011
4, Bolliger & Mabillard,Bolliger & Mabillard,0.11078453063964844,8.960822105407715,1.0
5," Kaitlin Olson plays the character Deandra ""Sweet Dee"" Reynolds.","Deandra ""Sweet Dee"" Reynolds",0.14134693145751953,10.02239179611206,0.8055787682533264
6, 1899 Hoffenheim,"Dortmund, North Rhine-Westphalia",0.13743853569030762,8.67020845413208,0.5103961825370789
7, Martina Hingis,Martina Hingis,0.132429838180542,8.796123266220093,1.0
8, Roger Vadim is French.,Roger Vadim Plemiannikov,0.12431478500366211,8.829073667526245,0.6206861734390259
9, Yes.,yes,0.12932968139648438,8.329108476638794,0.836855947971344
10, Saturday Night Live.,Saturday Night Live,0.12415266036987305,8.576592922210693,0.9659030437469482
11, Chicago Bears,Chicago Bears,0.11936831474304199,8.378540754318237,1.0
12," Keith Buckley was part of more bands, being a member of Every Time I Die and The Damned Things, while Kurt Cobain was the lead singer of Nirvana.",Keith Buckley,0.1021575927734375,12.523409605026245,0.602542519569397
13, Climbing and scrambling.,climbing and scrambling.,0.10420560836791992,8.722500562667847,1.0000001192092896
14, 1983,1983,0.1253201961517334,8.491654634475708,1.0000001192092896
15," Sidney Morgan was a film director, screenwriter, producer, and actor, known for directing 45 films between 1914 and 1937, and William Friedkin is a film director, producer, and screenwriter, known for directing ""The French Connection"" and ""The Exorcist"".",film director,0.1314539909362793,15.813528776168823,0.520565927028656
