idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,New York State Route 174 (NY 174) runs through Marcellus.,County Route 41,0.0009160041809082031,2.332336902618408,0.4116278886795044
1,Mrs. Danvers.,Mrs. Danvers,0.0010418891906738281,0.5461852550506592,0.9807050228118896
2,Dan Simmons.,Dan Simmons,0.0008931159973144531,0.4179384708404541,0.9712967872619629
3,Anschluss.,12 March 1938,0.0009229183197021484,0.5482633113861084,0.0657600685954094
4,1944.,1944,0.0007505416870117188,0.46282219886779785,0.9656848311424255
5,Nutella.,Nutella,0.0007929801940917969,0.44502902030944824,0.9785127639770508
6,Los Angeles.,Los Angeles,0.0007576942443847656,0.45452260971069336,0.9625944495201111
7,"They share a name, ""Jack"".",Jack,0.0008542537689208984,0.6467797756195068,0.6788089871406555
8,Italy.,Italy,0.0008563995361328125,0.4063913822174072,0.952889084815979
9,"No, both Oakland University and Wayne State University are public universities.",no,0.0008392333984375,0.8619036674499512,0.14823630452156067
10,They are both astronauts.,astronaut,0.0008409023284912109,0.5352962017059326,0.6736512184143066
11,The Atlanta Falcons of the National Football League (NFL).,the Atlanta Falcons,0.0007555484771728516,0.7311303615570068,0.9096222519874573
12,The Tulsa race riot of 1921.,Tulsa race riot,0.0008108615875244141,0.6888635158538818,0.8325825929641724
13,Maryland.,Maryland,0.0008006095886230469,0.4187784194946289,0.9680911302566528
14,1946.,1946,0.000820159912109375,0.48819994926452637,0.9630112051963806
15,"The Pickelhaube, a boiled leather helmet with a spiked top.",boiled leather Pickelhaube,0.0008475780487060547,0.9235050678253174,0.622245192527771
