KVcache prepared in 105.47825455665588 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 96.98088526725769
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 96.98088526725769
[1]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 95.89189314842224
[1]: [Cumulative]: Semantic Similarity: 0.5811,	 cache time: 3.5762786865234375e-07,	 generate time: 96.43638920783997
[2]: Semantic Similarity: 0.79932,	 cache time: 4.76837158203125e-07,	 generate time: 98.17472314834595
[2]: [Cumulative]: Semantic Similarity: 0.65384,	 cache time: 3.973642985026042e-07,	 generate time: 97.0158338546753
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 95.96543455123901
[3]: [Cumulative]: Semantic Similarity: 0.74038,	 cache time: 3.5762786865234375e-07,	 generate time: 96.75323402881622
[4]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 96.02668571472168
[4]: [Cumulative]: Semantic Similarity: 0.7923,	 cache time: 3.337860107421875e-07,	 generate time: 96.60792436599732
[5]: Semantic Similarity: 0.38728,	 cache time: 2.384185791015625e-07,	 generate time: 104.6081895828247
[5]: [Cumulative]: Semantic Similarity: 0.7248,	 cache time: 3.178914388020833e-07,	 generate time: 97.94130190213521
[6]: Semantic Similarity: 0.21645,	 cache time: 2.384185791015625e-07,	 generate time: 97.34187150001526
[6]: [Cumulative]: Semantic Similarity: 0.65218,	 cache time: 3.065381731305804e-07,	 generate time: 97.85566898754665
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 97.29755687713623
[7]: [Cumulative]: Semantic Similarity: 0.69566,	 cache time: 2.980232238769531e-07,	 generate time: 97.78590497374535
[8]: Semantic Similarity: 0.76835,	 cache time: 2.384185791015625e-07,	 generate time: 96.96112990379333
[8]: [Cumulative]: Semantic Similarity: 0.70373,	 cache time: 2.914004855685764e-07,	 generate time: 97.69426329930623
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 97.90927815437317
[9]: [Cumulative]: Semantic Similarity: 0.72058,	 cache time: 2.86102294921875e-07,	 generate time: 97.71576478481293
[10]: Semantic Similarity: 0.21999,	 cache time: 2.384185791015625e-07,	 generate time: 96.28354907035828
[10]: [Cumulative]: Semantic Similarity: 0.67508,	 cache time: 2.8176741166548297e-07,	 generate time: 97.58556335622615
[11]: Semantic Similarity: 0.72375,	 cache time: 7.152557373046875e-07,	 generate time: 95.85686588287354
[11]: [Cumulative]: Semantic Similarity: 0.67913,	 cache time: 3.178914388020833e-07,	 generate time: 97.44150523344676
[12]: Semantic Similarity: 0.57143,	 cache time: 7.152557373046875e-07,	 generate time: 96.39231324195862
[12]: [Cumulative]: Semantic Similarity: 0.67085,	 cache time: 3.4845792330228363e-07,	 generate time: 97.36079815717844
[13]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 97.44412565231323
[13]: [Cumulative]: Semantic Similarity: 0.69436,	 cache time: 3.5762786865234375e-07,	 generate time: 97.36675012111664
[14]: Semantic Similarity: 0.5318,	 cache time: 2.384185791015625e-07,	 generate time: 97.91105127334595
[14]: [Cumulative]: Semantic Similarity: 0.68352,	 cache time: 3.4968058268229164e-07,	 generate time: 97.40303686459859
[15]: Semantic Similarity: 0.67062,	 cache time: 2.384185791015625e-07,	 generate time: 97.50422668457031
[15]: [Cumulative]: Semantic Similarity: 0.68271,	 cache time: 3.427267074584961e-07,	 generate time: 97.40936122834682
[16]: Semantic Similarity: -0.03425,	 cache time: 2.384185791015625e-07,	 generate time: 99.62644910812378
[16]: [Cumulative]: Semantic Similarity: 0.64054,	 cache time: 3.365909352022059e-07,	 generate time: 97.53977816245136
[17]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 95.98939871788025
[17]: [Cumulative]: Semantic Similarity: 0.66051,	 cache time: 3.311369154188368e-07,	 generate time: 97.45364597108629
[18]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 97.12380647659302
[18]: [Cumulative]: Semantic Similarity: 0.67838,	 cache time: 3.2625700298108553e-07,	 generate time: 97.43628599769191
[19]: Semantic Similarity: 0.94969,	 cache time: 4.76837158203125e-07,	 generate time: 96.2152750492096
