idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0," May 9, 2017","May 9, 2017",0.0004885196685791,1.0846190452575684,1.0000001192092896,1.0,1.0,"Andrew George McCabe is an American attorney, who is the Deputy Director of the Federal Bureau of Investigation, McCabe became Acting Director of the FBI after James Comey was dismissed, James Brien Comey Jr. (born December 14, 1960) is an American lawyer who served as the seventh Director of the FBI from September 4, 2013, until which date?"
1, Yes.,no,0.0005059242248535,0.3865442276000976,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
2," Tim DuBois suggested that the duo form who recorded ""Hard Workin' Man"".",Tim DuBois,0.0005090236663818,2.3403429985046387,0.576686680316925,0.2857142857142857,0.2857142857142857,"Who suggested that the duo form who recorded ""Hard Workin' Man""?"
3, 2017,2017,0.0004942417144775,0.5154275894165039,1.0000001192092896,1.0,1.0,"Jo In-sung, is a South Korean actor, he was in the film The King, released in which year, a South Korean political crime thriller film starring Jo In-sung and Jung Woo-sung?"
4," Morrisville, North Carolina.","Beijing, China and Morrisville, North Carolina",0.0004992485046386,0.8846535682678223,0.5704290866851807,0.6666666666666666,0.6666666666666666,"Where is the headquarters of the company that unveiled a 2-in-1 convertible tablet at the 2013 IFA in Berlin, Germany?"
5, Mountains,mountain,0.0004968643188476,0.2636044025421142,0.8778848648071289,1.0,1.0,Baintha Brakk and K2 are both names of what?
6, County-level cities in China.,a county-level city,0.0005035400390625,0.8751580715179443,0.6496922373771667,0.6666666666666665,0.6666666666666665," BOTH Tumen, Jilin and Leiyang are what? "
7, Bruce Spizer,"David ""Bruce"" Spizer",0.0004858970642089,0.5144133567810059,0.9033592939376832,0.8,0.8,Which Tax Attorney is recognized as an expert of an English rock band who's members include Paul McCartney and Ringo Starr?
8, Banjul,Bathurst,0.0004994869232177,0.5079126358032227,0.1794449687004089,0.0,0.0,What is the former name of Jatto Ceesay's birth place?
9, Bergen.,Kirkenes,0.0005037784576416,0.3951663970947265,0.3863582611083984,0.0,0.0,What town in Sør-Varanger Municipality in Finnmark county was Hurtigruten founded to operate voyages to in 1893? 
10, Panem.,Panem in North America,0.0005018711090087,0.5071141719818115,0.727093517780304,0.4,0.4,Where does the novel Mockinjay by Suzanne Collins take place?
11, Mexico City,Mexico City,0.0004959106445312,0.3865962028503418,1.0,1.0,1.0,Where is the company that owns Claro Colombia headquartered?
12," October 21, 2007","September 25, 2005",0.0005016326904296,1.0108373165130615,0.7606038451194763,0.0,0.0,"When was the Polish politician and former Vice-Minister of Foreign Affairs of Poland, who was a Doctor of Law, and who candidated from a right-wing populist, national-conservative, and Christian democratic political party in Poland, elected to the Sejm?"
13," March 18, 2017","March 18, 2017",0.0005106925964355,0.9974977970123292,1.0,1.0,1.0,"On what date was the playlist that ""Madiba Riddim"" was on released?"
14, David Archer,David Archer,0.0005104541778564,0.3857605457305908,0.9999998807907104,1.0,1.0,"The husband of Judy Bentinck plays what role on the series ""The Archers""?"
15, Yes.,yes,0.0004820823669433,0.3856420516967773,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
