idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, 1923,24 May 1923,0.0004756450653076,0.5953235626220703,0.8919569849967957,0.5,0.5,The ancestral home of George Henry Moore was burned down during a conflict that ended on what date?
1, Eugene Onegin,The Queen of Spades,0.0004961490631103,0.5644028186798096,0.1786517798900604,0.0,0.0,"Which opera premiered first, Tosca or The Queen of Spades?"
2, 2017,2017,0.000490665435791,0.5363247394561768,1.0000001192092896,1.0,1.0,"Jo In-sung, is a South Korean actor, he was in the film The King, released in which year, a South Korean political crime thriller film starring Jo In-sung and Jung Woo-sung?"
3," ""Lovecraft""",Lovecraft,0.00048828125,0.6561453342437744,0.946787178516388,1.0,1.0,What was the tenth episode of the American crime drama television series developed by Bruno Heller called?
4, Tofu.,bean curd,0.0004949569702148,0.6564900875091553,0.2858392298221588,0.0,0.0,Soy egg can also be made with a substitute cultivated by coagulating soy milk also known as what 
5, 1984,1984,0.0004982948303222,0.5327126979827881,1.0,1.0,1.0,Mr. Peregrine Percival is a fictional character in a children's tv series that was first broadcast in Great Britian in what year?
6, Film.,film,0.0004963874816894,0.4213199615478515,0.8702664375305176,1.0,1.0,"Food, Inc. and Triumph of the Will, are which form of entertainment?"
7, John Eleuthère du Pont.,John Eleuthère du Pont,0.000490665435791,1.032437086105347,0.9876766800880432,1.0,1.0,Who murdered the American Olympian Dave Schultz?
8, Seoul,Seoul,0.0004951953887939,0.2730977535247803,0.9999999403953552,1.0,1.0,Ko Won-hee became the youngest ever model for an airline headquartered in what city?
9," 8,958",8958 sqmi,0.0004870891571044,0.6619646549224854,0.4380229711532593,0.0,0.0, The El Hadj Hassan Gouled Aptidon Stadium is located in a country with a total area of how many square miles ?
10, The 15:17 to Paris.,The 15:17 to Paris,0.0004792213439941,1.168102741241455,0.9903227090835572,1.0,1.0,What upcoming film is based on a man who was awarded an Airman's Medal and a Purple Heart for his actions?
11, Robin Hood (1973),Robin Hood,0.0005035400390625,0.9077322483062744,0.8339442610740662,0.8,0.8,"Which film was released first, Robin Hood or Sky High?"
12, Billions.,Billions,0.000476598739624,0.5262644290924072,0.9573147296905518,1.0,1.0,Which American television drama series stars Paul Giamatti and features Sean Ringgold?
13, Mark Knopfler,Mark Freuder Knopfler,0.0004878044128417,0.780895471572876,0.7922834157943726,0.8,0.8,What artist that co-founded a band with David Knopfler also played with the group Brewers Droop?
14, Alberto Del Rio,Alberto Del Rio,0.0004811286926269,0.5262026786804199,1.0,1.0,1.0,Which wrestler wrestled in both The League of Nations and Global Force Wrestling?
15, ACS Nano,ACS Nano,0.0004847049713134,0.4013442993164062,1.0,1.0,1.0,Ali Khademhosseini is an Associate Editor for which journal published by American Chemical Society?
