idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, To symbolize the blood of Christ and Christian martyrs.,to symbolize the blood of Christ and the Christian martyrs,0.0735993385314941,16.429548263549805,0.9685169458389282,0.9473684210526316,0.9473684210526316,Why did the Popes of the middle ages wear red?
1, 1295,1295,0.2501859664916992,14.815757513046265,1.0,1.0,1.0,In what year did cardinals in the Roman Catholic church start wearing red?
2, 1968,1968,0.0738182067871093,14.762609720230104,1.0,1.0,1.0,When was the Terry v. Ohio case?
3," The study of fluid flows in a regime where the mean free path of residual gases is longer than the chamber, pump, spacecraft, or other objects present.",study of fluid flows,0.094182014465332,19.69944715499878,0.5619279742240906,0.2580645161290322,0.2580645161290322,What is particle gas dynamics?
4, Kyoto,Kyoto,0.0879669189453125,14.393978834152222,1.0,1.0,1.0,Where was the military academy located?
5, By a key switch located inside the elevator on the centralized control panel.,Phase-two mode can only be activated by a key switch located inside the elevator on the centralized control panel,0.2740166187286377,16.7143497467041,0.6161851286888123,0.787878787878788,0.787878787878788,How is the Phase-two mode enabled?
6," Red, Green, and Blue.","red, green and blue",0.0858879089355468,15.424348831176758,0.949793577194214,1.0,1.0,Which colors are part of the RGB model?
7, Increased performance in competitions.,increased performance,0.2606468200683594,15.125061273574827,0.6220170855522156,0.6666666666666666,0.6666666666666666,"Wearing red is connected to what result in humans, in terms of sport?"
8, 1853,1853,0.0793585777282714,14.698536396026611,1.0,1.0,1.0,When did Washington University secure its charter?
9, Reduce air pressure by around 20%.,reduce air pressure by around 20%,0.0695517063140869,15.661910772323608,0.8933592438697815,1.0,1.0,A typical vacuum cleaner produces enough suction to do what to air pressure?
10, A red flag announced that the defenders of a town or castle would fight to defend it.,defenders of a town or castle would fight to defend it,0.0777788162231445,17.5004985332489,0.7935289144515991,0.7857142857142858,0.7857142857142858,What did a red flag signal in the Middle Ages?
11, The grip of the grooves in the sheave.,a motor mechanic utilizing a system of toothed wheels,0.0828280448913574,16.08604097366333,0.1202363744378089,0.1176470588235294,0.1176470588235294,What controlled the traction?
12," Approximately 300,000.","300,000",0.0769495964050293,15.292214632034302,0.7606668472290039,0.8,0.8,How many Super Famicoms were produced in the first run?
13, A tiny grain.,a tiny grain,0.0839934349060058,14.963212013244627,0.9812091588974,1.0,1.0,What does Kokkos mean in english?
14, 10 torr to 10−3 torr.,10 torr to 10−3 torr,0.0844900608062744,16.35929226875305,0.9750394821166992,1.0,1.0,A Pirani gauge is accurate within what ranges?
15, The ability to develop and debug programs in days rather than weeks.,programs could be developed and debugged in days rather than the weeks,0.1000788211822509,16.55166721343994,0.7593443989753723,0.8333333333333334,0.6666666666666666,What were advantages for programming new ENIAC?
16, Violet,violet,0.0796883106231689,14.452124834060667,1.0,1.0,1.0,Which color is opposite of red on the visible spectrum?
17, The elevator doors close and the car returns to the lobby or designated floor.,"The doors then close after an adjustable time period and the car remains unusable until reset, usually by cycling the elevator main power switch",0.0786395072937011,16.854858875274658,0.6217429041862488,0.4210526315789474,0.3684210526315789,"Once the passengers have exited, what happens?"
18," His published works covered topics in mathematics, physics, economics, and computer science.","60 in pure mathematics, 20 in physics, and 60 in applied mathematics",0.0823242664337158,17.14772605895996,0.4691791534423828,0.3333333333333333,0.3333333333333333,"Of his published works, what topics were they covering?"
19," Red lac was made from the gum lac, the dark red resinous substance secreted by various scale insects, particularly the Laccifer lacca from India.","insects or plants, with white chalk or alum",0.0980496406555175,20.048707962036133,0.3119524121284485,0.0625,0.0625,What was red lake composed of?
20, The ground state of matter.,the ground state of matter.,0.089496374130249,15.314916133880615,1.0000001192092896,1.0,1.0,The Vacuum state is considered what?
21, Einstein,Einstein,0.2728126049041748,14.43341588973999,1.0,1.0,1.0,Who's equations  helped to imply vanishing of the Ricci tensor?
22, Hot cathode and cold cathode.,hot cathode and cold cathode.,0.0782749652862548,15.639856815338137,1.0000001192092896,1.0,1.0,What are the two types of Ion gauges?
23, Tissue elasticity.,tissues are elastic and porous,0.0811419486999511,14.90847635269165,0.7984053492546082,0.5714285714285715,0.5714285714285715,What prevents body rupture at low altitude when human body is bloated by gas bubbles?
