idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"No, they were not designed by the same person. Timberland was designed by Klaus Teuber and Tikal was designed by Wolfgang Kramer and Michael Kiesling.",no,0.0010595321655273,3.458707571029663,0.0564742311835289,0.0769230769230769,0.0769230769230769,Are Chris Marker and Yvonne Rainer American?
1,Harmony: A New Way of Looking at Our World.,Harmony: A New Way of Looking at Our World,0.0010948181152343,0.948775053024292,0.9845867156982422,1.0,1.0,Which 2010 book was written by the eldest child of Queen Elizabeth II?
2,Project Grizzly.,Project Grizzly,0.0009512901306152,0.6387479305267334,0.9854680299758912,1.0,1.0,"Between Project Grizzly and Takin' Place, which was filmed earlier?"
3,"67,044.","67,044",0.000955581665039,0.6896932125091553,0.9737686514854432,1.0,1.0,What was the population in the 2010 census of the County in which the city of Hogansville is located ?
4,"""Life in the Fast Lane""",Life in the Fast Lane,0.0009503364562988,0.738006591796875,0.9448232054710388,1.0,1.0,The Last Resort was the B-side of what Eagles' single in 1977?
5,"16 December 1938, when Franco's troops began the Catalonia Offensive.",Francisco Franco Bahamonde,0.0009987354278564,1.173590898513794,0.3345673084259033,0.1428571428571428,0.1428571428571428,La Dona Catalana published a final issue on the same day that which Spanish general's troops began the Catalonia Offensive?
6,Joseph Roth (1894) began writing earlier than J. M. Coetzee (1940).,Joseph Roth,0.0009772777557373,1.3444631099700928,0.6298987865447998,0.3076923076923077,0.3076923076923077,"Which novelist began writing earlier, Joseph Roth or J. M. Coetzee?"
7,Envoy Air Inc.,Envoy Air,0.0009646415710449,0.708125114440918,0.8595644235610962,0.8,0.8,"What is the American Airlines Group that's headquartered in Irving, Texas?"
8,Sandema.,Sandema,0.0009257793426513,0.5114939212799072,0.9693812131881714,1.0,1.0,What is the capital of the district that Wiaga is in?
9,Vienna.,Schwechat,0.0009686946868896,0.6104741096496582,0.2096078097820282,0.0,0.0,Lauda Air is headquartered at the airport located in what city?
10,Maggie Smith,Maggie Smith,0.0009794235229492,0.608618974685669,1.0,1.0,1.0,A 2015 British comedy-drama film directed by Nicholas Hytner featured a three-time Olivier Award winner and what other actress?
11,"York Beach, Maine.","York Beach, Maine",0.0009822845458984,0.7214410305023193,0.9799050092697144,1.0,1.0,"Which village within the town of York, Maine was the filming location for the final film role of Colleen Dewhurst?"
12,China.,People's Republic of China,0.0009498596191406,0.6012434959411621,0.5142704248428345,0.3333333333333333,0.3333333333333333,"Yanzhou District and Yizheng, are in which country?"
13,"Stewart Hendler directed the 2016 American superhero science fiction-action film ""Max Steel"".",Stewart Hendler,0.0010221004486083,1.2514269351959229,0.4932457506656647,0.2666666666666667,0.2666666666666667,"Who was the director of the 2016 American superhero science fiction-action film in which the actor, who played Aiden in the film ""Teen Spirit"", starred?"
14,Brendon McCullum,Brendon McCullum,0.0009872913360595,0.725456714630127,1.0,1.0,1.0,Which player of Birmingham Bears T20 Cricket Club is born on 27 September 1981 ?
15,Mexico.,Mexico,0.0010077953338623,0.594048023223877,0.9588402509689332,1.0,1.0,"Where did the career begin of the actress who stared in the 2002 American biopic drama film, Frida?"
