idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Alicia Alonso.,Ballet Nacional de Cuba,0.0004823207855224,0.5884904861450195,0.2414956837892532,0.0,0.0,Lydia Diaz Cruz trained with a prima ballerina who danced with what company?
1, Avro Lancaster,Avro Lancaster,0.0005180835723876,0.5407505035400391,1.0,1.0,1.0,Notable planes made at Woodford Aerodrome include what British four-engined Second World War heavy bomber?
2, Pike Place Market,Elliott Bay,0.0004982948303222,0.535146951675415,0.2840525507926941,0.0,0.0,What body of water is the Butterworth Building located near?
3, Magazine,magazine,0.000511884689331,0.2763497829437256,1.0000001192092896,1.0,1.0,"Moves and Heavy Metal, are which type of publication?"
4, Ray Bradbury,Ray Bradbury,0.000502586364746,0.5343191623687744,1.0000001192092896,1.0,1.0,"The film The illustrated Man is based upon a science fiction short story, which was published in 1951 by what author?"
5," Belle and Sebastian was formed first in 1996, while Black Kids was formed in 2006.",Belle and Sebastian,0.0005033016204833,2.845832347869873,0.6137800216674805,0.3333333333333333,0.3333333333333333,Which film did Margaux Châtelierm appear in that is a 2013 French adventure film directed? by Nicolas Vanier?
6, Chester and Ellesmere Port.,London and Birkenhead,0.0005080699920654,1.0527408123016355,0.4480765461921692,0.2857142857142857,0.2857142857142857,"What is the name of the two cities that the road in Quarry Wood, Hinstock links between? "
7, Azhagan,Azhagan,0.0005114078521728,0.5467476844787598,1.0000001192092896,1.0,1.0,"Which film is featured in the Dravidian language predominantly spoken by the Tamil people of India, and was directed by K. Balachander and came out in 1991?"
8, England,England,0.0004968643188476,0.2773416042327881,0.9999999403953552,1.0,1.0,"What country Clock Tower, St Albans and Eleanor cross have in common?"
9, Madrid,Madrid,0.0005080699920654,0.2839992046356201,1.0,1.0,1.0,"Eduardo Chozas Olmo, is a Spanish former professional road racing cyclist, and born in the capital of Spain and the largest municipality in both the Community of Madrid and Spain as a whole, is called what?"
10, The Stoney Nakota First Nations people.,Nakoda,0.0004992485046386,1.3026723861694336,0.5264987945556641,0.0,0.0,What indigenous people in Western Canada named Lake of the Little Fishes?
11, Yes.,yes,0.000493049621582,0.4047667980194092,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
12, Jana Wendt.,Jana Wendt,0.0005056858062744,0.6975023746490479,0.9854943752288818,1.0,1.0,"Australia Live was a four-hour telecast, broadcast live on the Nine Network, on 1 January 1988 to open Australia's Bicentennial celebrations, the whole event was anchored by various anchors, including which Australian, Gold Logie award-winning television journalist, reporter and writer?"
13, extinct breeds of dogs.,breed of dog,0.0005078315734863,0.7898049354553223,0.7454831600189209,0.8571428571428571,0.8571428571428571,Affenpinscher and Finnish Hound are both what?
14, Young Buck,Yo Gotti,0.0004892349243164,0.4108173847198486,0.2506172955036163,0.0,0.0,Only God Can Judge Me is a mixtape that included an appearance by which rapper who debuted in 1996?
15, Melissa Sagemiller,Melissa Sagemiller,0.0004980564117431,0.668938159942627,1.0,1.0,1.0,"Aviation Survival Technician is the challenging job is featured prominently in a film that stars  Kevin Costner, Ashton Kutcher and what actress?"
