idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,The rooms in the Belgian Suite are linked by narrow corridors.,by narrow corridors,0.0011053085327148,2.287985324859619,0.4966042041778564,0.4285714285714285,0.4285714285714285,How are the rooms in the Belgian Suite connected?
1,Buckingham Palace is also an art gallery and houses the offices of the Queen and other members of the royal family.,art gallery,0.001075267791748,1.4269771575927734,0.4596319496631622,0.1739130434782608,0.1739130434782608,"Aside from being the home of the monarchy and a tourist attraction, what else is Buckingham Palace known for?"
2,The work of Picasso and Braque.,Braque and Picasso,0.0010206699371337,0.8455326557159424,0.8982713222503662,0.6666666666666666,0.2222222222222222,Understanding who's work was the tradition meaning of Cubism formed on?
3,Juan Gris.,Juan Gris,0.0009524822235107,0.6486306190490723,0.9844105839729308,1.0,1.0,Who coined the phrase Analytic Cubsim? 
4,The Crown Estate owns Buckingham Palace and Windsor Castle.,Crown Estate,0.0009584426879882,0.940664291381836,0.7044792175292969,0.3636363636363636,0.3636363636363636,Who owns Buckingham Palace and Windsor Castle?
5,Goring Great Garden.,Goring Great Garden,0.0009493827819824,0.7384884357452393,0.9819589257240297,1.0,1.0,What was the name of Lord Goring Garden?
6,"The purposes of minority leader writings include highlighting minority party goals and achievements, outlining ways to neutralize the opposition's arguments and proposals, and promoting the party's agenda.",write books or articles that highlight minority party goals and achievements,0.000972032546997,1.8428285121917725,0.7314268350601196,0.35,0.35,What are the purpose of minority leader writings?
7,The Speaker of the House is the leader of the majority party in the House.,Speaker,0.0009419918060302,1.175179958343506,0.4600050449371338,0.125,0.125,Who is the leader of the majority leader in House?
8,Buckingham House.,Buckingham House,0.0009558200836181,0.6559879779815674,0.9801653623580932,1.0,1.0,What was King George II's royal residence beginning in 1762?
9,Sir James Pennethorne.,Sir James Pennethorne.,0.000948429107666,0.7769136428833008,1.0,1.0,1.0,Who was the student of Nash that designed the ballroom wing?
10,Dornier Do 17 bomber.,Dornier Do 17 bomber,0.0009369850158691,0.778357982635498,0.9816239476203918,1.0,1.0,What type of aircraft was the German Plane?
11,Woman Walking.,Woman Walking,0.0009846687316894,0.651827335357666,0.993730902671814,1.0,1.0,Which  Alexander Archipenko piece was similar to other Cubist scupltures of that time?
12,1762.,1762,0.0009663105010986,0.7010104656219482,0.9633775353431702,1.0,1.0,In what year was the Gold State Coach first used?
13,The Duke of Buckingham and Normanby in 1703.,Duke of Buckingham and Normanby,0.0009529590606689,1.0296156406402588,0.8390429019927979,0.7692307692307693,0.7692307692307693,The house which is the core of Buckingham was first built for who?
14,James Blaine of Maine.,James Blaine,0.0009713172912597,0.7759933471679688,0.854963481426239,0.6666666666666666,0.6666666666666666,What prominent ex-speaker was nominated for minority role in 1875?
15,King George V.,George V,0.0009932518005371,0.7029130458831787,0.8678106069564819,0.8,0.8,Which king placed more emphasis on official entertaining and royal duties instead of lavish parties?
16,A King's Messenger.,King's Messenger,0.0009272098541259,0.6870527267456055,0.8973678350448608,0.8571428571428571,0.8571428571428571,After the war what did Holmes become?
17,"£21,000.","£21,000",0.0009651184082031,0.7307066917419434,0.972305715084076,1.0,1.0,How much did George III pay for Buckingham House? 
18,"A minority leader can attempt to set some agenda for the House by employing discharge petitions to bring minority priorities to the floor, and by publicizing their party's priorities through various means such as press releases, town meetings, and social media.","may employ, or threaten to use, discharge petitions to try and bring minority priorities to the floor.",0.0009958744049072,2.4233498573303223,0.7296357750892639,0.4067796610169491,0.3389830508474576,How can a minority leader attempt to set some agenda for house?
19,Coach horses.,horses,0.000946044921875,0.6505310535430908,0.8238334655761719,0.6666666666666666,0.6666666666666666,"What enabled some tribes to expand territory, increase trade and capture more game?"
20,1905-1908.,"1905 and 1908,",0.0009827613830566,0.8009655475616455,0.952204704284668,0.8,0.8,"During which years did the conscious begin to look for a new style in Germany, Italy, Russia, and Holland?"
21,The Throne Room.,the throne room,0.0009644031524658,0.689263105392456,0.9784623384475708,1.0,1.0,The Ballroom replaced which other room in terms of importance and use?
22,Glass.,glass,0.0009758472442626,0.6175692081451416,0.951978325843811,1.0,1.0,"When resin stays below Tg, its thermal expansion is similar to that of copper and what other material?"
23,"The Queen's Gallery, near the Royal Mews.",at the Queen's Gallery,0.0009558200836181,0.9791429042816162,0.829236626625061,0.6153846153846154,0.6153846153846154,Where can the public view the Royal Collection?
24,Queen Victoria.,Queen Victoria,0.0009405612945556,0.6559004783630371,0.9674348831176758,1.0,1.0,Who did Martha Ann Ricks present the famed Liberian coffee tree to?
25,The Making of Americans.,The Making of Americans,0.0009679794311523,0.7159748077392578,0.976009964942932,1.0,1.0,What was the title of Gertrude Stein's 1906-1908 book?
26,Paul Gauguin and Paul Cézanne.,Paul Gauguin and Paul Cézanne,0.0010015964508056,0.9809844493865968,0.9873037338256836,1.0,1.0,Which two artists did Douglass Cooper say were very important to the forming of Cubism?
27,Silk.,silk.,0.0009551048278808,0.6140086650848389,1.0,1.0,1.0,What did the mulberry garden produce?
28,The freehold of the palace was subject to frenzied speculation in the 17th century.,the freehold,0.00095796585083,1.3449058532714844,0.4466991424560547,0.25,0.25,What about the palace was subject to speculation in the 17th century?
29,52.,52,0.0009732246398925,0.6534271240234375,0.9440832734107972,1.0,1.0,How many Puerto Ricans have died in the Iraq War and War in Afghanistan?
