idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,B.o.B.,B.o.B.,0.3379566669464111,2.2911550998687744,1.0000001192092896,1.0,1.0,"Which recording artist released its fourth studio album, titled Ether, which featured a guest appearance from singer, songwriter and rapper CeeLo Green?"
1,Pitcairn Island.,Pitcairn Islands,0.3800535202026367,0.9330646991729736,0.9261998534202576,1.0,1.0,What inhabited island hosts the flowering shrub known as the Osteomeles anthyllidifolia?
2,"Arthur ""The Big Guy"" Carlson.",Arthur Carlson,0.3264658451080322,1.0147299766540527,0.8199148178100586,0.5714285714285715,0.5714285714285715,"Actor Gordon Jump is best known as playing which fictional character on the tv sitcom ""WKRP in Cincinnati""?"
3,1878,1878,0.3807971477508545,0.6355540752410889,1.0,1.0,1.0,In what year was the complex where the 2005 World Matchplay was held first opened?
4,The Timekeeper.,The Timekeeper,0.3268027305603027,0.6890842914581299,0.9732174873352052,1.0,1.0,"What 1992 Circle-Vision 360° film presented at three Disney parks around the world opened it's attraction on April 2, 2007 in the Tomorrowland section? "
5,Milton Bradley.,Milton Bradley,0.4181277751922607,0.6431608200073242,0.9759840965270996,1.0,1.0,Mall Madness and The Game of Life are board games released by which toy and game company?
6,"January 29, 1963.","January 29, 1963",0.404482364654541,0.854764461517334,0.9890339970588684,1.0,1.0,"When was the American actress born who is best known for her role as Amy MacDougall-Barone on the television sitcom which premiered on CBS on September 13, 1996? "
7,The Appenzeller Sennenhund.,Appenzeller Sennenhund,0.2740206718444824,0.910137176513672,0.97181499004364,0.8,0.8,"Question: Which breed of dog hails from the Swiss Alps, the Appenzeller Sennenhund or the Thai Bangkaew Dog?"
8,"The LaFontaines have 5 members, while U2 has 4 members.",The LaFontaines,0.2771399021148681,1.2643208503723145,0.4832007884979248,0.3333333333333333,0.3333333333333333,"Which band has more members, U2 or The LaFontaines?"
9,1888,1888,0.4354019165039062,0.6123180389404297,1.0,1.0,1.0,William Greenleaf Eliot is the grandfather of an essayist who was born in which year ?
10,"None, they are unrelated.",Ulster Cycle,0.2613062858581543,0.933595895767212,0.1399101763963699,0.0,0.0,What type of collection does Etarcomol and Medb have in common?
11,Yes.,no,1.8413200378417969,0.6777007579803467,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
12,Stanley Kubrick.,Stanley Kubrick,0.4871723651885986,0.6017839908599854,0.9702875018119812,1.0,1.0,The Pervert's Guide to Ideology explores a 1987 British-American war film that was directed and produced by who?
13,Hot Adult Contemporary music.,Hot Adult Contemporary music,0.3564839363098144,0.7985625267028809,0.9816200733184814,1.0,1.0,"What type of music is played by the radio station that is located south of the interchange between I-64 and an Interstate Highway ringing the Louisville, Kentucky?"
14,Apu Nahasapeemapetilon,Hank Azaria,0.4910767078399658,0.9513959884643556,0.3319396674633026,0.0,0.0,"What is the name of this American actor, voice actor, comedian, and producer, born in 1964, who was the voice of Bartok in Anastasia?"
