idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, a trickster,getting injured in slapstick fashion.,0.0005350112915039,1.746253252029419,0.214239552617073,0.0,0.0,The Whizzard of Ow features a coyote who is often what?
1, Nunbarsegunu,Ninlil,0.0005431175231933,2.430153608322144,0.285401850938797,0.0,0.0,Who is the daughter of Haia and mother of Enbilulu?
2, Kindergarten Cop,Kindergarten Cop,0.0005123615264892,1.6471078395843506,1.0,1.0,1.0,Which movie starred Arnold Schwarzenegger as a cop and Pamela Reed as his partner?
3, Yes,yes,0.0004975795745849,0.8509960174560547,1.0000001192092896,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
4, Viešnautas,Neris,0.0004911422729492,2.4379265308380127,0.2731079161167145,0.0,0.0,What tributary of the Neman River forms the bank of Vilijampolė?
5, Douglas DC-8,Douglas Aircraft Company,0.0005037784576416,2.0393950939178467,0.6065037250518799,0.3333333333333333,0.3333333333333333,Xenu was a dictator of a culture who brought people to earth in the spacecraft that was similar to one built by what company?
6, Yes,no,0.0004982948303222,0.8510468006134033,0.7334951162338257,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
7, Weekly Shōnen Champion,Weekly Shōnen Champion,0.0005035400390625,2.436295747756958,1.0,1.0,1.0,Saint Seiya: Next Dimension is published in which Akita Shoten-published manga magazine?
8, Annie,Annie,0.0004985332489013,0.8529691696166992,1.0000001192092896,1.0,1.0,Which character does Natalia Wójcik play in the educational preschool series which was developed by television by Douglas Wood?
9, 30 April 1961,15 September 1978,0.0004990100860595,2.827290773391724,0.5030533075332642,0.0,0.0,When was the son of Arnór Guðjohnsen born ?
10, Brian Johnson,Brian Johnson,0.0004961490631103,1.2431859970092771,1.0000001192092896,1.0,1.0,"In the band ac/dc, which vocalist replaced Bon Scott?"
11, Néstor Kirchner,Néstor Kirchner,0.0004897117614746,2.432900667190552,1.0000001192092896,1.0,1.0,"Until 2010, who led the electoral alliance of which Mónica Troadello was a part?"
12, Dennis Banks,"April 12, 1937",0.0004975795745849,1.2539758682250977,0.1402688920497894,0.0,0.0,"When was the Native American leader, teacher, lecturer, activist and author born with whom Clyde Howard Bellecourt co-founded AIM in 1968?"
13," Epcot's Imagination! pavilion in Walt Disney World Resort in Bay Lake, Florida.",Bay Lake,0.0005183219909667,8.360949516296387,0.4416879117488861,0.2666666666666667,0.2666666666666667,The ImageWorks is an interactive exhibit area at a theme park located in what Florida city?
14, Universal Pictures,Comcast,0.0005099773406982,1.2430071830749512,0.1221811175346374,0.0,0.0,"The network that airs the comedy series ""30 Rock"" is a subsidiary of what company?"
15, No,no,0.0004968643188476,0.850151777267456,1.0,1.0,1.0,Are Chris Marker and Yvonne Rainer American?
16, The Charge of the Light Brigade.,Charge of the Light Brigade,0.0005064010620117,3.230263948440552,0.96110600233078,0.9090909090909092,0.9090909090909092,Canon William Murrell Lummis MC conducted research on what event led by Lord Cardigan against Russian forces in 1854?
17, The one mil coin.,one mil coin,0.0004911422729492,2.4403247833251958,0.9345532655715942,0.8571428571428571,0.8571428571428571,What was the smallest denomination of the official currency of the Hong Kong Special Administrative Region from 1863 to 1866?
18, 1949,1949,0.0004959106445312,1.6627509593963623,1.0000001192092896,1.0,1.0,Which year was the author of Lord of Scoundrels born? 
19, Semitic,Semitic,0.0004987716674804,1.2601134777069092,0.9999999403953552,1.0,1.0,What is a branch of the Afroasiatic language family and also known as the letter Mem?
20, Girls on Top,"""Girls on Top""",0.0005257129669189,1.653329849243164,0.8500577211380005,1.0,1.0,"What British sitcom, starring the English comedian and actress Jennifer Saunders, did Difford & Tilbrook write the music for?"
21, A romance.,romantic,0.0005013942718505,1.6489923000335691,0.6928868293762207,0.0,0.0,What genre of movie is the 2014 Hindi film that was inspired by a 2003 film directed by Yann Samuell and starred Marion Cotillard and Guillaume Canet?
22, French,French,0.0004940032958984,0.8581719398498535,1.0,1.0,1.0,What nationality was the mathematician who proposed the Legendre's conjecture?
23, AC/DC,AC/DC,0.0005073547363281,1.6533737182617188,1.000000238418579,1.0,1.0,"The English heavy metal band that released two albums in the 1980s had a member from Glasgow, Scotland leave the band to replace his father in what iconic hard rock band?"
24, Yes,yes,0.0005013942718505,0.8578619956970215,1.0000001192092896,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
25, Godey's Lady's Book,Godey's Lady's Book,0.0005040168762207,3.251450777053833,1.0,1.0,1.0,"Edgar Allan Poe's ""A Tale of the Ragged Mountains was first appeared in which United States women's magazine that was published in Philadelphia from 1830–1878?"
26, Burlington Northern Railroad,Burlington Northern Railroad,0.0005078315734863,1.7154736518859863,1.0,1.0,1.0,"The St. Louis, San Francisco and Texas Railway (SLSF), was a subsidiary railway to the St. Louis-San Francisco Railway, in 1980 it merged into which United States-based railroad company formed from a merger of four major U.S. railroads?"
27, 1993,1939,0.0005064010620117,1.6642906665802002,0.5085190534591675,0.0,0.0,Ross C. Goodman's mother was born in what year?
28, Junji Ito,Junji Ito,0.0005049705505371,2.049998044967652,1.0000001192092896,1.0,1.0,"Uzumaki, is a ""seinen"" horror manga series written and illustrated, by which Japanese horror manga artist?"
29," The Molotov-Ribbentrop Pact led to the territorial losses of Romania to the Axis powers and the king's abdication in 1940, effectively ending the existence of Ținutul Jiu.",ceased to exist,0.0004994869232177,19.11543560028076,0.2381304651498794,0.125,0.125,How did the Molotov-Ribbentrop Pact impact the land of Tinutul Jiu?
30," San Bernardino County, California.","Brookline, Massachusetts",0.0004947185516357,2.842576742172241,0.2563880980014801,0.0,0.0,Where was the person who has blimp promoting his show born at?
31, St. Paul,St. Paul,0.0005195140838623,1.6554462909698486,1.0,1.0,1.0,Chris Stewart plays for a professional ice hockey team that is the only Minneapolis-St. Paul area major professional sports league franchise to play in what city?
32, Central Michigan.,Western Michigan,0.0004901885986328,1.650266408920288,0.7996275424957275,0.5,0.5,The younger brother of Titus Davis played for what college team?
33, A church,It is a religious building,0.0005104541778564,1.2485947608947754,0.6423968076705933,0.2857142857142857,0.2857142857142857,What type of building was built between 1752 and 1756 in the capital city of Mauritius?
34, Malcolm Turnbull,Malcolm Turnbull,0.000518798828125,1.257673740386963,1.0000001192092896,1.0,1.0,Who was born in 1954 and appointed Arthur Sinodinos as Cabinet Secretary?
35, Switchfoot,Jon Foreman,0.0005216598510742,1.256134033203125,0.2082521915435791,0.0,0.0,"What is the name of the lead vocalist of the band who  recorded the album ""Where the Light Shines Through""?"
36, San Francisco 49ers,San Francisco 49ers,0.0004971027374267,2.446075916290283,0.9999999403953552,1.0,1.0,The 2002 Detroit Lions changed coaches before the season to the former head coach of which other team?
37, The Meiji period.,Meiji,0.0005414485931396,2.449519634246826,0.8547784090042114,0.5,0.5,Kotaro Honda was taught by a pioneer of Japanese physics during what period?
38, The Old Vic Theatre in London.,Yale Repertory Theatre,0.0005183219909667,3.2396395206451416,0.5725963115692139,0.2222222222222222,0.2222222222222222,Mykelti Williamson played Gabriel Maxson in a film adapted from a play that debuted at what theater?
39, 141 miles,141 mi,0.0005004405975341,1.6506397724151611,0.7416564226150513,0.5,0.5,About how much oceanfront is included in the coastal region along which the New Jersey Coastal Heritage Trail Route extends? 
40, Sway,Sway,0.0004961490631103,1.2510313987731934,0.9999999403953552,1.0,1.0,What adult fiction book by Kat Spears in based on a play 1897 by Edmond Rostand?
41, 2012,1980,0.0005018711090087,1.6566555500030518,0.5678595304489136,0.0,0.0,In what year was the actress that played the new Section chief born?
42, Charles Dickens,Charles Dickens,0.0005137920379638,1.2605385780334473,1.0000001192092896,1.0,1.0,"Alfred R. Kelman is an American film and television documentary producer and director who is known for his work on the 1984 television version of ""A Christmas Carol"", which was originally a novella written by which famous British author?"
43, Stanley Kubrick,Stanley Kubrick,0.0004975795745849,1.6590142250061035,0.9999999403953552,1.0,1.0,The Pervert's Guide to Ideology explores a 1987 British-American war film that was directed and produced by who?
44, The Rose Bowl Player Of The Game award.,European Footballer of the Year,0.000500202178955,4.042022943496704,0.3965398371219635,0.3076923076923077,0.3076923076923077,"Two years after the Coupe de France Final where Olympique de Marseille defeats AS Monaco, what honor did the man with the most goals that match receive?"
45, Netherlands Antilles,Dutch Antilles,0.0005202293395996,1.6493992805480957,0.9448798298835754,0.5,0.5,What is the other name given to the Dutch islands that retired baseball playerR aily Legito is from?
46," Silverchair was formed in 1992, while Cage9 was formed in 1993.",Silverchair,0.0004966259002685,8.006488561630249,0.5932053923606873,0.1666666666666666,0.1666666666666666,"Which rock band was formed first, The Zutons or Silverchair?"
