idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,Yes.,yes,0.2808041572570801,2.049499988555908,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
1,Immanuel College.,Immanuel College,0.847074031829834,0.6954905986785889,0.985255479812622,1.0,1.0,"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?"
2,Liu Yifei.,Liu Yifei,0.4972319602966308,0.7388548851013184,0.9822795391082764,1.0,1.0,"For Love or Money starred which actress known as ""Fairy Sister""?"
3,1934,1934,0.4689397811889648,0.6463854312896729,0.9999999403953552,1.0,1.0,In what year was the writer of Let Us Compare Mythologies born?
4,"Prouts Neck, Maine.",Scarborough,0.2556798458099365,0.771430253982544,0.3414573073387146,0.0,0.0,Lost on the Grand Banks depicts the lives of fisherman living in which town ?
5,Katy Perry.,Katheryn Elizabeth Hudson,0.3047938346862793,0.7746415138244629,0.5420581698417664,0.0,0.0,"Dave Audé is a Grammy-winning producer, house DJ, and remixer, he has done production for artists such as which  American singer and songwriter?"
6,South of Pendle Hill.,south,0.3341619968414306,0.9272012710571288,0.6127293705940247,0.4,0.4, Yakutat Airport in Alaska and Muskegon County Airport in Michigan are located in what general direction relative to their city's central business district?
7,Shenea Booth.,Shenea Booth,0.291095495223999,0.8408026695251465,0.9841660261154176,1.0,1.0,"Which American gymnast represented the United States of America at the 2001 international multi-sport event held in Akita, Japan?"
8,Comptonia is native to eastern North America.,Comptonia,0.5798215866088867,0.9418468475341796,0.7456917762756348,0.25,0.25,"Which is native to North America, Comptonia or Caladium?"
9,Original Sin.,Original Sin,0.3684334754943847,0.6685576438903809,0.9773807525634766,1.0,1.0,What film was Joan Pringle in that starred Antonio Banderas and Angelina Jolie?
10,James Irwin.,John Glenn,0.39974045753479,0.6875250339508057,0.49788698554039,0.0,0.0,Which member of the Mercury Seven became a Senator?
11,Governor Wentworth Regional School District.,Governor Wentworth Regional School District,0.5059652328491211,0.8270008563995361,0.9697133898735046,1.0,1.0,What is the school district of the city that the Powder Mill Fish Hatchery is located in?
12,T.S. Eliot.,T. S. Eliot,0.3757557868957519,0.7406542301177979,0.9880384206771852,1.0,1.0,"Which British writer considered ""one of the twentieth century's major poets"" was introduced in the United States through the literary magazine ""The Little Review""?"
13,Martin McDonagh.,Martin McDonagh,0.3271362781524658,0.6543314456939697,0.985629379749298,1.0,1.0,Who was the director of the 2008 British-American black comedy crime film in which Mark Donovan was a actor?
14,"Ens. Charles W. Farmer, USNRF.",Ens. Charles W. Farmer,0.3243591785430908,0.9831628799438475,0.921720564365387,0.888888888888889,0.888888888888889,"Who commissioned the second USS ""Rockport"" SP-738 in the center of summer tourist activity? "
15,"Yes, Mastodon formed in 2000, while Bear Hands formed in 2006.",yes,0.2421042919158935,1.4394285678863523,0.1660580039024353,0.1666666666666666,0.1666666666666666,Can Fraxinus and Onoclea both be found in North America?
16,Tamiami Canal is located in Florida.,Tamiami Canal,0.2735660076141357,0.8560409545898438,0.8325948715209961,0.5,0.5,"Which is located in Florida, Tamiami Canal or Duluth Ship Canal?"
17,The Baudot code.,Baudot code,0.2688641548156738,0.8493869304656982,0.9105817079544068,0.8,0.8,"The cover art for the album caintain ""White Shadows"" was a representation of what?"
18,"Deftones was formed in 1988, while The Joy Formidable was formed in 2007.",Deftones,0.3537280559539795,1.4531316757202148,0.5637330412864685,0.1428571428571428,0.1428571428571428,"Which band was sometimes dubbed as the Radiohead of metal, Spiritualized or Deftones?"
19,Marjorie Kinnan Rawlings.,Marjorie Kinnan Rawlings,0.2869770526885986,0.7320103645324707,0.9833856225013732,1.0,1.0,Who wrote The Secret River and The Yearling?
20,Republica.,Republica,0.3149428367614746,0.6592497825622559,0.9771886467933656,1.0,1.0,"Which is from England, Republica or AFI?"
21,They are both film directors.,screenwriter and film director,0.5287940502166748,0.7382466793060303,0.791877269744873,0.4444444444444445,0.4444444444444445,"Hans Behrendt and Scott Sanders, have which mutual occupations?"
22,China and Taiwan.,China,0.289400577545166,0.6582033634185791,0.7270480394363403,0.5,0.5,"What country does Yushu City, Qinghai and Zunhua have in common?"
23,George Harrison.,George Harrison,0.3603043556213379,0.6382858753204346,0.9726423621177672,1.0,1.0,"Who was the lead singer on the A-side of the record which reached No. 35 on the Billboard Hot 100, and had Thank You Girl as it's B-side ?"
24,1850.,1850,0.360457181930542,0.7031629085540771,0.971252739429474,1.0,1.0,When did Rudolf Clausius introduce the second law of thermodynamics?
25,The Trials of Life (1990) was produced first.,The Trials of Life,0.3233962059020996,1.0137338638305664,0.6461507081985474,0.6666666666666666,0.6666666666666666,"Which documentary was produced first, The Trials of Life or Restrepo?"
26,James Runcie.,James Runcie,0.4062824249267578,0.7222409248352051,0.9850005507469176,1.0,1.0,Which professor from Bath Spa University wrote a collection of short stories that inspired an ITV drama called Grantchester?
27,Tamara Ecclestone.,with Tamara Ecclestone,1.897055387496948,0.7770123481750488,0.8543760776519775,0.8,0.8,What British Model starred on Wall of Fame?
28,Univision television network.,Univision,0.5560805797576904,0.6639389991760254,0.9141043424606324,0.5,0.5,Laura is a talk show hosted by the presenter whose work appears on what network?
29,Charan Raj is composing the score for Avane Srimannarayana.,Charan Raj,0.3097712993621826,1.249370574951172,0.6317141056060791,0.3636363636363636,0.3636363636363636,What Indian composer and singer is composing the score for Shane Srimannarayana?  
30,Queer as Folk.,Queer as Folk,0.3011398315429687,0.7413649559020996,0.9835221767425536,1.0,1.0,What show is an American-Canadian drama starring Scott Lowell playing Ted Schmidt?
31,They are both film directors.,director,0.3376421928405761,0.8438630104064941,0.598540186882019,0.3333333333333333,0.3333333333333333,What role did both Gene Nelson and Sebastian Gutierrez play in the film industry?
32,Barbet Schroeder.,Barbet Schroeder,0.3608388900756836,0.7547404766082764,0.9872480630874634,1.0,1.0,"The actor that played John Kelly on ""NYPD Blue"" also stars with Nicholas Cage in a 1995 crime thriller film directed by who?"
33,Dean Heller was appointed to the seat left vacant by John Ensign.,Dean Heller,0.4084796905517578,1.1109230518341064,0.724485456943512,0.2857142857142857,0.2857142857142857,"Who was appointed the seat left vacant by a former Las Vegas, Nevada politician in the United States Senate Election in Nevada 2012?"
34,There is no information about the conversion of the school Michael Handley was educated at to academy status in the given context.,1 February 2013,0.4830760955810547,1.5296015739440918,-0.0233206879347562,0.0,0.0,When did Grammar school that Michael Handley was educated at convert to academy status?
35,Iceland.,Iceland,0.2815315723419189,0.695375919342041,0.9405648708343506,1.0,1.0,"The Nick Holiday Christmas album features songs sung by the cast of LazyTown, a program set in what region?"
36,"Neither, Ghosts of the Abyss was directed by James Cameron after his 1997 Oscar-winning film ""Titanic"", and Land of Silence and Darkness was directed by Werner Herzog.",Ghosts of the Abyss,0.5265445709228516,2.129709005355835,0.5356732606887817,0.25,0.25,"Which film was released first, Bedtime Stories or Ghosts of the Abyss?"
37,Bud Wilkinson.,Bud Wilkinson,0.3251628875732422,0.5246503353118896,0.973922073841095,1.0,1.0,Who served as the Oklahoma Sooners football coach in 1949?
38,Sheffield Wednesday F.C.,Sheffield Wednesday Football Club,0.3229067325592041,0.867041826248169,0.8338709473609924,0.5,0.5,Which football club that was formed in the 1860s and changed its name half a century later had the English former footballer Doug Fletcher as an inside forward?
39,environmental soundscapes.,soundscape,0.3277654647827148,0.8067882061004639,0.817232608795166,0.6666666666666666,0.6666666666666666,Sun Wei  involves the field recording of which component of the acoustic environment that can be perceived by humans?
40,Typhoon Pongsona.,Typhoon Pongsona,0.3450148105621338,0.8299190998077393,0.9833683967590332,1.0,1.0,"Before becoming known as Noul, what was known as the second costliest United States Disaster in 2002?"
41,Mount Davidson.,Mount Davidson,0.3094158172607422,0.6152715682983398,0.9745537638664246,1.0,1.0,Adolph Sutro made a fortune at a silver ore located under the eastern slope of what mountain?
42,Hogan's Heroes.,Hogan's Heroes,0.2805066108703613,0.648590087890625,0.9840632677078248,1.0,1.0,The Big Game is aired against which American sitcom on ATV-0?
43,"The town of Grafton, New Hampshire has a population of 1,340.","1,340",0.26910400390625,1.2315351963043213,0.308387279510498,0.2857142857142857,0.2857142857142857,What is the population of the town where Ruggles Mine is located?
44,Osman I.,Osman I,0.3297247886657715,0.744356632232666,0.9775291085243224,1.0,1.0,Which Halime Hatun son was the leader of the Ottoman Turks and the founder of the Ottoman dynasty?
45,Helmut Berger.,Helmut Berger,0.2932019233703613,0.6874582767486572,0.9817050099372864,1.0,1.0,"What star of ""The Romantic Englishwoman"" played King Ludwig II of Bavaria in ""Ludwig""?"
46,Artem Mikoyan.,MiG military aircraft,0.3079125881195068,0.8779299259185791,0.143347755074501,0.0,0.0,"Vano ""Ivan"" Anastasovich's uncle designed what?"
47,"September 30, 1980","September 30, 1980",0.6655042171478271,0.8212997913360596,1.0000001192092896,1.0,1.0,when was the Cuban professional boxer that stopped Moez Zemzemi in the first round of the men's bantamweight born 
48,Tommy Morrison.,Tommy Morrison,0.312598705291748,0.6114561557769775,0.9784669876098632,1.0,1.0,Michael Anthony Williams costarred with what real-life boxer in Rocky V?
49,Band Aid 30.,Band Aid 30,0.3387737274169922,0.7299129962921143,0.9805192947387696,1.0,1.0,What is the  2014 incarnation of the charity super group Band Aid?
50,Fei Mu.,Fei Mu,0.3193879127502441,0.6572821140289307,0.9822496175765992,1.0,1.0,"Which film director is known for ""Spring in a Small Town"", Fei Mu or Joss Whedon?"
51,Phantom's Revenge.,Phantom's Revenge,0.2881550788879394,0.8130807876586914,0.9863364696502686,1.0,1.0,"Sky Rocket was renovated into which roller coaster, that had the longest drop at the time?"
52,Julius Kahn.,Kahn,0.3171274662017822,0.7423486709594727,0.8751673102378845,0.6666666666666666,0.6666666666666666,What engineer was raised in Detroit and has a patented industrial construction technique for reinforcement of buildings?
53,Marc Evans directed more films.,Marc Evans,0.3307108879089355,0.7967007160186768,0.6426013112068176,0.5714285714285715,0.5714285714285715,"Which director worked on the film ""Resurrection Man"", Don O. Newland or Marc Evans?"
54,"Téa Leoni was born on February 25, 1966.","February 25, 1966",0.3852312564849853,1.1660785675048828,0.3652020692825317,0.5,0.5,"What is the birth date of the actress who played a young widow in ""Ghost Town""?"
55,Donald Franklin Stewart.,Donald Franklin Stewart,1.0494625568389893,0.6985571384429932,0.9746499061584472,1.0,1.0,Q1: Who was director of the museum featuring the last sail-only warship designed and built by the United States Navy?
56,M.I.L.F. $,M.I.L.F. $,0.4988694190979004,0.8355004787445068,1.0,1.0,1.0,What song recorded by Fergie was produced by Polow da Don and was followed by Life Goes On?
57,6 goals.,six,0.4261932373046875,0.6942262649536133,0.6327511668205261,0.0,0.0,"Brian Iwuh, is a former American football linebacker who played for how many seasons in the National Football League (NFL), he played for the Jaguars for four seasons, the Chicago Bears for two seasons, and the Denver Broncos in the 2011–12 NFL playoffs?"
58,"Lisa ""Left Eye"" Lopes.",Lisa Nicole Lopes,0.2924413681030273,0.9701967239379884,0.7335779070854187,0.5714285714285715,0.5714285714285715,"What is the name of the American hip hop singer, rapper, actress, songwriter and producer of this American girl group formed in Atlanta, Georgia in 1990, who contributed to the outfit and stage designs and received a lot of song-writing credits?"
59,"None, Mark Ingram was the first Alabama football Heisman winner and was drafted by the New Orleans Saints.",New Orleans Saints,0.3749215602874756,1.3746943473815918,0.4250624179840088,0.2857142857142857,0.2857142857142857,What is the name of this professional American football team based in Louisianna that competes in the NFL and for which Brian Simmons played professionally?
60,"Ambabbo is a village in eastern Djibouti, a country located in the Horn of Africa.",Ambabbo,0.26302170753479,1.5685696601867676,0.7604904174804688,0.125,0.125,What village is located in a country located in the Horn of Africa?
