idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, 16,16,0.0008533000946044,0.7097172737121582,1.0,1.0,1.0,How many policing districts was Paris divided into?
1, Through breathing in fumes or skin absorption in the workplace.,fumes or skin,0.0009000301361083,2.6308953762054443,0.592715322971344,0.4615384615384615,0.4615384615384615,By what means can humans be exposed to bitumen?
2, Yellow and orange.,yellow and orange,0.0008649826049804,1.044135808944702,0.9773666858673096,1.0,1.0,What are Barcelona's most often used change colors?
3," Due to the secrecy and lack of transparency in transnational policing, making it difficult for civil society to hold institutions accountable.",this is a secretive area and one not open to civil society involvement,0.0008573532104492,5.13487720489502,0.4282984733581543,0.2352941176470588,0.1764705882352941,Why is transnational policing so unaccountable?
4, Bitumen,tar,0.0008618831634521,0.6445193290710449,0.3828630745410919,0.0,0.0,What is a naming term for asphalt?
5, Message.,channel (through which medium),0.0008544921875,0.6445116996765137,0.0452620573341846,0.0,0.0,What is one dimension that communication is typically described along?
6," In the US, it is called ""asphalt"", but outside of the US, it is commonly referred to as ""bitumen"".",bitumen,0.0008609294891357,5.755830764770508,0.670079231262207,0.1,0.1,"Instead of tar, what does the La Brea Tars Pits contain?"
7," Northern Alberta, Canada.",Northern Alberta,0.000868797302246,1.2577190399169922,0.9095810651779176,0.8,0.8,Where are the Athabasca oil sands located?
8, 1875,1912,0.0008556842803955,0.8496346473693848,0.371929407119751,0.0,0.0,What year did the end of Imperial China occur?
9," 1,000","1,000 troops and their supporting vehicles",0.0008502006530761,1.0934062004089355,0.4554924368858337,0.4444444444444445,0.4444444444444445,How many troops can be maintained on a Canbera-class LHD?
10, They had higher range and precision.,They had higher range and precision,0.000861644744873,1.7271625995635986,0.9898761510849,1.0,1.0,Why were carrier-launched aircraft more effective than naval guns?
11, 3 years.,3 years,0.0008525848388671,1.0963022708892822,0.9512752294540404,1.0,1.0,What was the expected serice life of the UK 1942 Design Light Fleet Carrier?
12, 8-17%,83% to 92%,0.0008533000946044,1.3030693531036377,0.7905783653259277,0.0,0.0,What is the variance in bitumen content rock asphalt?
13, River Plate,River Plate,0.0008566379547119,0.6713507175445557,1.0000001192092896,1.0,1.0,What team did Barcelona defeat to win the 2015 FIFA World Cup Final?
14, 1918,1918,0.0008704662322998,0.8824241161346436,1.0,1.0,1.0,In what year did Argentina's University Revolution occur?
15, 1982,June 1982,0.0008602142333984,0.8804032802581787,0.8799076676368713,0.6666666666666666,0.6666666666666666,When was Diego Maradona signed by Barcelona?
16, The Era of Fragmentation.,Era of Fragmentation,0.000859260559082,1.51495099067688,0.9702173471450806,0.8571428571428571,0.8571428571428571,What followed the collapse of imperial Tibet?
17, American free blacks and freed slaves.,people who supported abolition of slavery,0.000856876373291,1.7271451950073242,0.583203911781311,0.0,0.0,"The ""american colonization society"" consisted mostly of whom"""
18, Christianity was used by some Tibetan monarchs to counterbalance the influence of the Gelugpa sect.,counterbalance the influence of the Gelugpa sect,0.0008542537689208,4.516259670257568,0.6816434860229492,0.6363636363636364,0.6363636363636364,How was Christianity used by some Tibetan monarchs?
19," The constraints of constructing a flight deck affect the role of a carrier by influencing the weight, type, and configuration of the aircraft that may be launched.","they influence the weight, type, and configuration of the aircraft that may be launched",0.0008594989776611,6.718771696090698,0.6480206251144409,0.6341463414634146,0.6341463414634146,Why do the constraints of constructing a flight deck affect the role of a carrier?
20," 100,000","100,000",0.0008621215820312,1.1105577945709229,0.9999999403953552,1.0,1.0,How many things were altered after developer version release?
21, Roofing.,roofs,0.0008518695831298,0.8993616104125977,0.7777302265167236,1.0,1.0,For what was most of the the Bitumont plant's output was used for waterproofing?
22, 5%,5%,0.0008637905120849,0.8954172134399414,1.0,1.0,1.0,What percent of the $13.7 billion did the CIA receive?
23, The destination/receiver/decoder.,another person or being,0.000856876373291,1.7567555904388428,0.2710943818092346,0.0,0.0,What is one target of communication?
24, Public sector service.,public sector,0.0008530616760253,1.1094822883605957,0.898086667060852,0.8,0.8,What kind of service are police?
25, Tibetan and Sanskrit.,Tibetan or Sanskrit,0.0008533000946044,1.3263022899627686,0.9470663070678712,0.6666666666666666,0.6666666666666666,In what languages is Tibetan music often chanted in?
26," 16,000","16,000",0.0008530616760253,1.1104156970977783,1.0000001192092896,1.0,1.0,How much was 1 US Dollar worth in Iranian Rials in early 2012?
27," The club in decline, and managers came and went.",decline,0.0008487701416015,2.6197428703308105,0.5452232956886292,0.1999999999999999,0.1999999999999999,"Does physical aggression decline or increase during high-school, college, and early adulthood?"
28, Esperanto.,programming languages,0.0008535385131835,0.8989291191101074,0.2665092051029205,0.0,0.0,What is an example of a language that is not restricted to properties of human language?
29, Hover capability.,hover,0.0008678436279296,0.8969125747680664,0.8290091753005981,0.6666666666666666,0.6666666666666666,What capability do helicopters use to move over the flight deck and land vertically?
30, 1774,1774,0.0008528232574462,0.8984770774841309,1.0,1.0,1.0,What year was the Hammond-Harwood House built?
31, War of the Castilian Succession,War of the Castilian Succession,0.0008509159088134,1.7572431564331057,1.0000001192092896,1.0,1.0,What war ended in 1479?
32, 15,fifteen,0.0008528232574462,0.679497480392456,0.9200822114944458,0.0,0.0,How old was Amanda Todd when she took her own life because of bullying?
33, He was indicted by the Special Court for Sierra Leone for crimes against humanity.,for crimes against humanity,0.0008552074432373,3.4818429946899414,0.3853383064270019,0.4444444444444445,0.4444444444444445,Why was Taylor indicted by a special court ?
34, establish a colony for freed African Americans.,establish a colony for freed African Americans.,0.0008659362792968,1.9734549522399905,1.0000001192092896,1.0,1.0,African  Americans were sent to the pepper coast to do what?
35, Porto,Porto,0.0008594989776611,0.4647560119628906,1.0,1.0,1.0,Which team did Barcelona beat to win the UEFA Super Cup?
36, The indigenous peoples of the tribes they encountered.,indigenous natives of the tribes they encountered,0.0008511543273925,2.187463760375977,0.9120268821716307,0.7999999999999999,0.7999999999999999,Who did Americo-Liberians not identify with? 
37, Persia and Kashmir.,Persia,0.0008633136749267,1.3258459568023682,0.7173715233802795,0.5,0.5,What has the West historically referred Iran as?
38," 29,029","29,029",0.0008485317230224,1.1112339496612549,1.0000001192092896,1.0,1.0,"How tall, in feet, is Mount Everest?"
39," The functions of police grew beyond law enforcement to urban planning due to the miasma theory of disease, which held that disease was caused by bad air, and cemeteries were moved out of town to improve public health.","because of the miasma theory of disease; thus, cemeteries were moved out of town, etc.",0.0008463859558105,10.182997226715088,0.6876521706581116,0.4528301886792453,0.4528301886792453,Why did the functions of police grow beyond law enforcement to urban planning?
40, Asphalt/bitumen.,bituminous rock,0.0008566379547119,1.1108849048614502,0.4827628135681152,0.0,0.0,What natural substance was used in early road pavings?
41," Wilson introduced a merit system for promotions, education requirements for police officers, and higher police salaries to attract professionally qualified officers.",an aggressive recruiting drive with higher police salaries,0.0008544921875,5.42255711555481,0.5526183843612671,0.2068965517241379,0.2068965517241379,How did Wilson recruit more qualified police?
42, 2016,2016,0.0008599758148193,0.8993551731109619,1.0,1.0,1.0,When will the BBC's weekend highlights package run out?
43," The rebels were defeated, and a peace agreement was reached in 2003, leading to democratic elections in 2005.",split into various factions fighting one another.,0.0008540153503417,5.638187408447266,0.3241316378116607,0.0,0.0,What eventually happened to the rebels?
44, 1926,1926,0.0008535385131835,0.8956739902496338,1.0,1.0,1.0,In what year was the World War I Memorial Carillon constructed?
45, The applicability and transportability of policing models between jurisdictions.,there are questions about the applicability and transportability of policing models between jurisdictions,0.0008456707000732,2.8334057331085205,0.9532389640808104,0.8181818181818181,0.8181818181818181,What concern did Hills raise about police models?
46, The 5th Amendment.,Fifth,0.0008525848388671,1.541445255279541,0.4525533020496368,0.0,0.0,Which amendment prevents self-incrimination?
47, 7-10%,7–10%,0.0008490085601806,1.3265347480773926,0.967376470565796,1.0,1.0,What is the percentage of binder in mastic asphalt?
48, 1929,23 June 1929,0.0008533000946044,0.8948473930358887,0.8547072410583496,0.5,0.5,When did Barcelona win the Spanish League?
49, 1834,1834,0.0008673667907714,0.896026611328125,1.0,1.0,1.0,When was the Toronto police created?
50, On patrol.,on patrol,0.0008590221405029,0.8954627513885498,0.9687998294830322,1.0,1.0,Where do some think the most important police work happens?
51, Athletic Bilbao,Athletic Bilbao,0.0008542537689208,0.8984172344207764,1.0,1.0,1.0,Which Spanish team did Barcelona defeat to win the Supercopa de Espana?
52, Approximately 3.5 million slaves were freed during the American Civil War.,"more than 15,000",0.0008556842803955,3.482972860336304,0.2512456178665161,0.0,0.0,How many slaves were freed in the american civil war?
53, Salvador Artigas,Franco,0.0008549690246582,1.110910177230835,0.3447730839252472,0.0,0.0,Whose regime prohibited political parties?
54, Intelligence-led policing.,Intelligence-led,0.0008604526519775,1.1105520725250244,0.7084511518478394,0.8,0.8,What kind of policing has become common practice?
55," 990 per 100,000 births.","990 per 100,000 births",0.0008537769317626,2.1874141693115234,0.9877982139587402,1.0,1.0,What was the maternal mortality rate in 2010?
56, 7,7,0.0008559226989746,0.6827335357666016,1.0000001192092896,1.0,1.0,How far is Boudhanath from Kathmandu in miles?
57, The Pool of London on the River Thames.,docks,0.0008471012115478,2.1888253688812256,0.2480699121952057,0.0,0.0,Where did the West Indies merchants in London create a police force?
58," In the form of veins, filling cracks in a more or less horizontal direction.",veins,0.0008580684661865,3.697227716445923,0.621290922164917,0.1333333333333333,0.1333333333333333,How is the rock asphalt mainly found?
