idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"San Diego State University was founded in 1897, while The Northcap University was founded in 1996.",San Diego State University,0.0013232231140136,3.359423875808716,0.6382696628570557,0.4,0.4,The 2014 NBA Playoffs MVP attended what college? 
1,Shirley Jones.,Shirley Jones,0.0013544559478759,1.3345510959625244,0.9786975383758544,1.0,1.0,Who played the mother in the 1970ies American musical sitcom that also starred child actress Suzanne Crough?
2,"Brunswick, Victoria.","Brunswick, Victoria",0.0013256072998046,1.2480981349945068,0.988922953605652,1.0,1.0,Which inner-city suburb is the birthplace of an alleged Australian contract killer missing since May 1985?
3,The Cincinnati Reds.,Cincinnati Reds,0.0012116432189941,1.2048008441925049,0.9417012929916382,0.8,0.8,Ted Simmons was often overshadowed by the Hall of Fame catcher who played for what team?
4,1945,1945,0.0013365745544433,1.208418607711792,1.0000001192092896,1.0,1.0,"What year was the singer of ""wavelength"" born ?"
5,"September 13, 2017.","September 13, 2017",0.0012347698211669,1.55082106590271,0.9756582975387572,1.0,1.0,"""Holiday Special"" is the third episode in the twenty-first season of the American animated television series ""South Park"", the twenty-first season of the American animated sitcom, premiered on Comedy Central on which date?"
6,Kenneth J. Alford.,Kenneth J. Alford,0.0013492107391357,1.403247356414795,0.98431795835495,1.0,1.0,"The composer of the operetta ""Chris and the Wonderful Lamp"" shares a nickname with what other composer?"
7,"No, Charles Nordhoff was born in England, while Erich Fromm was born in Germany.",no,0.0012042522430419,2.020357131958008,0.1385118961334228,0.1333333333333333,0.1333333333333333,Are Chris Marker and Yvonne Rainer American?
8,Le Château de la Belle au Bois Dormant.,Sleeping Beauty Castle,0.0012381076812744,1.7520852088928225,0.3212312161922455,0.0,0.0,What castle is based on the late-19th century Neuschwanstein Castle in Germany and is at the center of Disneyland Paris?
9,"Montagu House, Portman Square.",Montagu House,0.0012452602386474,1.3927676677703855,0.7681639790534973,0.6666666666666666,0.6666666666666666,Which house in London was destroyed by the Luftwaffe in 1940?
10,Silchar.,Cachar,0.0013599395751953,1.2277276515960691,0.3248332142829895,0.0,0.0,The city where Shahid Sachindra Paul Road is in is the headquarters of what district?
11,Kiranjit Ahluwalia,Kiranjit Ahluwalia,0.0012068748474121,1.4285495281219482,1.0,1.0,1.0,Which Indian woman is Provoked  story based on
12,Yes.,no,0.001220703125,1.1487910747528076,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
13,Silesia.,"40,000 km2",0.0013899803161621,1.2898635864257812,0.2262217104434967,0.0,0.0,"What is the area of this region of Central Europe located mostly in Poland, in which Złotniki Lubańskie was formerly part of the historic Upper Lusatia region at its border?"
14,"Yes, 2010.",no,0.0013413429260253,1.4546427726745603,0.3078185617923736,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
15,United States.,American,0.0013506412506103,1.1657330989837646,0.5898011326789856,0.0,0.0,Kerry Remsen is the daughter of an actor with what ethnicity?
