idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"""Nothing's Gonna Stop Us Now""",Nothing's Gonna Stop Us Now,0.4405813217163086,2.2329461574554443,0.7793365716934204,1.0,1.0,"What song on the album No Protection was a No. 1 in the ""Billboard"" Hot 100 in April 1987?"
1,Screwed Up Click (S.U.C.),Dead End Alliance,0.362929105758667,0.7979698181152344,0.1372649073600769,0.0,0.0,"Fat Pat and DJ Screw were musical artists from Houston, Texas, and were both in a three-letter acronym band--what was the band's full name?"
2,"Monty Python, BBC in 1969.",BBC in 1969,0.3397848606109619,1.0305092334747314,0.7847970724105835,0.7499999999999999,0.7499999999999999,Terry Jones was a member of this comedy group whos sketch comedy show first aired on what channel in this year?
3,Chester Brewer.,Chester Brewer,0.3512823581695556,0.6950581073760986,0.9819244742393494,1.0,1.0,Which head coach of the Missouri Tigers football team amassed a 5-3 record during his 1911-1913 tenure?
4,Guzmania.,Guzmania,0.3207399845123291,0.6011114120483398,0.9786840677261353,1.0,1.0,"Which species is found at higher elevations, Arundina or Guzmania?"
5,Caesars Entertainment Corporation.,Caesars Entertainment Corporation,0.3129847049713135,0.7341303825378418,0.9850574135780334,1.0,1.0,Who owns and operates the casino at which the 2010 World Series of Poker was held?
6,Forward.,forward,0.3360633850097656,0.6642022132873535,0.9309850931167604,1.0,1.0,"John Hansen was a Danish footballer who played which position nearest to the opposing team's goal, and are therefore most responsible for scoring goals?"
7,102 Dalmatians,"""101 Dalmatians""",1.9032037258148196,0.7647638320922852,0.8426738977432251,0.5,0.5,Joely Kim Richardson appeared in what movie based on Dodie Smith's 1956 novel?
8,The Myth,The Myth,0.5199241638183594,0.7533295154571533,1.0,1.0,1.0,Which 2005 Hong Kong martial arts film starring Mallika Sherawat was remade as a TV series of the same name?
9,German and Hungarian.,German,0.3818390369415283,0.7554559707641602,0.6864405870437622,0.5,0.5,Der Schwanendreher was a concerto by the composer of what nationality?
10,Reef is from Glastonbury.,Reef,0.2933166027069092,0.9078984260559082,0.7036471366882324,0.4,0.4,"Which band is from Glastonbury, Reef or Simple Plan?"
11,"George Abbott was born on June 25, 1887, and Gregory Hoblit was born on November 27, 1944.",George Francis Abbott,0.3488087654113769,1.8497722148895264,0.5218138694763184,0.2,0.2,"As of now, has George Abbott or Matt Stone's career spanned more decades?"
12,Tim Hortons.,Tim Hortons,0.9294214248657228,0.8291926383972168,0.9860640168190002,1.0,1.0,Timbits are a bite-sized fried doughnut sold at which Canadian-owned international bakery chain?
13,Collier's (founded in 1888) is older than V (founded in 1999).,Collier's,0.3115813732147217,1.3609058856964111,0.5640974044799805,0.2857142857142857,0.2857142857142857,"Which magazine was founded first, Collier's or Indianapolis Monthly?"
14,November,November,0.8167769908905029,0.6210606098175049,1.0,1.0,1.0,Agbadza is an Ewe music and dance performed during a festival celebrated in what month?
15,Yes.,no,0.248349905014038,0.5245621204376221,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
