idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,The Mozilla Foundation.,Mozilla Foundation,0.2840018272399902,4.934356689453125,0.9259703159332277,0.8,0.8,What did Netscape launch in 1998?
1,January 2009.,January 2009,0.3254432678222656,2.262131690979004,0.9733129739761353,1.0,1.0,When did the European Commission say they would investigate the bundling?
2,Transistors.,transistors,0.3102378845214844,2.965379476547241,0.9459264278411864,1.0,1.0,Vacuum tubes in early computers were replaced by what?
3,A byte.,a byte,0.3942229747772217,2.2991766929626465,0.9634421467781068,1.0,1.0,A group of 8 bits is called what?
4,Quantum factoring.,quantum factoring,0.339346170425415,2.7424838542938232,0.9782191514968872,1.0,1.0,By what method do quantum computers solve encryption algorithms quickly?
5,Richard Braithwait,Richard Braithwait,0.4214928150177002,2.614401340484619,1.0,1.0,1.0,"Who was the author of the book, The Yong Mans Gleanings?"
6,The Z3.,the Z3,0.5599315166473389,2.614563465118408,0.983423113822937,1.0,1.0,"What was the first automatic, digital, programmable computer created by Konrad Zuse?"
7,The Liberal Party has faced 5 consecutive losses in South Australia since the 2002 election.,a record five,0.4456422328948974,2.974629163742065,0.2500776052474975,0.0,0.0,How many consecutive losses has the Liberal party faced since the 2002 election?
8,The United States Navy.,the United States Navy,0.4315850734710693,2.6583993434906006,0.9767524600028992,1.0,1.0,What part of the US military developed an electromechanical analog computer to use on a submarine?
9,World War II.,"World War II,",4.714705467224121,2.7454283237457275,0.9625085592269896,1.0,1.0,During what war were computers first used for military applications?
10,Programmer error or an oversight made in the program's design.,programmer error or an oversight made in the program's design,0.4592800140380859,2.88237738609314,0.9279968738555908,1.0,1.0,Bugs are usually the fault of whom or what?
11,Persia (modern-day Iran) in 1235 by Abi Bakr of Isfahan.,Persia,0.7264769077301025,3.732202053070069,0.7062361240386963,0.1666666666666666,0.1666666666666666,What has the West historically referred Iran as?
12,Silicon.,photolithographed semiconductors,0.3475699424743652,2.237461805343628,0.2897394895553589,0.0,0.0,Transistors are typically made up of what today?
13,The 1967 Referendum.,1967 Referendum,0.6749987602233887,2.624647855758667,0.9671088457107544,0.8,0.8,Which Referendum allowed Indigenous Australians to be counted in the Census?
14,September 1947.,September 1947,0.7908163070678711,2.794917583465576,0.9769178628921508,1.0,1.0,When was Grace Hopper's Hardvard Mark II shorted by a moth?
15,The University of Pennsylvania.,University of Pennsylvania,0.3670527935028076,2.671186208724976,0.9653996229171752,0.8571428571428571,0.8571428571428571,Where was ENIAC located?
16,SAGE system.,SAGE system,0.2898004055023193,2.643780469894409,0.9579161405563354,1.0,1.0,What system of the U.S. military's was the first large-scale system to coordinate information between several locations?
17,Tommy Flowers,Flowers,0.4859154224395752,2.4591968059539795,0.59847092628479,0.6666666666666666,0.6666666666666666,Who built the first Colossus in 1943?
18,1936,1936,0.4347879886627197,2.662150382995605,1.0000001192092896,1.0,1.0,In what year was Studio Misr founded?
19,Problems with interoperability.,problems with interoperability,0.4898688793182373,2.8223743438720703,0.9787808060646056,1.0,1.0,Non-standard dialects led to what?
20,A severe drought.,a severe drought,0.4612834453582763,2.383749723434448,0.978617787361145,1.0,1.0,What environmental consequence affected the Australian economy by 1983?
