idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Sponges typically feed by drawing in water through pores and filtering out food particles.,drawing in water through pores,0.0005114078521728,4.761188268661499,0.4883391857147217,0.5263157894736842,0.5263157894736842,How do sponges typically feed?
1, 1773,1773,0.0005497932434082,1.0781214237213137,1.0000001192092896,1.0,1.0,When did Isaac Backus write against a state sanctioned religion?
2," Forbade the king to pass any new law without the consent of the representatives of the nobility, in Sejm and Senat assembled.",forbade the king to pass any new law without the consent of the representatives of the nobility,0.0005056858062744,7.842855930328369,0.8309609889984131,0.8717948717948718,0.8717948717948718,"What did The Act of ""Nihil novi nisi commune consensu"" Do"
3, J. Brent Walker,J. Brent Walker,0.0005199909210205,1.3372554779052734,1.0,1.0,1.0,Who is the Executive Director of the Baptist Joint Committee?
4," March 24, 2008, to August 8, 2008.",April 28.,0.000495433807373,4.804701328277588,0.6643765568733215,0.0,0.0,What date did the torch relay event take place?
5, The Silk Road,Silk Road,0.000511884689331,1.1082432270050049,0.9685282707214355,0.8,0.8,Which network was used to exchange goods with Rome?
6," Olympia, Greece","Olympia, Greece",0.0005090236663818,1.1024646759033203,1.0,1.0,1.0,Where was the Olympic torch lit?
7, Museum of Contemporary Art Detroit,Museum of Contemporary Art Detroit,0.0005018711090087,1.634317398071289,1.0,1.0,1.0,What does MOCAD stand for?
8, The separation of church and state.,constitutional limitation on religious establishment,0.000511884689331,2.17278790473938,0.6398825645446777,0.0,0.0,What do scholars also disagree with about the way the Supreme Court has interpreted what?
9," noble, privileged","formalized, hereditary",0.0005080699920654,1.1054651737213137,0.3049238324165344,0.0,0.0,What are two adjectives that best describe the szlachta?
10, A sense of solidarity.,co-proprietors of Piast realms,0.0004999637603759,1.6337287425994873,0.1461465209722519,0.2222222222222222,0.2222222222222222,What did some Mozni regard themselves with?
11, A religious dimension.,a religious dimension,0.0005061626434326,1.3749747276306152,0.9742680191993712,1.0,1.0,What has the separation of church and state failed to deny the political realm of?
12, The night blooming cereus.,cereus,0.0005037784576416,2.17251205444336,0.7007009983062744,0.4,0.4,What is the name of the night blooming flower on St. Barts?
13, Belle Isle Park,Belle Isle Park,0.0005059242248535,1.1044418811798096,1.0,1.0,1.0,What is the large island park in Detroit?
14, The Paralympic Games.,Paralympic Games,0.0004949569702148,2.1786704063415527,0.967146098613739,0.8,0.8,For what events was the torch relay decided to not be held?
15, crime rate and improving city services.,high crime rate,0.0005226135253906,2.1778757572174072,0.7341787219047546,0.4444444444444444,0.4444444444444444,What was Mayor Young criticized for not reducing?
