idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, University of Oklahoma,David Lyle Boren,0.0005354881286621,1.7913789749145508,0.1723475456237793,0.0,0.0,Who since 1994 served as president at the university where Robert E. Bell taught from 1947-1980?
1, Berea College,Berea College,0.0005450248718261,1.6966280937194824,1.0,1.0,1.0,Charles Williams went to what school that was founded in 1855?
2, Sabattus,Sabattus,0.0005133152008056,1.7123010158538818,1.0,1.0,1.0,"What is the name of the town, formerly known as Webster, that currently has the Regional School Unit 4 as the district headquarters?"
3, Barack Obama,Barack Obama,0.0005080699920654,1.3014910221099854,1.0,1.0,1.0,What former Illinois senator was featured on the cover of an issue Spider-Man published in this century?
4," ""Fool for You""",Fuck You,0.000500202178955,2.9257187843322754,0.2264529764652252,0.4,0.4,"What song did Whitney Avalon parody off of the 2010 ""The Lady Killer"" album?"
5, Yes,yes,0.0005064010620117,0.8819084167480469,1.0000001192092896,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
6, Film directors.,film director,0.0005257129669189,1.6908106803894043,0.8726288080215454,1.0,1.0,What is the occupation of Wang Quan'an and Donald Sawyer?
7, Touro Law Center,"Long Island, New York",0.00050950050354,2.108722448348999,0.2011247873306274,0.0,0.0,"Where is this American alternative singer and songwriter who released the album ""Forever for Now"" originally from?"
8, Pete's Tavern,at Pete's Tavern on Irving Place in New York City,0.0005061626434326,1.6993885040283203,0.712638258934021,0.4285714285714285,0.4285714285714285,Raincoat is a 2004 Indian Hindi drama film which is an adaptation of a short story that was allegedly written at which tavern ?
9, National Harbor,National Harbor,0.0005021095275878,1.2893717288970947,1.0,1.0,1.0,What development in Price George's County is located along the Potomac River?
10, 1887,1848,0.0005297660827636,1.6933553218841553,0.4839760661125183,0.0,0.0,"What year did the country, in which Ambrosius Blarer was known as an influential reformer, become a federal state of relatively autonomous cantons?"
11, The Little Prince,Rashi Bunny,0.0005056858062744,1.6969702243804932,0.2984579205513,0.0,0.0,Which actress appeared in a movie based on a  novella written by Antoine de Saint-Exupéry in 1943?
12, Samoan,Samoan,0.0005064010620117,1.694371461868286,1.0,1.0,1.0,The New Zealand top 50 albums of 2015 included two by the musical trio that includes brothers of what descent?
