idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Charles Sorley was born first.,Pearl Sydenstricker Buck,0.0005049705505371,1.1246607303619385,0.2250595390796661,0.0,0.0,"The Pearl Buck Award is distributed by the Sino-American Foundation for the Advancement of Hermeneutical Studies to teachers, this award is named for which Chinese-raised, Nobel Prize-winning humanitarian?"
1, February 2012,February 2012,0.0005090236663818,0.684962272644043,1.0,1.0,1.0," ITunes Live from Capitol Studios was streamed live to celebrate the release of Paul McCartney's new studio album, When was this album released ?"
2, 1707,1707,0.0004973411560058,0.5511858463287354,1.0000001192092896,1.0,1.0,"Sir John Moore, 1st Baronet is a national of a country that was inaugurated in which year ?"
3, New York City,New York City,0.0004985332489013,0.5454506874084473,1.0,1.0,1.0,Q: Staten Island and 125 Greenwich Street are both places in which City? A: New York City
4, 2014.,2014,0.0004956722259521,0.7108216285705566,0.9431241750717164,1.0,1.0,What year did Rene Russo star in the American thriller film Nightcrawler?
5, The Jesus and Mary Chain,The Jesus and Mary Chain,0.0005044937133789,0.8071112632751465,1.0,1.0,1.0,Which band formed earlier The Jesus and Mary Chain or The Owl Service?
6, 1976,2016,0.0005099773406982,0.546299934387207,0.5562722682952881,0.0,0.0,In what year was the choreographer with whom Laz Brotherston has collaborated knighted?
7, Marc Webb,Marc Preston Webb,0.0005028247833251,0.4135544300079345,0.8767029643058777,0.8,0.8,Who was the director of a 2012 film with main character Peter Parker?
8, Sunny,Sunny,0.0004980564117431,0.283458948135376,1.0,1.0,1.0,Chun Woo-hee had a supporting role in which 2011 South Korean comedy-drama?
9, Moriteru Ueshiba,footballers,0.0005807876586914,0.938284158706665,0.1552000045776367,0.0,0.0,Who is involved in a club that involves a sport developed by Morihei Ueshiba?
10, Lyn Dobson,Rory Storm,0.0004899501800537,0.5437521934509277,0.2654339671134949,0.0,0.0,Which musician has ties to both Keef Hartley and Ringo Starr?
11, Tom Patterson.,Tom Patterson,0.0004937648773193,0.5565464496612549,0.9723671674728394,1.0,1.0," Lilian Sukis sang the role of Countess Almaviva in Wolfgang Amadeus Mozart's ""The Marriage of Figaro"" at an internationally recognized annual repertory theatre festival founded by who?"
12, 30 BC,30 BC,0.0005011558532714,0.5816371440887451,1.0,1.0,1.0,"Ancient Egypt was an ancient civilization of eastern North Africa, concentrated along the northern reaches of the Nile River in Egypt, its history occurred in a series of stable ""kingdoms"", separated by periods of relative instability known as ""intermediate periods"", the history of ancient Egypt spans the period from the early prehistoric settlements of the northern Nile valley to the Roman conquest, in what year?"
13," 66,135","66,135",0.0004889965057373,0.6772420406341553,1.0,1.0,1.0,What was the population as of the 2010 census of the city where Elston Hall is located?
14, Jefferson County and Silver Bow County.,between Jefferson County and Silver Bow County,0.0004923343658447,1.0714936256408691,0.9478458166122437,0.923076923076923,0.923076923076923,I-90 crosses the Continental Divide over a mountain pass that sits on the border between which two counties ?
15, David Adams,David Adams,0.0004870891571044,0.4255087375640869,1.0,1.0,1.0,"Who won 19 doubles titles and finished runner-up an additional 33 times, including at the French Open in 1992, David Adams or Jimmy Arias?"
