idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Paper,Paper,0.3170332908630371,24.48259377479553,1.0000001192092896,1.0,1.0,"Which magazine covers a wider range of topics, Decibel or Paper?"
1, 1958,1958,0.3595733642578125,24.941864490509037,1.0000001192092896,1.0,1.0,People of the City is a novel by Cyprian Ekwensi that preempted the importance of a novel first published in what year?
2, Oh Yeah! Cartoons,Oh Yeah! Cartoons,0.3694512844085693,25.372525691986084,1.0000001192092896,1.0,1.0,Mina and the count animated series appeared on two animation show cases Cartoon networks what a Cartoon. Who was the second Animation showcase which appeared on Nickelodeon cable channel ?
3, Kevin Love,Kevin Wesley Love,0.3684420585632324,24.521545886993408,0.8334372043609619,0.8,0.8,"What all-star from the Cavaliers-Warriors rivalry was born September 7, 1988?"
4, 1904,1904,0.3665239810943603,24.77088522911072,1.0000001192092896,1.0,1.0,"Europrop International GmbH (EPI) is a joint venture among four European aircraft engine manufacturers, including Rolls-Royce Holdings plc is a British multinational public limited company incorporated in February 2011, that owns Rolls-Royce, a business established in what year, and today designs, manufactures and distributes power systems for aviation, and other industries?"
5, Isaac Hayes,soul singer Isaac Hayes,0.3685934543609619,24.654253721237183,0.7772125005722046,0.6666666666666666,0.6666666666666666,Who is Chef voiced by in the episode Cartman's Mom Is Still a Dirty Slut?
6, IAO,John Zorn,0.3640811443328857,24.64688754081726,0.12399223446846,0.0,0.0,Who was the album by that was inspired by a man who was an English occultist and his follower?
7," 1,200","10,700",0.3606986999511719,25.096964836120605,0.3765456676483154,0.0,0.0,What is the capacity of the arena at which Martin Mikkelsen's team plays?
8," ""Te Amo""",Te Amo,0.3656091690063476,25.34429335594177,0.9105165004730223,1.0,1.0,"Which song, released in June of 2010, was sampled by a single that Sean Kingston recorded?"
9, The Himalayas,mountain,0.3666512966156006,24.77906036376953,0.5746539831161499,0.0,0.0,Baintha Brakk and K2 are both names of what?
10, 2016,May 2016,0.3700752258300781,24.9300229549408,0.8219212293624878,0.6666666666666666,0.6666666666666666,In what month and year was the video game that inspired the Overwatch digital comic series released?
11, classical history,classical history,0.3612561225891113,24.728894472122192,1.0,1.0,1.0,"What is the specialty of the woman who presented ""The Spartans"" in 2003?"
12, Jeff Martin,Jeffrey Scott Martin,0.3650243282318115,24.63900089263916,0.8155666589736938,0.4,0.4,"Which artist also had a solo career, Jeff Martin or Mark Rankin?"
13, 1989,1973,0.3738958835601806,24.82592463493347,0.548676073551178,0.0,0.0,What year was the incumbent Associate Attorney General born ?
14, New York City,New York City,0.3722054958343506,24.836594581604004,1.0,1.0,1.0,Q: Staten Island and 125 Greenwich Street are both places in which City? A: New York City
15, 1925,1925,0.3662045001983642,24.86397361755371,1.0,1.0,1.0,The Harlem Globetrotters have a signature song of the whistled version of the tune composed in what year?
16, Barclays,Barclays,0.3652992248535156,24.295249938964844,1.0000001192092896,1.0,1.0,The 2007–08 Premier League was sponsored by which British multinational bank?
17," Santa Monica, California.","Santa Monica, California",0.3651912212371826,25.35280466079712,0.9726114273071288,1.0,1.0,What was the western end of the road that the Aztec Motel in Albuquerque was located on?
18, George Washington University Hospital has 371 beds.,George Washington University Hospital,0.3666954040527344,26.068103551864624,0.785612165927887,0.7272727272727273,0.7272727272727273,"What hospital has the most beds, Psychiatric Institute of Washington or George Washington University Hospital?"
19, 1945,April 1939,0.3603615760803222,24.824607610702515,0.6322059631347656,0.0,0.0,When did the project Operation Big was related to begin?
20, Janice Burgess.,Janice Burgess,0.374401330947876,25.04554009437561,0.9781800508499146,1.0,1.0,Sean Curley is a singing voice on the CGI-animated series created by whom?
21, Yook Sung-jae,Yook Sung-jae,0.3619191646575928,25.479780673980716,1.0000001192092896,1.0,1.0,"What is the name of the South Korean man who is in the television show The Village: Achiara's Secret, and is a member of the group BtoB?"
22, Asia,mountain,0.3726711273193359,24.448585271835327,0.3506734669208526,0.0,0.0,Baintha Brakk and K2 are both names of what?
23, 2020,2020,0.362084150314331,24.80944418907165,1.0,1.0,1.0,When does the Representative of Maryland's 6th congressional district plan to run for presidency?
24, Themistocles,Themistocles,0.3637452125549316,25.06421709060669,1.0,1.0,1.0,Who was a populist politician and the effective ruler of Athens when Admetus was King of the Molossians?
25, Australia,Australia,0.3547921180725097,24.457022666931152,1.0000001192092896,1.0,1.0,"Queen Victoria Village, generally known as QV Melbourne or just QV, is a precinct in the central business district of Melbourne, Victoria, located directly opposite the State Library of Victoria is Melbourne Central, a large shopping centre, office, and public transport hub in the city of Melbourne, in which country?"
26, 2011.,2011,0.3733847141265869,25.1249737739563,0.9571799039840698,1.0,1.0,"Ikemen desu ne, released in which year, is a Japanese television series, it is the Japanese remake of the Korean musical romantic comedy television drama ""You're Beautiful""?"
27, 1925,"June 23, 1925",0.3707246780395508,24.753703117370605,0.8877692222595215,0.5,0.5,When was the award for scientific acomplishments won by Soviet scientist Mikhail Borisovich Golant and named after an infamous Soviet ruler created?
28, 14,14-screen,0.3618025779724121,24.605377435684204,0.6114760041236877,0.6666666666666666,0.6666666666666666,The Mall in Columbia on Route 150 has an AMC Theatres with how many screens?
