idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"1821, after Mexico's War of Independence from Spain.",After the Mexican War of Independence from Spain,0.3084409236907959,7.773994207382202,0.827423095703125,0.7058823529411765,0.7058823529411765,When did other states become part of Mexico?
1,"No, while Myanmar (Burma) has made progress towards democracy, it is still a hybrid regime with a nominally civilian government but significant military influence.",Opinions differ whether the transition to liberal democracy is underway,0.3778777122497558,4.549194097518921,0.4049994349479675,0.1176470588235294,0.1176470588235294,Is Burma now a democratic nation?
2,1613,"In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom",0.4142532348632812,2.57996153831482,0.0956872850656509,0.0,0.0,In what year was one of the original Myanmar kingdoms restored?
3,The Eötvös Prize.,"Eötvös Prize, a national prize for mathematics",10.333132982254028,3.180213451385498,0.8249627351760864,0.5714285714285714,0.5714285714285714,What prize did Von Neuman win at the conclusion of his gymansium formal education?
4,"Partially, with some progress made in transitioning to a more democratic government, but challenges and concerns remain.","Aung San Suu Kyi's party won a majority in both houses, ending military rule.",0.3250420093536377,4.237981796264648,0.1985816210508346,0.125,0.0625,Has the country been able to overcome the problems of government with the previous regime?
5,"Yes, New Mexico's Spanish dialect has retained many elements of 16th- and 17th-century Spanish and has developed its own vocabulary.",", New Mexico Spanish, and in particular the Spanish of northern New Mexico and Colorado has retained many elements of 16th- and 17th-century Spanish",0.4568300247192383,3.551795244216919,0.7748558521270752,0.6086956521739131,0.5652173913043478,Is New Mexico's language different than from other Spanish dialect 
6,The State of the Union Addresses and other presidential speeches are translated to Spanish.,The State of the Union Addresses and other presidential speeches are translated to Spanish,0.8504433631896973,2.808966636657715,0.9922918677330016,1.0,1.0,What political speaches are delivered in English and Spanish?
7,"New York City, Orlando, Philadelphia, and other areas of the Eastern United States.","many Puerto Ricans have migrated to New York City, Orlando, Philadelphia, and other areas of the Eastern United States",0.3040351867675781,3.3181095123291016,0.547042727470398,0.8125000000000001,0.8125000000000001,Where are the biggest population of Puerto Ricans on the mainland?
8,"No, under the current laws, groups representing workers are not allowed to express their opinions in protest in Burma.",new labour laws that permit labour unions and strikes,0.3052875995635986,3.9251344203948975,0.3068426847457886,0.0714285714285714,0.0714285714285714,Are groups who represent workers allowed to express their opinions in protest in Burma?
9,"Lingering resentment over historical events, such as the Japanese occupation of Burma in World War II and the British refusal to remove shoes when entering pagodas, may have contributed to negative feelings among the different races of the Burmese people.",lingering resentment over the violence that occurred during the Japanese occupation,0.6457502841949463,6.117503643035889,0.5454339981079102,0.2745098039215686,0.2352941176470588,What may have caused negative feeling to still linger among the different races of the Burmese people ?
10,The emergence of iron-working settlements in an area south of present-day Mandalay around 500 BC.,with the emergence of iron-working settlements in an area south of present-day Mandalay,0.2523500919342041,3.4762539863586426,0.9340511560440063,0.8749999999999999,0.8749999999999999,What events punctuate the beginning of the Iron Age?
11,"No, changes did not move at a uniform pace for the Burmese people.",pace of reforms were uneven and ultimately proved insufficient,0.2498202323913574,3.861644506454468,0.4702450037002563,0.0909090909090909,0.0909090909090909,Did changes move along at a uniform pace for the Burmese people?
12,Armed Forces Special Weapons Project (AFSWP),Armed Forces Special Weapons Project,0.2399420738220214,2.992008686065674,0.8412832021713257,0.9090909090909092,0.9090909090909092,What military organization did von NEumann also consult with for military aspect of nuclear weapons?
