idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Zooey Deschanel,Zooey Deschanel,0.0005018711090087,1.37384295463562,0.9999999403953552,1.0,1.0,What ukulele player has Sheldon Gomberg worked with?
1," Muscle Shoals, Alabama.","Muscle Shoals, Alabama",0.0005178451538085,1.5122501850128174,0.9850403070449828,1.0,1.0,"""Somewhere in the Vicinity of the Heart"" is a song recorded by a country music band that was founded in what city and state?"
2, Syria,Soviet Union,0.0004851818084716,0.4555685520172119,0.4492249488830566,0.0,0.0,"""Third World"" referred to countries that remained non-aligned with either NATO or a grouping of states aligned with who? "
3, David Bell.,David Michael Bell,0.0004811286926269,0.8680145740509033,0.9163378477096558,0.8,0.8,Buddy Bell is the father of which St. Louis Cardinals bench coach?
4, Albert Finney,Albert Finney,0.0004811286926269,0.8763914108276367,1.0,1.0,1.0,"What is the name of the actor who played in the remake of ""Night Must Fall"" and ""Skyfall""? "
5, 0,945,0.0005083084106445,0.6619167327880859,0.3024401664733886,0.0,0.0,What was the 2010 population on the city where Lave Tree State Monument is located?
6, No,yes,0.0004844665527343,0.4513652324676513,0.7334951162338257,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?
7, Netherlands,the Netherlands,0.0004806518554687,0.4524681568145752,0.942940354347229,0.6666666666666666,0.6666666666666666,The company that owns the Brent field is headquartered in what country?
8, Captain Henry T. Elrod.,Henry T. Elrod,0.0004751682281494,1.7206926345825195,0.8944409489631653,0.8571428571428571,0.8571428571428571,"What Yale alumni had an ""Oliver Hazard Perry""-class frigate named after him?"
9, England,Northern Ireland,0.000478982925415,0.4505572319030761,0.5877846479415894,0.0,0.0,"From where was the actor opposite which Maggie Grace appeared in ""Taken""?"
10, Film director.,film director,0.000474214553833,0.8675017356872559,0.9636179208755492,1.0,1.0,What is the occupation of Wang Quan'an and Donald Sawyer?
11, 2005,2005,0.0004827976226806,0.8692190647125244,1.0,1.0,1.0,"In which year was this former Detroit City Council member, with whom Sheila Cockrel had a fractious relationship with, first elected to the council?"
12, 6072 ft,6072 ft,0.0004858970642089,1.0792365074157717,1.0,1.0,1.0,How long is the roller coaster that sprawls across much of Paradise Pier?
13," No, Liberty University is in Virginia and Rutgers University is in New Jersey.",no,0.0004885196685791,3.3757479190826416,0.1447844058275222,0.1428571428571428,0.1428571428571428,Are Chris Marker and Yvonne Rainer American?
14, Seven Mary Three has released more albums.,Seven Mary Three,0.0004868507385253,1.914170265197754,0.7919972538948059,0.6,0.6,"Which band has released more albums, Seven Mary Three or Django Django?"
15, Lipizzan.,Lipizzan,0.0004830360412597,1.1216638088226318,0.979790985584259,1.0,1.0,"Lipica is one of the main tourist centers of Slovenia's Karst region and it is known for the Lipica Stud Farm, the origin of which breed of horse closely associated with the Spanish Riding School of Vienna, Austria, where they demonstrate the ""haute école"" or ""high school"" movements?"
16," Detroit, Michigan.","Detroit, Michigan",0.0004816055297851,1.0745160579681396,0.9736545085906982,1.0,1.0,Khwezi is a producer who has worked for an American rapper and singer from what city?
17, Thomas Quiney,Thomas Quiney,0.0004854202270507,1.0796823501586914,0.9999999403953552,1.0,1.0,Who married the twin of William Shakespeare's child who passed at age 11?
18, Julie Ege,Julie Ege,0.0004866123199462,0.8696355819702148,1.0,1.0,1.0,What star of Bortreist på ubestemt tid was born on 12 November 1943?
19, Kensington Park.,Kensington Park,0.0005011558532714,0.8694477081298828,0.9848592281341552,1.0,1.0,Which suburb in the City of Burnside is the Regal Theatre (the Chelsea) located?
20, Mildred J. Hill,Mildred J. Hill,0.0004911422729492,1.3311283588409424,1.0,1.0,1.0,"""Happy Birthday to You"", more commonly known as simply ""Happy Birthday"", is a song that is traditionally sung to celebrate the anniversary of a person's birth, the melody, comes from the song ""Good Morning to All"", which has traditionally been attributed to American sisters Patty and who, which was an American songwriter and musicologist?"
21, Fightstar,Fightstar,0.000486135482788,0.6603236198425293,1.0000001192092896,1.0,1.0,"Who is considered a post hard-hardcore band, Fightstar or The Coral Sea?"
22, Pan Tadeusz,Pan Tadeusz,0.0004818439483642,1.0822608470916748,1.0,1.0,1.0,Alicja Bachleda-Curuś has made an appearance in which 1999 Andrzej Wajda film?
23, Carl Alan Wilson,Alan Shearer,0.0004825592041015,0.8746521472930908,0.4789371192455292,0.4,0.4,Shirley Parish Church was the location where which English footballer was married?
24, Napoleon.,Napoleon,0.0004799365997314,0.6596531867980957,0.9635506868362428,1.0,1.0,"Germania is a patriotic song by Ludwig van Beethoven, written in order to celebrate the victory against who, Beethoven was a German composer and pianist?"
25, 2015,2015,0.0004880428314208,0.8806824684143066,1.0,1.0,1.0,Nick Bell is the Vice President of the company whose CEO was named youngest billionaire in the world in what year?
26, Lilith Ltd,Kojima Productions,0.000478982925415,0.8696749210357666,0.247674286365509,0.0,0.0,Which group developed the first-person psychological horror video game that the upcoming first-person survival horror video game Allison Road is supposedly a spiritual successor to?
27, Kadhalan,Kadhalan,0.0004913806915283,0.9124126434326172,1.000000238418579,1.0,1.0,"It's My Birthday, is a song by American hip hop recording artist and DJ will.i.am, and American singer Cody Wise, it samples the Tamil song ""Urvasi Urvasi"", from which 1994 Tamil film, that's directed by Shankar?"
28, Operation Torch,Operation Torch,0.0004985332489013,0.6587817668914795,1.0,1.0,1.0,HMS Boadicea participated in which British-US invasion of French North Africa?
29, Bryant Gumbel,Bryant Gumbel,0.0004799365997314,1.1220109462738037,1.0,1.0,1.0,"What was the name of the older brother who became the first African-American announcer to call play-by-play of a major sports championship in the United States, of currently a play-by-play broadcaster for the ""NFL on CBS"" alongside a former American football quarterback who earned a Super Bowl ring with the Rams and was selected to two Pro Bowls with the Chiefs?"
30, New York City,New York City,0.0004935264587402,0.8692221641540527,1.0,1.0,1.0,Q: Staten Island and 125 Greenwich Street are both places in which City? A: New York City
31, The Anglican Church.,the Anglican Church,0.0004918575286865,1.3058967590332031,0.9830317497253418,1.0,1.0,The Dame Elizabeth Wordsworth's father was an English bishop of what church?
