idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, The Babadook.,The Babadook,0.10543489456176758,8.72413158416748,0.9869449138641357,1.0,1.0
1, Richard Attenborough,Kenneth Branagh,0.04868006706237793,8.559152364730835,0.313838928937912,0.0,0.0
2," ""Telluride Sessions""",Telluride Sessions,0.10474348068237305,8.86741018295288,0.9649248719215393,1.0,1.0
3, César Award.,Palme d'Or at the 2013,0.04681658744812012,8.694724798202515,0.17380136251449585,0.0,0.0
4, Arthur Penn,"Arthur Hiller Penn (September 27, 1922 – September 28, 2010) was an American director and producer of film, television and theater.",0.05125594139099121,8.31001091003418,0.6786243915557861,0.18181818181818182,0.18181818181818182
5, Cumbria.,204,0.05865144729614258,8.563770532608032,0.13975465297698975,0.0,0.0
6, Hebron Academy.,Hebron Academy,0.05471181869506836,8.532409429550171,0.9894592761993408,1.0,1.0
7," January 4, 1914.","January 4, 1914",0.04932546615600586,9.067903280258179,0.9819768667221069,1.0,1.0
8, Paul Heyse,Paul Johann Ludwig von Heyse,0.13294029235839844,8.432181358337402,0.7304707169532776,0.5714285714285715,0.5714285714285715
9, Tony Schiavone,Tony Schiavone,0.0667724609375,8.72036623954773,0.9999998807907104,1.0,1.0
10, The Year Without a Santa Claus.,The Year Without a Santa Claus,0.05016279220581055,8.961903810501099,0.979610025882721,1.0,1.0
11, The Colorado River.,Colorado River,0.09213066101074219,8.572393894195557,0.9534531235694885,0.8,0.8
12," She was a cousin of King Lunalilo, also known as ""The People's King"".",cousin,0.08592009544372559,10.439746379852295,0.3360918164253235,0.13333333333333333,0.13333333333333333
13, English,English,0.1059117317199707,8.180276155471802,1.0,1.0,1.0
14, J.K. Rowling,J. K. Rowling,0.056052207946777344,8.56343388557434,1.0,1.0,1.0
15, Altice USA.,Altice USA,0.04807615280151367,8.560760021209717,0.9861181378364563,1.0,1.0
