idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,"Black Sabbath's album ""13"" was released in 2013, but it was not the first album to top the UK Albums Chart that year. The album that beat ""Paranoid"" for the top spot in 2013 was actually not mentioned in the text.",Black Sabbath,0.3136582374572754,3.9686551094055176,0.5917344093322754,0.0909090909090909,0.0909090909090909
1,"December 9, 1962.","December 21, 1953",0.3203141689300537,1.0093481540679932,0.67246013879776,0.3333333333333333,0.3333333333333333
2,British English.,United Kingdom,0.2873833179473877,0.7415866851806641,0.5346602201461792,0.0,0.0
3,Hot Gossip.,I Lost My Heart to a Starship Trooper,0.6087746620178223,0.5030326843261719,0.06175125390291214,0.0,0.0
4,1973,1947,0.4131908416748047,0.6421749591827393,0.6186342239379883,0.0,0.0
5,The Liberal Party of Australia.,centre-right,0.4376986026763916,0.8320131301879883,0.32192736864089966,0.0,0.0
6,American.,American,0.3556513786315918,0.6045193672180176,0.9135115146636963,1.0,1.0
7,"Yes, Stephan Pastis is a cartoonist and creator of the comic strip ""Pearls Before Swine"", and Endurance is a 1999 docudrama film about a distance runner, but also the name of a comic series ""Concrete Immortalz"" is not related to the film.",no,0.3344564437866211,3.3333942890167236,0.10581690073013306,0.0,0.0
8,"Yes, they are film directors.",yes,0.3138861656188965,0.8772618770599365,0.17871686816215515,0.33333333333333337,0.33333333333333337
9,1974.,1974,0.3285365104675293,0.6760096549987793,0.9617180824279785,1.0,1.0
10,They are both astronauts.,astronaut,0.7182028293609619,0.7244710922241211,0.6736512184143066,0.4,0.4
11,"Haikou is located in Hainan province, which is a southern province in China. Gaizhou is located in Liaoning province, which is in the northeast of China. Therefore, Haikou is further south of China compared to Gaizhou.",Gaizhou,0.29551076889038086,2.652261257171631,0.308867484331131,0.05405405405405406,0.05405405405405406
12,William Tecumseh Sherman.,William Tecumseh Sherman,0.2676544189453125,0.8162417411804199,0.9894639253616333,1.0,1.0
13,"June 14, 1992 (Daryl Sabara)","August 27, 1988",0.37281107902526855,1.0376718044281006,0.5753109455108643,0.0,0.0
14,"Yes, both Caryl Deyn Korma and Norman Z. McLeod were film directors.",yes,0.29117560386657715,1.4207942485809326,0.12039782851934433,0.15384615384615385,0.15384615384615385
15,Women's suffrage.,vote in federal elections,0.29399919509887695,0.8135678768157959,0.34044376015663147,0.0,0.0
16,Serge Haroche.,Serge Haroche,0.396442174911499,0.8495075702667236,0.9860626459121704,1.0,1.0
17,The United States and Canada.,the United Kingdom and Canada,0.2918674945831299,0.7739236354827881,0.7770882248878479,0.8000000000000002,0.8000000000000002
18,Boulder City.,Clark County,0.3209724426269531,0.638512134552002,0.3983202278614044,0.0,0.0
19,John Ostrander.,Joseph Samachson,0.3691291809082031,0.8791043758392334,0.45813465118408203,0.0,0.0
20,Brand New has more members.,Brand New,0.29362010955810547,0.7318437099456787,0.7117197513580322,0.5714285714285715,0.5714285714285715
21,"""Just Like Heaven"" by The Cure.",Just Like Heaven,0.6824929714202881,0.8586294651031494,0.47091159224510193,0.6666666666666666,0.6666666666666666
22,"No, they were not.",no,0.6021096706390381,0.7786452770233154,0.2195051908493042,0.4,0.4
23,858.,858,0.2592446804046631,0.7438318729400635,0.9593654870986938,1.0,1.0
24,England.,England,0.3857913017272949,0.5660886764526367,0.9507434368133545,1.0,1.0
25,Mickey's Once Upon a Christmas.,Mickey's Once Upon a Christmas,0.41216254234313965,0.9450364112854004,0.9844093918800354,1.0,1.0
26,"Sölden, Austria.",the Ötztal valley of Tyrol,0.39564037322998047,0.755333423614502,0.4146152436733246,0.0,0.0
27,"August 12, 1985.","August 12, 1985",0.3818013668060303,0.866173505783081,0.9870189428329468,1.0,1.0
28,Jonava.,Jonava,0.3448216915130615,0.6446089744567871,0.9700256586074829,1.0,1.0
29,Webster University.,"Webster Groves, Missouri",0.2969017028808594,0.6092145442962646,0.5892443656921387,0.4,0.4
30,The Wabash Valley Seismic Zone.,The New Madrid Seismic Zone,0.28400707244873047,0.7614965438842773,0.5213205814361572,0.6,0.6
31,"No, Shaoshan is under the administration of Xiangtan prefecture-level City, not Xiangyang City.",no,0.6475260257720947,1.4758002758026123,0.14864546060562134,0.13333333333333333,0.13333333333333333
