idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,SplitsVilla in 2009.,MTV Splitsvilla,0.31050801277160645,1.7895872592926025,0.7012432813644409,0.4,0.4
1,This Is Us.,This Is Us,0.6706786155700684,0.38816165924072266,0.9442296028137207,1.0,1.0
2,Istanbul.,Istanbul,0.6568803787231445,0.20418334007263184,0.9680678844451904,1.0,1.0
3,Berlin.,Berlin,0.40086936950683594,0.3162384033203125,0.9744782447814941,1.0,1.0
4,"118,918.","118,918",0.3374307155609131,0.42075300216674805,0.9860227108001709,1.0,1.0
5,"The Boston Red Sox, the third team Chad Fox played for, has won 8 World Series championships.",eight,0.5227503776550293,1.0102803707122803,0.1598457545042038,0.0,0.0
6,"Bruce Lee, and the martial art is Jeet Kune Do.",Jeet Kune Do,0.2970011234283447,0.7528707981109619,0.5093359351158142,0.4615384615384615,0.4615384615384615
7,"""Tim McGraw"".",Tim McGraw,0.4043421745300293,0.4207756519317627,0.919745147228241,1.0,1.0
8,1905,1905,0.23694229125976562,0.35026097297668457,1.0,1.0,1.0
9,"September 18, 2015.","October 25, 2010",0.2820475101470947,0.4983077049255371,0.6337795257568359,0.0,0.0
10,1957,1957,0.49862170219421387,0.2803642749786377,1.0,1.0,1.0
11,The Denver Nuggets received Raymond Felton via trade from the Charlotte Bobcats.,New York Knicks,0.35454893112182617,0.7820370197296143,0.37155306339263916,0.0,0.0
12,Penn State.,Penn State University,0.24408483505249023,0.2391223907470703,0.907368004322052,0.8,0.8
13,Vijay.,Vijay,0.4337620735168457,0.3513936996459961,0.9770946502685547,1.0,1.0
14,2016,2024,0.3030698299407959,0.3488478660583496,0.5451478958129883,0.0,0.0
15,American.,American,0.348675012588501,0.20496845245361328,0.9135115146636963,1.0,1.0
