idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Kate Spade.,Kate Spade,0.30298805236816406,1.560102939605713,0.9669650197029114,1.0,1.0
1,"There is no information that Grace Krilanovich's first novel was published by an independent mom-and-pop publishing house. Her first novel, ""The Orange Eats Creeps"", was published by Two Dollar Radio in 2010.","Columbus, Ohio",0.5036702156066895,1.9348878860473633,0.038972072303295135,0.0,0.0
2,Saddam Hussein.,Saddam Hussein,0.3550300598144531,0.35173821449279785,0.9434317350387573,1.0,1.0
3,"Pete Sampras won Wimbledon 7 times, not Menno Oosting or Goran Ivanišević.",Goran Ivanišević,0.45252561569213867,1.0622062683105469,0.5205743312835693,0.375,0.375
4,The Multifunction Polis.,Multifunction Polis,0.3188948631286621,0.4995872974395752,0.928430438041687,0.8,0.8
5,Microsoft Windows and Linux.,Microsoft Windows and Linux,0.4858560562133789,0.4010348320007324,0.865555465221405,1.0,1.0
6,Tameside Stadium.,Tameside Stadium,0.5767278671264648,0.4240756034851074,0.9869006872177124,1.0,1.0
7,Scania.,Danes,0.36159467697143555,0.23887920379638672,0.1706855297088623,0.0,0.0
8,"Teucrium has more species, with hundreds, while Atalaya has 18 species.",Teucrium,0.27898478507995605,0.9450528621673584,0.567304253578186,0.16666666666666669,0.16666666666666669
9,Floyd Mayweather Jr. vs. Robert Guerrero.,The Money Fight,0.46248531341552734,0.5717813968658447,0.45327523350715637,0.0,0.0
10,"September 5, 1967.","September 5, 1967",0.3376438617706299,0.47704243659973145,0.9838533401489258,1.0,1.0
11,Grimsby Town.,Lincoln City,0.31374645233154297,0.35720038414001465,0.4218164384365082,0.0,0.0
12,Daniel Negreanu.,Daniel Negreanu,0.36312437057495117,0.46265435218811035,0.9819578528404236,1.0,1.0
13,Yes.,yes,0.6860661506652832,0.31150341033935547,0.836855947971344,1.0,1.0
14,No.,no,0.2423546314239502,0.3144080638885498,0.8128341436386108,1.0,1.0
15,"""Early Winter""",The Sweet Escape,0.27106165885925293,0.3326754570007324,0.22522908449172974,0.0,0.0
