idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Meet the Robinsons,Peter Pan,0.0005528926849365234,2.221586227416992,0.16453778743743896,0.0,0.0
1, Doris Day,Jodie Prenger,0.0005764961242675781,1.722883701324463,0.3858170509338379,0.0,0.0
2, The Adventures of Huck Finn,Herbie Rides Again,0.0005214214324951172,2.5638699531555176,0.10865293443202972,0.0,0.0
3, R2B: Return to Base,R2B: Return to Base,0.0005168914794921875,3.401366710662842,1.0,1.0,1.0
4, Laura Bailey,Laura Bailey,0.0005385875701904297,1.3192427158355713,1.0,1.0,1.0
5, Elson Moyo was a deputy commander of the Air Force of Zimbabwe and one of the main figures in the 2007 Zimbabwean coup d'état attempt.,deputy commander of the Air Force,0.0005166530609130859,14.222832679748535,0.45485568046569824,0.375,0.375
6, Europe,Europe,0.0005273818969726562,0.8930099010467529,1.0,1.0,1.0
7," ""Wiseguy""",Wiseguy,0.0005140304565429688,2.5669713020324707,0.8721039891242981,1.0,1.0
8, Clyde Kennard,Air Force,0.0005202293395996094,1.7323415279388428,0.19601336121559143,0.0,0.0
9, Registan,Samarkand,0.0005235671997070312,1.3110880851745605,0.3981855809688568,0.0,0.0
10, Paul Williams,"Nicknamed ""The Punisher"", and standing at a height of 6 foot 1 inches, Williams was unusually tall for the three divisions in which he competed.",0.0005223751068115234,1.3111300468444824,0.34109237790107727,0.07407407407407407,0.07407407407407407
11, Little Richard,Little Richard,0.0005230903625488281,1.3101449012756348,1.0,1.0,1.0
12, Fabio Fognini,Simone Bolelli,0.0005350112915039062,2.585031270980835,0.3655890226364136,0.0,0.0
13, Yes,yes,0.0005381107330322266,0.8949456214904785,1.0000001192092896,1.0,1.0
14, The Smiths,Morrissey,0.0005114078521728516,1.7395837306976318,0.5524157881736755,0.0,0.0
15, Vickers,Vickers Defence Systems,0.0005292892456054688,1.3216831684112549,0.7221714854240417,0.5,0.5
16, Helen Magnus,Helen Magnus,0.000522613525390625,1.3248498439788818,1.0,1.0,1.0
17, 1912-1918,1765 and 1783,0.0005209445953369141,3.002399206161499,0.40856844186782837,0.0,0.0
18, X-Men,"""X-Men""",0.000514984130859375,1.3254611492156982,0.935822606086731,1.0,1.0
19, Emmy Award,Emmy Award,0.0005195140838623047,1.3431155681610107,1.0,1.0,1.0
20, The Nobel Peace Prize.,Nobel Peace Prize,0.0005245208740234375,2.5780012607574463,0.9290430545806885,0.8571428571428571,0.8571428571428571
21, Fred Savage,Ben Karlin,0.0005173683166503906,1.3281025886535645,0.2851804196834564,0.0,0.0
