idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Black Sabbath,Black Sabbath,0.0005092620849609375,0.7874317169189453,1.0,1.0,1.0
1," May 16, 1944","December 21, 1953",0.000518798828125,1.834623098373413,0.5181818008422852,0.0,0.0
2, England,United Kingdom,0.000484466552734375,0.4868803024291992,0.735821008682251,0.0,0.0
3," ""I Lost My Heart to a Starship Trooper""",I Lost My Heart to a Starship Trooper,0.0004932880401611328,2.951418876647949,0.8825058937072754,1.0,1.0
4, 1971,1947,0.00048232078552246094,0.9449107646942139,0.5077430605888367,0.0,0.0
5, The center of the political spectrum.,centre-right,0.0004839897155761719,1.8544788360595703,0.48962023854255676,0.0,0.0
6, American,American,0.0005102157592773438,0.4884757995605469,1.0,1.0,1.0
7, Yes.,no,0.0005004405975341797,0.717087984085083,0.5598188042640686,0.0,0.0
8, Yes.,yes,0.0004918575286865234,0.7152533531188965,0.836855947971344,1.0,1.0
9, 1974,1974,0.0005121231079101562,0.9521334171295166,1.0,1.0,1.0
10, Astronaut,astronaut,0.0004811286926269531,0.71604323387146,1.0000001192092896,1.0,1.0
11, Haikou,Gaizhou,0.0004830360412597656,0.945049524307251,0.26907140016555786,0.0,0.0
12, William Tecumseh Sherman,William Tecumseh Sherman,0.0004901885986328125,1.6275556087493896,1.0,1.0,1.0
13, 1988,"August 27, 1988",0.000484466552734375,0.9471986293792725,0.8386032581329346,0.5,0.5
14, Yes,yes,0.0004811286926269531,0.4901161193847656,1.0000001192092896,1.0,1.0
15, Women's suffrage.,vote in federal elections,0.0004911422729492188,1.3995318412780762,0.34044376015663147,0.0,0.0
16, Serge Haroche,Serge Haroche,0.0004935264587402344,1.1777923107147217,1.0000001192092896,1.0,1.0
17, The United States and Canada.,the United Kingdom and Canada,0.00047898292541503906,1.6279678344726562,0.7770882248878479,0.8000000000000002,0.8000000000000002
18, Boulder City,Clark County,0.0005042552947998047,0.7172040939331055,0.3953876197338104,0.0,0.0
19, John Ostrander,Joseph Samachson,0.00048470497131347656,1.1724343299865723,0.44775599241256714,0.0,0.0
20, The Dodos,Brand New,0.00048351287841796875,0.9441328048706055,0.24534140527248383,0.0,0.0
21," ""Just Like Heaven""",Just Like Heaven,0.0005064010620117188,1.4019794464111328,0.7449085712432861,1.0,1.0
22, No.,no,0.0004961490631103516,0.7175002098083496,0.8128341436386108,1.0,1.0
23, 858,858,0.0004849433898925781,0.7259824275970459,1.0000001192092896,1.0,1.0
24, England.,England,0.0004906654357910156,0.7281091213226318,0.9507434368133545,1.0,1.0
25, Mickey's Once Upon a Christmas,Mickey's Once Upon a Christmas,0.00047588348388671875,1.6327197551727295,1.0,1.0,1.0
26, Sölden,the Ötztal valley of Tyrol,0.0005030632019042969,1.1703836917877197,0.06231360137462616,0.0,0.0
27," August 12, 1985","August 12, 1985",0.0004811286926269531,1.8665661811828613,1.0000001192092896,1.0,1.0
28, Jonava,Jonava,0.0004799365997314453,0.7166750431060791,1.0000001192092896,1.0,1.0
29, Webster Groves.,"Webster Groves, Missouri",0.0004878044128417969,1.1724510192871094,0.8555278778076172,0.8,0.8
30, The Wabash Valley Seismic Zone.,The New Madrid Seismic Zone,0.00048422813415527344,2.308911085128784,0.5213205814361572,0.6,0.6
31, No.,no,0.0004985332489013672,0.7188730239868164,0.8128341436386108,1.0,1.0
