KVcache prepared in 19.48969531059265 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 16.990362644195557
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 16.990362644195557
[1]: Semantic Similarity: 0.84656,	 cache time: 2.384185791015625e-07,	 generate time: 19.30429983139038
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 3.5762786865234375e-07,	 generate time: 18.14733123779297
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 16.27303671836853
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 3.178914388020833e-07,	 generate time: 17.52256639798482
[3]: Semantic Similarity: 0.35032,	 cache time: 2.384185791015625e-07,	 generate time: 23.312445402145386
[3]: [Cumulative]: Semantic Similarity: 0.79664,	 cache time: 2.980232238769531e-07,	 generate time: 18.970036149024963
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 17.00420618057251
[4]: [Cumulative]: Semantic Similarity: 0.83501,	 cache time: 2.86102294921875e-07,	 generate time: 18.576870155334472
[5]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 16.24522352218628
[5]: [Cumulative]: Semantic Similarity: 0.86251,	 cache time: 2.384185791015625e-07,	 generate time: 18.18826238314311
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 16.340162754058838
[6]: [Cumulative]: Semantic Similarity: 0.83566,	 cache time: 2.384185791015625e-07,	 generate time: 17.924248150416783
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 15.873016595840454
[7]: [Cumulative]: Semantic Similarity: 0.85621,	 cache time: 2.384185791015625e-07,	 generate time: 17.667844206094742
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 15.961219310760498
[8]: [Cumulative]: Semantic Similarity: 0.82537,	 cache time: 2.384185791015625e-07,	 generate time: 17.47821921772427
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.072846174240112
[9]: [Cumulative]: Semantic Similarity: 0.84283,	 cache time: 2.384185791015625e-07,	 generate time: 17.337681913375853
[10]: Semantic Similarity: 0.96084,	 cache time: 2.384185791015625e-07,	 generate time: 15.855766296386719
[10]: [Cumulative]: Semantic Similarity: 0.85356,	 cache time: 2.384185791015625e-07,	 generate time: 17.20296231183139
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.26014995574951
[11]: [Cumulative]: Semantic Similarity: 0.86577,	 cache time: 2.384185791015625e-07,	 generate time: 17.12439461549123
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 19.1020565032959
[12]: [Cumulative]: Semantic Similarity: 0.83839,	 cache time: 2.384185791015625e-07,	 generate time: 17.276522453014667
[13]: Semantic Similarity: 0.97949,	 cache time: 4.76837158203125e-07,	 generate time: 16.6994788646698
[13]: [Cumulative]: Semantic Similarity: 0.84847,	 cache time: 2.5544847760881696e-07,	 generate time: 17.235305053847178
[14]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.874594688415527
[14]: [Cumulative]: Semantic Similarity: 0.85857,	 cache time: 2.5431315104166666e-07,	 generate time: 17.211257696151733
[15]: Semantic Similarity: 0.9316,	 cache time: 4.76837158203125e-07,	 generate time: 15.88778567314148
[15]: [Cumulative]: Semantic Similarity: 0.86313,	 cache time: 2.682209014892578e-07,	 generate time: 17.128540694713593
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.06043291091919
[16]: [Cumulative]: Semantic Similarity: 0.87118,	 cache time: 2.6646782370174633e-07,	 generate time: 17.06571082507863
[17]: Semantic Similarity: 0.97959,	 cache time: 2.384185791015625e-07,	 generate time: 16.500418424606323
[17]: [Cumulative]: Semantic Similarity: 0.87721,	 cache time: 2.6490953233506946e-07,	 generate time: 17.034305691719055
[18]: Semantic Similarity: 0.11248,	 cache time: 4.76837158203125e-07,	 generate time: 17.505566835403442
[18]: [Cumulative]: Semantic Similarity: 0.83696,	 cache time: 2.760636179070724e-07,	 generate time: 17.05910890980771
[19]: Semantic Similarity: 0.97161,	 cache time: 2.384185791015625e-07,	 generate time: 16.531133890151978
[19]: [Cumulative]: Semantic Similarity: 0.84369,	 cache time: 2.7418136596679685e-07,	 generate time: 17.03271015882492
[20]: Semantic Similarity: 0.25154,	 cache time: 2.384185791015625e-07,	 generate time: 19.228718042373657
[20]: [Cumulative]: Semantic Similarity: 0.81549,	 cache time: 2.724783761160714e-07,	 generate time: 17.13728196280343
[21]: Semantic Similarity: 0.92298,	 cache time: 2.384185791015625e-07,	 generate time: 15.944899559020996
[21]: [Cumulative]: Semantic Similarity: 0.82038,	 cache time: 2.7093020352450286e-07,	 generate time: 17.083082762631502
[22]: Semantic Similarity: 0.98149,	 cache time: 2.384185791015625e-07,	 generate time: 16.836925506591797
[22]: [Cumulative]: Semantic Similarity: 0.82738,	 cache time: 2.695166546365489e-07,	 generate time: 17.072380273238473
[23]: Semantic Similarity: 0.96061,	 cache time: 2.384185791015625e-07,	 generate time: 16.98583221435547
[23]: [Cumulative]: Semantic Similarity: 0.83294,	 cache time: 2.682209014892578e-07,	 generate time: 17.068774104118347
[24]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.054248332977295
[24]: [Cumulative]: Semantic Similarity: 0.83962,	 cache time: 2.6702880859375e-07,	 generate time: 17.028193073272703
[25]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 16.230073928833008
[25]: [Cumulative]: Semantic Similarity: 0.84579,	 cache time: 2.659284151517428e-07,	 generate time: 16.997496183101948
[26]: Semantic Similarity: 0.95109,	 cache time: 2.384185791015625e-07,	 generate time: 16.846086025238037
[26]: [Cumulative]: Semantic Similarity: 0.84969,	 cache time: 2.6490953233506946e-07,	 generate time: 16.991888399477357
[27]: Semantic Similarity: 0.77345,	 cache time: 2.384185791015625e-07,	 generate time: 17.126205921173096
[27]: [Cumulative]: Semantic Similarity: 0.84696,	 cache time: 2.639634268624442e-07,	 generate time: 16.996685453823634
[28]: Semantic Similarity: 0.98297,	 cache time: 2.384185791015625e-07,	 generate time: 16.998080730438232
[28]: [Cumulative]: Semantic Similarity: 0.85165,	 cache time: 2.6308257004310344e-07,	 generate time: 16.996733566810345
[29]: Semantic Similarity: 0.98694,	 cache time: 2.384185791015625e-07,	 generate time: 17.680153369903564
