idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,"The relational model improved over time due to advancements in computing hardware, allowing for the development of more powerful relational systems, and the introduction of standardized SQL, which influenced database languages for other data models.",without constant rewriting of links and pointers,0.2966277599334717,4.528113603591919,0.1003719568252563,0.0952380952380952,0.0952380952380952,How was the relational model able to improve over time?,0
1,1840s.,1840s,0.5108704566955566,1.249150037765503,0.9609662294387816,1.0,1.0,What decade does the sulfite process date to?,1
2,The database's transformation from one DBMS type to another.,database related application,0.7813079357147217,1.4695093631744385,0.4954595565795898,0.1538461538461538,0.1538461538461538,"In order to merge, what must the database maintain?",0
3,Allophonic and phonemic.,allophonic or phonemic,0.4462895393371582,1.0809881687164309,0.9574704170227052,0.6666666666666666,0.6666666666666666,What two forms can aspiration be in?,1
4,Less than 6% moisture content.,6,0.7347061634063721,1.1339776515960691,0.112253189086914,0.3333333333333333,0.3333333333333333,"Starting in the center of Kathmandu, how many kilometers must one travel to reach Tribhuvan International Airport?",0
5,The Database Task Group within CODASYL.,Database Task Group,0.5123329162597656,1.1885035037994385,0.6922407150268555,0.6666666666666666,0.6666666666666666,What group discovered COBOL?,1
6,Degrees of aspiration.,degrees of aspiration,0.480905532836914,0.9088540077209472,0.9481090307235718,1.0,1.0,There are no IPA symbols for what?,1
7,By voicing and aspiration.,voicing,0.3854687213897705,1.0042874813079834,0.5513476729393005,0.4,0.4,How are stops distinguished?,1
8,QUEL.,QUEL,0.2780537605285644,0.9261713027954102,0.903600573539734,1.0,1.0,What computer language was used in INGRES to access data?,1
9,Felt.,felt,0.6038875579833984,0.9194238185882568,0.933394491672516,1.0,1.0,"Besides a blotter sheet, what can be used to collect water?",1
10,Acid-free.,acid-free,0.2503871917724609,0.92014741897583,0.9661557078361512,1.0,1.0,What level of acid is usually found in the paper used by book publishers?,1
11,Object-relational impedance mismatch.,object-relational impedance mismatch,0.4021995067596435,1.3446025848388672,0.9925756454467772,1.0,1.0,What term is used for the difficulty in database table and programmed object translation?,1
12,"dBASE was unique because it allowed users to concentrate on their tasks rather than handling the ""dirty work"" of data manipulation, which was handled by the software itself.",data manipulation is done by dBASE,0.4275870323181152,2.447905302047729,0.6489439010620117,0.2352941176470588,0.1764705882352941,Why was dBASE unique?,1
13,Edgar F. Codd.,Codd,0.6053314208984375,1.3402316570281982,0.5961281061172485,0.5,0.5,Who used tuple calculus to show the functionality of databases?,1
14,A special kind of felt.,felt,0.4685080051422119,1.0571300983428955,0.7356632947921753,0.3333333333333333,0.3333333333333333,"Besides a blotter sheet, what can be used to collect water?",1
15,Laidlines.,Laidlines,0.6378974914550781,0.958411693572998,0.9563372135162354,1.0,1.0,"Which is lines are commonly higher in density, laidlines or chainlines?",1
16,Consonant clusters.,consonant clusters,0.2860944271087646,0.957817554473877,0.980768859386444,1.0,1.0,What other type of endings do Catalan words have?,1
17,sizing.,sizing,0.327688455581665,0.8664672374725342,0.9221678972244264,1.0,1.0,Early papermakers added alum to help in what process?,1
18,china clay.,china clay,0.2701911926269531,0.9168651103973388,0.9766733050346376,1.0,1.0,"Besides calcium, coated paper has a thin layer of what?",1
19,The paper is cut into sheets for other printing processes or other purposes.,cut into sheets,0.3116147518157959,1.4111454486846924,0.6587461233139038,0.375,0.375,"If the paper is not to be used in the web printing process, what is done?",1
20,Breathed-voiced or murmured.,breathy-voiced,0.3642220497131347,1.128474235534668,0.7308727502822876,0.3333333333333333,0.3333333333333333,What is another term for voice-aspirated?,1
21,Paperfoam is biodegradable and can be recycled with ordinary paper.,recycled,0.3795928955078125,1.4462862014770508,0.5233820676803589,0.1818181818181818,0.1818181818181818,What are some bitumen emulsions blended with to make a low-cost product?,0
22,2,2,0.4764394760131836,0.8647782802581787,1.0,1.0,1.0,How many temples were built in Tell Qaramel?,1
23,Less than 10%.,10%,0.6066551208496094,1.0065078735351562,0.8087474703788757,0.5,0.5,What was EU average amount of energy from renewable sources in 2008?,0
24,Programmers can use the DBMS through an application programming interface (API) or a wire protocol.,wire protocol,0.6526589393615723,2.0211851596832275,0.3042321801185608,0.2352941176470588,0.2352941176470588,What is a way for programmers to use the DBMS?,1
25,There can be any number of different external views of the data.,any number,0.4191977977752685,1.8174309730529783,0.094821311533451,0.2857142857142857,0.2857142857142857,How many different external views of data are there?,1
