idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, They are both prefecture-level cities in China.,China,0.0684893131256103,9.034867525100708,0.4438644051551819,0.2222222222222222,0.2222222222222222,"What country does Yushu City, Qinghai and Zunhua have in common?",1
1, L. Frank Baum,L. Frank Baum,0.0512902736663818,8.266799926757812,1.0,1.0,1.0,Who created the fictional character that is the main protagonist and has an Uncle Henry in the Oz novels?,1
2, The 2017 East Asian Games was scrapped and will make a new event in 2019.,"August 24 to 31, 2019",0.0533368587493896,10.22062921524048,0.2104123532772064,0.1,0.1,"What dates will the games preceded by the 2017 games scheduled in Fokuoka, Japan occur?",0
3, 15th century,the 15th century,0.066972017288208,8.250280618667603,0.9816659688949584,0.8,0.8,The principal building in the village of Guthrie dates back to what century?,1
4," A ""comune"" (municipality) in the Province of Pordenone in the Italian region Friuli-Venezia Giulia.","""comune""",0.0697083473205566,11.299654245376589,0.558621883392334,0.125,0.125,"What is Fanna, located about 100km northwest of Trieste, Italy known as?",1
5, Danny Elfman.,Danny Elfman,0.0465216636657714,8.231819152832031,0.9786641597747804,1.0,1.0,"Who composed the musical score of this 1988 American Christmas comedy film that starred Bill Murray and had The Love You Take, as part of its soundtrack?",1
6, Tom Ford,A Single Man,0.1008586883544921,7.9947381019592285,0.2268556058406829,0.0,0.0,Herieth Paul is a Tanzanian fashion model who has walked for an American fashion designer who directed what 2009 film?,0
7, 1864-1868,1804 to 1868,0.0840542316436767,8.506038188934326,0.7263268232345581,0.4,0.4,When the city was the capital of Georgia where John Milledge Academy campus is located on?,0
8, Streetwise (1984),Streetwise,0.0536437034606933,8.511011123657227,0.7535121440887451,0.6666666666666666,0.6666666666666666,"Which film came out first, Ring of Fire or Streetwise?",1
9, Tim & Eric,Tim & Eric,0.103123664855957,8.123056173324585,1.0,1.0,1.0,Which comedy duo is one of the creators of Jash best known for being half of?,1
10, Romany Wood performed two Royal Charity Gala concerts for Prince Edward and the Duchess of Cornwall.,Royal Charity Gala,0.0933403968811035,10.010534524917604,0.6195266246795654,0.3157894736842105,0.3157894736842105,What two Royal concerts were performed by Sir Richard Henry Simpson Stilgoe collaborator Romany Wood?,1
11, 1976,1976,0.0506670475006103,8.170176029205322,1.0,1.0,1.0,"Rhythm Heritage and a one eyed singer recorded the theme music for ""Keep Your Eye On The Sparrow"" in which year?",1
12, Gillian Chung,Gillian Chung,0.0505537986755371,8.114704847335815,1.0,1.0,1.0,What Hong Kong singer and actress was born Chung Dik-san and starred in The Twins Effect?,1
13, Terry Gilliam.,Terry Gilliam,0.0943498611450195,8.242621421813965,0.9828261733055116,1.0,1.0,"The actor that played Herman Stiles on ""Evening Shade"" also stars with Robin Williams and Jeff Bridges in a 1991 film directed by who?",1
14, Celtic,Celtic tribe,0.0477211475372314,7.871906757354736,0.7563186883926392,0.6666666666666666,0.6666666666666666,"From which ethnic tribe hail the Catuvellani, a settlement of whose can be found near the city of St Albans in Hertfordshire?",1
15, Dynasty,Peaky Blinders,0.0552160739898681,7.884052991867065,0.1607826650142669,0.0,0.0,Which of the historical crime drama television series on which Charlie Murphy will appear was created by Steven Knight and produced by Caryn Mandabach Productions and Tiger Aspect Productions?,0
