idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Hayao Miyazaki.,Studio Ghibli,0.2459692955017089,3.5443427562713623,0.4313005805015564,0.0,0.0,Who produced the Academy Award winning animated film that Michiyo Yasuda provided the colour designs for?,0
1,TV Asahi.,based in New York City,0.318164587020874,2.0827035903930664,0.275413453578949,0.0,0.0,Where is the network that first aired Digimon Fusion located?,0
2,"May 10, 1971","May 10, 1971",0.4733338356018066,2.690981388092041,1.0000001192092896,1.0,1.0,"When is the american Rapper who sang ""Flava in Ya Ear"" born ",1
3,Mikhail Kuzmin.,Mikhail Kuzmin,0.4147233963012695,2.4000320434570312,0.9825000762939452,1.0,1.0,"Yury Yurkun, was a Russian writer and painter, lover of which poet, he was a Russian poet, musician and novelist, a prominent contributor to the Silver Age of Russian Poetry?",1
4,Emperor of Japan.,Emperor of Japan,0.526803731918335,1.915863275527954,0.9803759455680848,1.0,1.0,Emperor Go-Toba was what head of the Imperial Family in Japan?,1
5,Winona LaDuke.,Winona LaDuke,0.3017337322235107,2.490586519241333,0.9820832014083862,1.0,1.0,What native american woman was the first to receive an electoral vote for Vice President of the United States in 2016 was also nominated for Vice President of the United States in 2000?,1
6,The Brooklyn Robins.,Brooklyn Robins,0.2873120307922363,2.4962801933288574,0.9718377590179444,0.8,0.8,Who advanced to their first World Series in 1916?,1
7,Barry Jenkins.,Barry Jenkins,0.438018798828125,2.357621908187866,0.9739747047424316,1.0,1.0,The nominations for the 16th Vancouver Film Critics Circle Awards were four moninations went to an American coming-of-age drama film written and directed by who?,1
8,Virgin Group.,the Virgin Group,0.5229966640472412,2.61847186088562,0.9466126561164856,0.8,0.8,"Rosa Branson MBE is the daughter of Clive Branson and Noreen Branson, and a second cousin of Richard Branson who founded what group which controls more than 400 companies?",1
9,Peter Jackson.,Peter Jackson,0.6065309047698975,2.3600175380706787,0.9638718962669371,1.0,1.0,Nancy Steiner developed costumes for a 2009 supernatural drama film directed by whom?,1
10,"Jon Roberts died on December 28, 2011.","December 28, 2011",1.582496166229248,2.93408751487732,0.4935201704502105,0.6,0.6,When was the one of the writer of  American Desperado except Evan Wright died?,1
11,Australian.,Australian,0.4803862571716308,2.1739208698272705,0.930228590965271,1.0,1.0,Gary McCaffrie has collaborated with the actor and comedian of what nationality?,1
12,Grafton County.,Grafton County,0.3048040866851806,2.77074670791626,0.984005570411682,1.0,1.0,Plymouth Regional High School is located in what county?,1
13,Alex Haley.,Alex Haley,0.2702634334564209,2.313246011734009,0.9767779111862184,1.0,1.0,"Roots: The Gift is a 1988 television film, it is the third installment of the ""Roots"" series, which traces the maternal family history of an African American author, starting with his fourth great-grandfather Kunta Kinte, a character in the novel Roots by which African American author?",1
14,"No, Tori Amos is not a member of the American rock band Chagall Guevara.",no,1.9907119274139404,3.386753559112549,0.1171600595116615,0.1333333333333333,0.1333333333333333,Are Chris Marker and Yvonne Rainer American?,0
15,Koi Kei Bakery,Brother's Keeper,0.4302098751068115,2.7878806591033936,0.1527693569660186,0.0,0.0,What television drama on TVB is based on a bakery started by selling peanut brittle and ginger candy on a pushcart in Macau?,0
