idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Slaughterhouse-Five.,Slaughterhouse-Five,0.0010590553283691,1.5219244956970217,0.9646490216255188,1.0,1.0,What is the name of the novel that was used as a reference in the naming of So It Goes and is based on an event in the author's (Kurt Vonnegut) own life involving surviving the Allies' firebombing of Dresden in World War II as a prisoner-of-war?,1
1,Banjo.,mandolin,0.0008833408355712,0.2447235584259033,0.5621004700660706,0.0,0.0,"What instrument did the first generation Lonesome Pine Fiddler, born in 1931, play?",0
2,2 terms.,two terms,0.00079345703125,0.2980880737304687,0.8804993629455566,0.5,0.5,For how many terms was this Indiana State Senate senator and Chief Justice of the Supreme Court of Indiana elected in the Indiana State Senate after whom the Howard Park Historic District is named?,1
3,Jeff Green.,Jeff Green,0.0007364749908447,0.2397775650024414,0.9765273332595824,1.0,1.0,Which Big East champion began his NBA career with the Celtics in 2007?,1
4,Yes.,yes,0.000673770904541,0.2017214298248291,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
5,Max Tegmark.,Max Tegmark,0.0006279945373535,0.3090074062347412,0.9791300296783448,1.0,1.0,Who is the  Swedish-American cosmologist advisor at CSER|?,1
6,1991,1991,0.0006437301635742,0.2405862808227539,1.0,1.0,1.0,What year did the book come out that the film Dev Patel and Jeremy Irons starred in?,1
7,American.,American,0.0005769729614257,0.2026054859161377,0.9135115146636964,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?,1
8,Meghan McCain.,Meghan McCain,0.0008018016815185,0.242816686630249,0.9756284356117249,1.0,1.0,Which current panelist on the view is a former Fox News host?,1
9,"""Dubh glas""","""dubh glas"", meaning ""black stream""",0.0006606578826904,0.3508477210998535,0.7597305774688721,0.5714285714285715,0.5714285714285715,"What does the name of the first castle erected in 13th century, means what in Gaelic?",0
10,Robert Louis Stevenson.,Robert Louis Stevenson,0.0007464885711669,0.2768642902374267,0.980740249156952,1.0,1.0, Long John Silver was quartermaster under a fictional 18th-century pirate captain created by what writer?,1
11,Bianca Gascoigne.,Bianca Gascoigne,0.000732421875,0.3493316173553467,0.9892776012420654,1.0,1.0,"Which child of a woman whose television career includes a presenting role on ITV1's ""Loose Women"" came sixth in the nineteenth series of Channel 5 reality show ""Celebrity Big Brother"".",1
12,RG3.,RG3 or RGIII,0.0006959438323974,0.2405216693878173,0.7810878753662109,0.5,0.5,"In the Washington Redskins 83rd season Robert Griffin III suffered a concussion and consequently missed the rest of the preseason, what was his nickname?",1
13,Green Day.,Billie Joe Armstrong,0.0006945133209228,0.2409043312072754,0.4358725547790527,0.0,0.0,Kerplunk was released by the punk rock band who were formed by which lead vocalist?,0
14,"Brierfield, Lancashire.","8,200",0.00077486038208,0.3876898288726806,-0.0196681153029203,0.0,0.0,What is the population of the small town and civil parish where Bernie Calvert was born?,0
15,Good Charlotte has released more albums.,Good Charlotte,0.0007271766662597,0.3831238746643066,0.6434453725814819,0.5,0.5,"Who has released more albums, Alex Clare or Good Charlotte?",1
