idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Whites and males.,whites and males,0.0473103523254394,4.991631269454956,0.9715855121612548,1.0,1.0,Studies showed that discrimination in both business sectors and education resulted in advantages for what group of people?,1
1, The academic computing department at the University of Kansas contributed to the development of the internet.,academic computing,0.0614950656890869,6.193079948425293,0.5266355276107788,0.2222222222222222,0.2222222222222222,What division of the University of Kansas contributed to the development of the internet?,1
2, The Princeton Review.,Princeton Review,0.0532324314117431,4.978075742721558,0.9508841037750244,0.8,0.8,Who considered the business school of the University of Kansas among the best Midwestern business institutions?,1
3, Anthocyanins in purple grape skin.,anthocyanins,0.0573334693908691,5.449320793151856,0.711542546749115,0.3333333333333333,0.3333333333333333,What pigment is responsible for the color of leaves in fall?,0
4," ""Home on the Range""","""Kansas Song""",0.0462608337402343,5.165274381637573,0.2463511526584625,0.0,0.0,What is the name of a song that references the state that KU serves?,0
5, Office for Civil Rights,Office for Civil Rights,0.0476279258728027,4.991814613342285,1.0,1.0,1.0,With which organization did Li file a civil rights complaint?,1
6, The state of race relations.,the state of race relations,0.0500271320343017,5.181064605712891,0.9844092726707458,1.0,1.0,What was the committee especially disturbed by as indicated in their report?,1
7, Lyndon B. Johnson,Harold L. Ickes,0.0667951107025146,5.072009563446045,0.2184298634529113,0.0,0.0,Who was the true backer of the cause of affirmative action?,0
8, Lower-class European Americans.,lower-class European Americans,0.048581838607788,5.083231449127197,0.9674360752105712,1.0,1.0,At who's expense other than Asian Americans are upper-class African Americans and Hispanic Americans supposedly benefiting?,1
9, Bill Self is the head coach of the KU men's basketball team.,Bill Self,0.064326524734497,6.010112524032593,0.5008639097213745,0.2666666666666667,0.2666666666666667,Who is the head of men's basketball at KU?,1
10, The Education and Justice Departments.,Education and Justice Departments,0.0590596199035644,5.150091648101807,0.9707198143005372,0.888888888888889,0.888888888888889,Who did the organizations file the complaints with?,1
11, Vitis vinifera,Vitis vinifera,0.044762372970581,5.083879232406616,1.0000001192092896,1.0,1.0,What species of grape are grown by Black Monukka?,1
12, Wilt Chamberlain,Wilt Chamberlain,0.0450935363769531,4.980880737304688,1.0,1.0,1.0,Who is considered the most famous basketball alumnus of KU?,1
13," Alan Mulally, former President and CEO of Ford Motor Company.",Alan Mulally,0.054910659790039,5.825433015823364,0.7235170006752014,0.3333333333333333,0.3333333333333333,What former leader of a car manufacturing company attended KU?,1
14, Crimson and royal blue.,crimson and royal blue,0.0527236461639404,5.071043252944946,0.9826592803001404,1.0,1.0,What colors are worn by KU's athletic teams?,1
15, June 1963,June 1963,0.0540461540222168,4.98294997215271,1.000000238418579,1.0,1.0,When did President Kennedy issue Executive Order 11114?,1
16," The report ""To Secure These Rights"" stated that when an individual enters the armed services, they surrender some of their rights and privileges as an American citizen, but the government undertakes to protect their integrity as an individual.",surrenders some of the rights and privileges,0.0498654842376709,8.704941511154175,0.6332457065582275,0.3111111111111111,0.2666666666666666,What did the findings say occurred to an individual when he enters the armed services?,1
17, Ricci v. DeStefano (2009),Richmond v. J.A. Croson Co.,0.0459964275360107,5.739026069641113,0.1408718973398208,0.2,0.2,What is an example case that can help display where upholding a racial classification is beneficial?,0
18," New Haven, Connecticut.","New Haven, Connecticut",0.0492377281188964,5.07558012008667,0.9801520109176636,1.0,1.0,Where was the issue of White and Hispanic firefighters heard in the case based out of?,1
19, Red wine.,red wine,0.0515809059143066,4.88850998878479,0.9667990803718568,1.0,1.0,What type of wine is fermented with grape skin?,1
20, 1993,1993,0.0525307655334472,4.857576847076416,1.0000001192092896,1.0,1.0,When did Nadelmann write about global policing?,1
21," Overland Park, Kansas.",Overland Park,0.0508506298065185,5.171253442764282,0.8808357119560242,0.8,0.8,In what city is the Edwards Campus located?,1
22, Table grapes.,table grapes,0.0748941898345947,4.846498250961304,0.9789943099021912,1.0,1.0,What are grapes that are eaten raw classified as?,1
23," Additional fees are charged at KU's specialized professional schools, including the schools of architecture, music, arts, business, education, engineering, journalism, law, pharmacy, and social welfare.",additional fees,0.0495238304138183,8.147982358932495,0.55802321434021,0.1428571428571428,0.1428571428571428,What is charged at KU's specialized professional schools?,1
24, Nike,Nike,0.055619478225708,4.702469348907471,1.0,1.0,1.0,What manufacturer became Arsenal's uniform provider in 1994?,1
25, Vitis vinifera,Vitis vinifera,0.0487041473388671,5.086056470870972,1.0000001192092896,1.0,1.0,What species of grape are grown by Black Monukka?,1
26, Title VII of the Civil Rights Act aimed to end discrimination in all firms with 25 or more employees.,to end discrimination in all firms with 25 or more employees,0.0510940551757812,6.579960107803345,0.6981199979782104,0.7333333333333334,0.7333333333333334,What was the purpose of Title VII of the Civil Rights Act?,1
27," Princeton Dean of Admissions Janet Rapelye stated that Li was not admitted because ""many others had far better qualifications.""",many others had far better qualifications,0.0479757785797119,6.8592493534088135,0.4562026262283325,0.4799999999999999,0.4799999999999999,What did Princeton claim the real reasons for the rejection of Li's application was?,1
28, Shelby Steele believes that the true concept of affirmative action is enforcing equal opportunity.,enforcing equal opportunity,0.0472116470336914,6.020962238311768,0.4943450093269348,0.3529411764705882,0.3529411764705882,What does Shelby Steele believe that the true concept of affirmative action is?,1
29," The University of Kansas School of Engineering was ranked tied for 90th among national universities in the U.S. News & World Report's ""America’s Best Colleges"" 2016 issue, compared to other national universities.",national universities,0.0520033836364746,8.71011734008789,0.4956896603107452,0.1111111111111111,0.1111111111111111,Against what other kinds of institutions was KU's engineering school compared?,1
30, The KU Endowment seeks to partner with donors.,donors,0.0449566841125488,5.63578987121582,0.5065339803695679,0.2222222222222222,0.2222222222222222,To whom does the KU Endowment seek to connect with?,1
31, The Kansas Jayhawks.,Kansas Jayhawks,0.0452632904052734,5.042701482772827,0.935880720615387,0.8,0.8,What is the name of KU athletic teams?,1
32, 131,131,0.0450482368469238,4.805698156356812,1.0000001192092896,1.0,1.0,How many institutions participated in the V-12 program?,1
33, John F. Kennedy,John F. Kennedy,0.0568287372589111,4.986674070358276,1.0000001192092896,1.0,1.0,Who was the Democratic candidate for president in 1960?,1
34, School segregation laws.,school segregation,0.0556426048278808,4.962851285934448,0.8717314004898071,0.8,0.8,What law type did Asian immigrants struggle with?,1
35, The U.S. Equal Employment Opportunity Commission.,U.S. Equal Employment Opportunity Commission,0.0513496398925781,5.4563398361206055,0.9530961513519288,0.923076923076923,0.923076923076923,Which organization claims that private sector employers believe having a diverse workplace is beneficial?,1
