idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Texas Lottery.,Texas Lottery,0.0508813858032226,7.511321067810059,0.893328070640564,1.0,1.0,What government operated lottery headquartered in Austin originated the concept for All or Nothing?,1
1, Sia Kangri,Sia Kangri,0.0491282939910888,7.602645874023437,1.0,1.0,1.0,"Which mountain has a summit as a tripoint of a territory controlled by India, China, and Pakistan: Sia Kangri or Gasherbrum III?",1
2, Louis Armstrong,Tony Martin,0.05169677734375,7.341922998428345,0.2729212939739227,0.0,0.0,"Who is one actor from Winner Takes Al and was born December 25,1913",0
3, They are both flowering plants.,flowers,0.0459949970245361,7.850210189819336,0.5873068571090698,0.3333333333333333,0.3333333333333333,how is Solenostemon and Pseudocydonia connected?,1
4, Los Angeles.,Los Angeles,0.0587162971496582,7.4975666999816895,0.9625944495201112,1.0,1.0, The 12th Annual Honda Civic Tour was a concert tour headlined by an American pop rock band that originated in what city?,1
5," October 28, 1984","born April 3, 1977",0.0538294315338134,7.95987343788147,0.4621382355690002,0.0,0.0,When was the brother of Yoan Pablo Hernández born?,0
6, Yakima Air Terminal is farther west.,Yakima Air Terminal,0.0454788208007812,8.081059694290161,0.8225817680358887,0.6666666666666666,0.6666666666666666,"Which is farther west, Yakima Air Terminal or Syracuse Hancock International Airport?",1
7, Lunar Module Pilot,Lunar Module Pilot,0.0511860847473144,7.46392560005188,1.0,1.0,1.0,"What was the job title of this American engineer and former astronaut aboard Apollo 11, who inspired the musical Moon Landing?",1
8, Mike,Charles,0.0491325855255126,7.244943141937256,0.4693569242954254,0.0,0.0,"What is the middle name of the Broken Bow Records country music artist who released Where It's At on September 9, 2014?",0
9, Presbyterian,Presbyterian Church,0.0523583889007568,7.235259056091309,0.9246283769607544,0.6666666666666666,0.6666666666666666,In 1924 Tom McCann served as head football coach at a college affiliated with what church?,1
10, Danica McKellar,Danica McKellar,0.0500426292419433,7.624220609664917,0.9999999403953552,1.0,1.0,"Miss Martian, is a fictional superheroine appearing in American comic books published by DC Comics, the character's first appearance outside of comics was in the animated series Young Justice, where she is voiced by which American actress, mathematics writer, and education advocate, and played Kevin Arnold's on-off girlfriend Winnie Cooper in the television series ""The Wonder Years""?",1
11, Colombo.,"Colombo, Sri Lanka",0.0490570068359375,7.487757444381714,0.8519836664199829,0.5,0.5,In what city did Mayumi Raheem win 3 gold medals?,1
12, Jeffrey Dahmer,Jeffrey Dahmer,0.0531215667724609,7.4850499629974365,1.0,1.0,1.0,"Who is the ""My Friend Dahmer"" 2017 American biographical drama film, also known as the Milwaukee Cannibal, based on?",1
13, Liza Minnelli and Chita Rivera.,Liza Minnelli and Chita Rivera,0.0461940765380859,8.321938037872314,0.9746464490890504,1.0,1.0,The music and lyrics for Scottsboro Boys was by a team who frequently wrote for performers such as who?,1
14, Ketu North District,Dzodze,0.0550513267517089,7.611480712890625,0.1420070081949234,0.0,0.0,What is the capital of the district that is north of Ketu South Municipal District?,0
15," Flathead County, Montana, and northwestern Montana.",Flathead National Forest,0.0598750114440918,8.458780765533447,0.5132570862770081,0.2222222222222222,0.2222222222222222,"Whitefish, is a city in Flathead County, Montana, it is home to a ski resort on Big Mountain called Whitefish Mountain Resort, a ski resort located at The Big Mountain in northwestern Montana, located west of Glacier National Park, in which locations?",0
