idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Zooey Deschanel.,Zooey Deschanel,0.0007390975952148,1.880932569503784,0.9888900518417358,1.0,1.0,What ukulele player has Sheldon Gomberg worked with?,1
1,"Shenandoah was founded in Muscle Shoals, Alabama.","Muscle Shoals, Alabama",0.00089693069458,0.5885319709777832,0.5900780558586121,0.6,0.6,"""Somewhere in the Vicinity of the Heart"" is a song recorded by a country music band that was founded in what city and state?",1
2,The Soviet Union.,Soviet Union,0.0007722377777099,0.2872421741485595,0.9204875230789183,0.8,0.8,"""Third World"" referred to countries that remained non-aligned with either NATO or a grouping of states aligned with who? ",1
3,David Bell.,David Michael Bell,0.0007500648498535,0.247481107711792,0.9163378477096558,0.8,0.8,Buddy Bell is the father of which St. Louis Cardinals bench coach?,1
4,Albert Finney.,Albert Finney,0.0006651878356933,0.2865054607391357,0.9872409701347352,1.0,1.0,"What is the name of the actor who played in the remake of ""Night Must Fall"" and ""Skyfall""? ",1
5,There is no information about the population of the city where Lava Tree State Monument is located.,945,0.0007033348083496,0.8471684455871582,1.50362029671669e-05,0.0,0.0,What was the 2010 population on the city where Lave Tree State Monument is located?,0
6,"No, Tithonia is a genus of flowering plants, but Pachysandra is a genus of evergreen perennials.",yes,0.0007867813110351,1.1412832736968994,0.0844076424837112,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?,0
7,The Netherlands.,the Netherlands,0.0007150173187255,0.2488317489624023,0.9714319705963136,1.0,1.0,The company that owns the Brent field is headquartered in what country?,1
8,Captain Henry T. Elrod.,Henry T. Elrod,0.0007684230804443,0.4005849361419678,0.8944409489631653,0.8571428571428571,0.8571428571428571,"What Yale alumni had an ""Oliver Hazard Perry""-class frigate named after him?",1
9,England.,Northern Ireland,0.0006299018859863,0.209125280380249,0.5557889342308044,0.0,0.0,"From where was the actor opposite which Maggie Grace appeared in ""Taken""?",0
10,Film director.,film director,0.0005748271942138,0.2460861206054687,0.9636179208755492,1.0,1.0,What is the occupation of Wang Quan'an and Donald Sawyer?,1
11,"1895 (Trinity College of Music, London, which later became Trinity Laban Conservatoire of Music and Dance)",2005,0.0005743503570556,1.0745930671691897,-0.0376828387379646,0.0,0.0,"In which year was this former Detroit City Council member, with whom Sheila Cockrel had a fractious relationship with, first elected to the council?",0
