idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Polarity.,Polarity,0.0009157657623291,1.6726088523864746,0.9502789974212646,1.0,1.0,"Which game has been published by more companies, Polarity or Flibbix?",1
1,Tool has won 3 Grammy Awards.,three Grammy Awards,0.0009031295776367,0.4181058406829834,0.7520749568939209,0.4444444444444444,0.4444444444444444,Cam de Leon created the early artwork of a band that has won how many Grammy Awards ?,1
2,13 years (1922-1935),one,0.0007829666137695,0.5334701538085938,0.1197435036301612,0.0,0.0,"How many awards did the ""A Girl Like Me"" singer win at the American Music Awards of 2012?",0
3,Kitten Natividad.,Kitten Natividad,0.0007619857788085,0.3745043277740478,0.9836938381195068,1.0,1.0,"Which star in Beneath the Valley of the Ultra-Vixens is a Mexican American film actress, exotic dancer, and porn star?",1
4,"Jackson Wang, son of Wang Ruiji, is a Chinese fencer's son who is an entertainer and fluent in 6 languages.",Jackson Wang,0.0007421970367431,1.2769527435302734,0.7289431095123291,0.1739130434782608,0.1739130434782608,What son of a Chinese fencer is an entertainer and is fluent in 6 languages?,1
5,"The character's name is not mentioned in the given context. However, the drama series created by Sarah Treem and Hagai Levi is called ""The Affair"".",Whitney Solloway,0.000664472579956,1.4379572868347168,0.2431071996688842,0.0,0.0,What was the name of a character in the drama series created by Sarah Treem and Hagai Levi?,0
6,Nikola Tesla.,the public and society,0.0008008480072021,0.2535490989685058,0.1440028846263885,0.0,0.0,This Serbian-American inventor was a person you lived in volantary seculsion from who?,0
7,"No, Paul Baloff was a thrash metal singer, not a pop rock singer.",no,0.0006685256958007,0.8272302150726318,0.2086794078350067,0.1428571428571428,0.1428571428571428,Are Chris Marker and Yvonne Rainer American?,0
8,Nicktoons Network.,Nicktoons,0.0007922649383544,0.3374600410461426,0.838874340057373,0.6666666666666666,0.6666666666666666,Kappa Mikey and Edgar & Ellen are both shows that play on what network?,1
9,London Weekend Television.,London Weekend Television,0.0007717609405517,0.2813284397125244,0.9842921495437622,1.0,1.0,"Who produced the comedy series that ""Unter einer Decke"" is based on ?",1
10,1986,1986,0.0006937980651855,0.2561230659484863,1.0000001192092896,1.0,1.0,"Alan Douglas Ruck, is an American actor, he played Cameron Frye, Bueller's hypochondriac best friend in John Hughes' ""Ferris Bueller's Day Off"", released in which year?",1
11,1217,1123,0.0006287097930908,0.2585320472717285,0.75947105884552,0.0,0.0,What year was the abbey established that elected Nicholas as Bishop of the Isles?,0
12,39650,39650 acre,0.000605821609497,0.2556684017181396,0.5309562683105469,0.6666666666666666,0.6666666666666666,How many acres is the Horse Range that was established by Congress in Bighorn Canyon National Recreation Area?,1
13,Full Tilt Poker.,Full Tilt Poker,0.0006532669067382,0.3369994163513183,0.982835054397583,1.0,1.0,Where is the online player specializing in a variant of poker that used to be the most widely played version of poker in home games playing predominantly?,1
14,Monfragüe.,Monfragüe,0.000694990158081,0.3380181789398193,0.9697402715682985,1.0,1.0,"What Spanish national park is noted for its bird-life, Monfragüe or Picos de Europa National Park?",1
15,The European debt crisis.,The European debt crisis,0.0007083415985107,0.3344898223876953,0.9770410060882568,1.0,1.0,"During Which debt crises did PIGS  used to refer to the economies of Portugal, Ireland, Greece, and Spain, four EU member states",1
16,There is no information about a British Former professional Cyclist who was part of Team Halfords Bikehut in the given context.,Sharon Laws,0.0006103515625,1.1606898307800293,0.0798302590847015,0.0,0.0,Who was the British Former professional Cyclist who was part of Team Halfords Bikehut?,0
17,Yes.,yes,0.0006413459777832,0.2174239158630371,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
18,19 metres,2310 ft,0.0006270408630371,0.2577137947082519,0.51463383436203,0.0,0.0,How tall is the highest point of the mountain ridge that bounds Broad Top plateau to the east?,0
